gene	x_labels	mean	median	sd
MT-CO1	PBTA_Meningioma_19	2867.66	2614.93	2014.38
MT-CO1	GTEx_Whole Blood_755	4605.4	3826	3002.61
MT-CO1	GTEx_Pituitary_283	11148.29	8809	9065.79
MT-CO1	GTEx_Pancreas_328	10566.85	11350	4968.63
MT-CO1	GTEx_Ovary_180	12572.54	13690	10173.75
MT-CO1	GTEx_Artery - Aorta_432	13392.16	13820	7271.7
MT-CO1	GTEx_Cervix - Ectocervix_9	11854.22	14970	7359.41
MT-CO1	GTEx_Cervix - Endocervix_10	16023.3	16045	9446.11
MT-CO1	GTEx_Prostate_245	18571.26	16110	10547.63
MT-CO1	GTEx_Nerve - Tibial_619	16373.82	16360	5576.11
MT-CO1	GTEx_Vagina_156	16181.45	16700	9760.94
MT-CO1	GTEx_Artery - Coronary_240	18280.54	18205	13062.96
MT-CO1	GTEx_Cells - Cultured fibroblasts_504	19395.7	19270	4272.34
MT-CO1	GTEx_Cells - EBV-transformed lymphocytes_174	19276.49	19330	3657.44
MT-CO1	GTEx_Testis_361	20780.27	19430	9596.58
MT-CO1	GTEx_Uterus_142	16728.93	19585	11044.34
MT-CO1	GTEx_Thyroid_653	23763.02	20780	17972.17
MT-CO1	GTEx_Artery - Tibial_663	21199.91	20790	6516.25
MT-CO1	GTEx_Lung_578	20579.9	20830	10587.8
MT-CO1	GTEx_Fallopian Tube_9	19907	20940	11009.17
MT-CO1	GTEx_Adipose - Visceral (Omentum)_541	22305.71	22230	16631.26
MT-CO1	GTEx_Adipose - Subcutaneous_663	23421.88	22630	7876.99
MT-CO1	GTEx_Esophagus - Mucosa_555	23116.61	23910	9556.21
MT-CO1	GTEx_Spleen_241	22366.84	24070	10166.93
MT-CO1	GTEx_Minor Salivary Gland_162	26110.25	24735	9587.78
MT-CO1	GTEx_Breast - Mammary Tissue_459	25305.1	24740	10320.69
MT-CO1	GTEx_Colon - Sigmoid_373	24315.03	27550	15679.54
MT-CO1	GTEx_Bladder_21	27848.19	28360	10136.08
MT-CO1	GTEx_Brain - Cerebellar Hemisphere_215	34246.67	28440	22049.29
MT-CO1	GTEx_Skin - Sun Exposed (Lower leg)_701	31738.74	30720	8726.76
MT-CO1	GTEx_Brain - Cerebellum_241	35108.49	31460	18347.85
MT-CO1	GTEx_Esophagus - Gastroesophageal Junction_375	30758.51	32150	11736.91
MT-CO1	GTEx_Esophagus - Muscularis_515	30369.09	32240	11781.99
MT-CO1	GTEx_Skin - Not Sun Exposed (Suprapubic)_604	34552.93	32920	9865.21
MT-CO1	GTEx_Brain - Spinal cord (cervical c-1)_159	40484.65	35570	20148.31
MT-CO1	GTEx_Stomach_359	41767.66	39900	17030.23
MT-CO1	GTEx_Liver_226	45590.64	40520	20340.2
MT-CO1	GTEx_Kidney - Cortex_85	39651.25	40850	22957.04
MT-CO1	GTEx_Small Intestine - Terminal Ileum_187	41049.18	40950	17785.02
MT-CO1	GTEx_Colon - Transverse_406	44286.19	45710	25041.34
MT-CO1	GTEx_Brain - Nucleus accumbens (basal ganglia)_246	53307.18	48305	23092.39
MT-CO1	GTEx_Muscle - Skeletal_803	49655.67	49940	15131.24
MT-CO1	GTEx_Brain - Caudate (basal ganglia)_246	55888.37	50495	21267.8
MT-CO1	GTEx_Brain - Frontal Cortex (BA9)_209	60377.27	56240	19204.17
MT-CO1	GTEx_Brain - Hypothalamus_202	59259.73	57140	24545.87
MT-CO1	GTEx_Brain - Substantia nigra_139	57878.39	57780	24903.01
MT-CO1	GTEx_Adrenal Gland_258	50205.54	58545	25167.37
MT-CO1	GTEx_Brain - Putamen (basal ganglia)_205	59895.61	59190	21765.06
MT-CO1	GTEx_Brain - Anterior cingulate cortex (BA24)_176	69578.88	66385	23110.23
MT-CO1	GTEx_Heart - Atrial Appendage_429	61678.83	66470	24991.1
MT-CO1	GTEx_Brain - Cortex_255	69800.86	69350	17216.69
MT-CO1	GTEx_Brain - Hippocampus_197	68424.62	70050	23874.89
MT-CO1	GTEx_Brain - Amygdala_152	71739.47	70115	21942.38
MT-CO1	GTEx_Heart - Left Ventricle_432	75996.59	82350	32383.11
