gene	x_labels	mean	median	sd
MT-ND4	PBTA_Ependymoma_93	1046.21	896.34	875.26
MT-ND4	GTEx_Whole Blood_755	4695.27	3882	3204.62
MT-ND4	GTEx_Pancreas_328	14213.5	13910	4720.92
MT-ND4	GTEx_Cells - Cultured fibroblasts_504	16264.41	15200	4405.6
MT-ND4	GTEx_Artery - Aorta_432	15969.93	15485	6782.99
MT-ND4	GTEx_Cervix - Ectocervix_9	17595.89	15950	7097.65
MT-ND4	GTEx_Cells - EBV-transformed lymphocytes_174	17239.34	16990	3705.1
MT-ND4	GTEx_Artery - Tibial_663	17446.55	17130	7358.94
MT-ND4	GTEx_Artery - Coronary_240	20744.36	18825	11727.01
MT-ND4	GTEx_Vagina_156	20339.5	18945	9554.22
MT-ND4	GTEx_Esophagus - Mucosa_555	21771.66	19840	9815.52
MT-ND4	GTEx_Ovary_180	18962.58	20950	10407.3
MT-ND4	GTEx_Spleen_241	21482.26	22140	7038.19
MT-ND4	GTEx_Uterus_142	22694.95	22680	9021.68
MT-ND4	GTEx_Pituitary_283	23930.34	23330	10919.68
MT-ND4	GTEx_Cervix - Endocervix_10	21328.7	23470	7733.91
MT-ND4	GTEx_Lung_578	23819.22	23695	9168.01
MT-ND4	GTEx_Fallopian Tube_9	24653.33	24800	9278.86
MT-ND4	GTEx_Nerve - Tibial_619	24980.63	24800	7342.5
MT-ND4	GTEx_Skin - Sun Exposed (Lower leg)_701	25760.7	24960	6914.28
MT-ND4	GTEx_Minor Salivary Gland_162	26539.57	26455	7444.53
MT-ND4	GTEx_Skin - Not Sun Exposed (Suprapubic)_604	28951.77	27970	7346.7
MT-ND4	GTEx_Testis_361	31613.81	30590	8925.41
MT-ND4	GTEx_Adipose - Subcutaneous_663	31722.37	31410	9310.97
MT-ND4	GTEx_Breast - Mammary Tissue_459	33174.32	32020	11169.54
MT-ND4	GTEx_Thyroid_653	31548.76	32080	13969.6
MT-ND4	GTEx_Bladder_21	36154.81	35150	12462.2
MT-ND4	GTEx_Brain - Cerebellar Hemisphere_215	38627.33	35280	14934.41
MT-ND4	GTEx_Colon - Sigmoid_373	35757.39	36180	12091.06
MT-ND4	GTEx_Adipose - Visceral (Omentum)_541	35164.85	36700	14349.42
MT-ND4	GTEx_Small Intestine - Terminal Ileum_187	36794.62	37440	11685.62
MT-ND4	GTEx_Esophagus - Gastroesophageal Junction_375	41304.99	38250	14816.51
MT-ND4	GTEx_Prostate_245	40513.02	39240	15503.46
MT-ND4	GTEx_Esophagus - Muscularis_515	42412.7	40100	12696.71
MT-ND4	GTEx_Muscle - Skeletal_803	42168.72	40770	9048.3
MT-ND4	GTEx_Colon - Transverse_406	40685.16	40945	12799.61
MT-ND4	GTEx_Brain - Cerebellum_241	44239.75	41550	11674.29
MT-ND4	GTEx_Stomach_359	45364.89	44210	13963.86
MT-ND4	GTEx_Brain - Frontal Cortex (BA9)_209	46033.21	44700	11603.11
MT-ND4	GTEx_Brain - Spinal cord (cervical c-1)_159	48767.92	47080	15300.92
MT-ND4	GTEx_Brain - Nucleus accumbens (basal ganglia)_246	53941.2	52610	12739.13
MT-ND4	GTEx_Brain - Substantia nigra_139	54352.45	52830	13376.54
MT-ND4	GTEx_Brain - Cortex_255	54407.45	53710	8754.3
MT-ND4	GTEx_Adrenal Gland_258	53639.84	54000	11854.92
MT-ND4	GTEx_Brain - Anterior cingulate cortex (BA24)_176	54498.53	54330	12310.12
MT-ND4	GTEx_Heart - Atrial Appendage_429	55673.66	54800	14214.89
MT-ND4	GTEx_Brain - Caudate (basal ganglia)_246	56156.79	55055	11660.29
MT-ND4	GTEx_Brain - Hypothalamus_202	55864.17	55125	14455.15
MT-ND4	GTEx_Brain - Amygdala_152	56260.41	56265	12289.56
MT-ND4	GTEx_Brain - Putamen (basal ganglia)_205	57899.95	58400	12112.05
MT-ND4	GTEx_Liver_226	58052	58775	22916.82
MT-ND4	GTEx_Brain - Hippocampus_197	60313.4	60340	13619.56
MT-ND4	GTEx_Kidney - Cortex_85	56383.21	60770	24000.12
MT-ND4	GTEx_Heart - Left Ventricle_432	68805.49	66015	19663.5
