gene	x_labels	mean	median	sd
MT-ATP6	PBTA_Teratoma_7	1495.44	1018.9	1439.3
MT-ATP6	GTEx_Whole Blood_755	4998.98	4222	3425.32
MT-ATP6	GTEx_Cells - Cultured fibroblasts_504	15473.04	13490	6197.55
MT-ATP6	GTEx_Pancreas_328	14427.43	13720	6394.01
MT-ATP6	GTEx_Cells - EBV-transformed lymphocytes_174	16332.64	16435	4357.49
MT-ATP6	GTEx_Artery - Aorta_432	18181.49	17740	6237.41
MT-ATP6	GTEx_Cervix - Ectocervix_9	18984.44	18200	5992.18
MT-ATP6	GTEx_Vagina_156	20822.61	19155	8871.57
MT-ATP6	GTEx_Artery - Tibial_663	19546.78	19370	5677.44
MT-ATP6	GTEx_Ovary_180	18853.94	19515	9062.48
MT-ATP6	GTEx_Esophagus - Mucosa_555	21719.81	20280	9314.65
MT-ATP6	GTEx_Spleen_241	21557.68	21330	6989.61
MT-ATP6	GTEx_Uterus_142	21853.87	21565	8543.94
MT-ATP6	GTEx_Lung_578	21855.19	21600	7087.38
MT-ATP6	GTEx_Artery - Coronary_240	24098.44	22085	11036.33
MT-ATP6	GTEx_Nerve - Tibial_619	22557.46	22100	6023.1
MT-ATP6	GTEx_Cervix - Endocervix_10	20515.1	23180	7922.62
MT-ATP6	GTEx_Fallopian Tube_9	22603.33	23330	7044.94
MT-ATP6	GTEx_Minor Salivary Gland_162	24442.1	23680	7084.32
MT-ATP6	GTEx_Skin - Sun Exposed (Lower leg)_701	25785.33	24750	6769.04
MT-ATP6	GTEx_Pituitary_283	27045.86	26620	10130.83
MT-ATP6	GTEx_Testis_361	28770.61	27190	8101.08
MT-ATP6	GTEx_Skin - Not Sun Exposed (Suprapubic)_604	28234.85	27370	7448.5
MT-ATP6	GTEx_Thyroid_653	30173.67	30050	10079.44
MT-ATP6	GTEx_Bladder_21	32998.95	30890	11106.4
MT-ATP6	GTEx_Adipose - Subcutaneous_663	32511.83	32170	8739.86
MT-ATP6	GTEx_Breast - Mammary Tissue_459	34731.82	32770	11696.29
MT-ATP6	GTEx_Esophagus - Gastroesophageal Junction_375	35991.73	34130	11970.21
MT-ATP6	GTEx_Esophagus - Muscularis_515	36476.43	35200	10452.8
MT-ATP6	GTEx_Colon - Sigmoid_373	35821.11	35550	10078.82
MT-ATP6	GTEx_Small Intestine - Terminal Ileum_187	35930.26	36890	11527.05
MT-ATP6	GTEx_Adipose - Visceral (Omentum)_541	38293.36	37800	12236.67
MT-ATP6	GTEx_Prostate_245	40427.35	39330	14225.97
MT-ATP6	GTEx_Colon - Transverse_406	39461.87	39460	11055.48
MT-ATP6	GTEx_Stomach_359	40898.55	39860	11837.01
MT-ATP6	GTEx_Brain - Cerebellar Hemisphere_215	43898.23	41810	13738.76
MT-ATP6	GTEx_Muscle - Skeletal_803	45107.62	44900	9560.99
MT-ATP6	GTEx_Brain - Cerebellum_241	46756.51	46010	10647.33
MT-ATP6	GTEx_Brain - Spinal cord (cervical c-1)_159	47812.96	46290	12701.65
MT-ATP6	GTEx_Adrenal Gland_258	50735.12	50810	10811.86
MT-ATP6	GTEx_Liver_226	51999.04	51825	18613.17
MT-ATP6	GTEx_Brain - Frontal Cortex (BA9)_209	51824.26	51960	11408.33
MT-ATP6	GTEx_Brain - Cortex_255	56251.41	56620	8751.71
MT-ATP6	GTEx_Brain - Substantia nigra_139	56785.97	57360	10082.67
MT-ATP6	GTEx_Brain - Hypothalamus_202	57956.52	57875	12317.32
MT-ATP6	GTEx_Brain - Anterior cingulate cortex (BA24)_176	58314.6	59025	10473.73
MT-ATP6	GTEx_Brain - Amygdala_152	59725.78	60440	10992.73
MT-ATP6	GTEx_Brain - Nucleus accumbens (basal ganglia)_246	62001	61730	12234.37
MT-ATP6	GTEx_Heart - Atrial Appendage_429	62387.32	62060	14349.23
MT-ATP6	GTEx_Brain - Hippocampus_197	62370	63710	11033.15
MT-ATP6	GTEx_Kidney - Cortex_85	62580	65440	20168.64
MT-ATP6	GTEx_Brain - Caudate (basal ganglia)_246	65080.2	65530	10801.85
MT-ATP6	GTEx_Heart - Left Ventricle_432	71521.27	68825	18182.48
MT-ATP6	GTEx_Brain - Putamen (basal ganglia)_205	68604.44	69430	10808.76
