Kids_First_Biospecimen_ID	sample_id	tumor_fraction
BS_V9HVBBDW	7316-438	1.23184e-4
BS_VAAHBH60	7316-2266	0.73588649
BS_VARR255N	7316-3522	1
BS_VF5XWFXD	7316-2594	0.745051138
BS_VJ2S5DVS	7316-1969	0.861922226
BS_VJAC9H58	7316-3029	1
BS_VJVDJABP	7316-96	1
BS_VMMJYN8Z	7316-1783	0.920505013
BS_VMQMGSJY	7316-3521	0.301456335
BS_VNE0ZPBS	7316-3519	1
BS_VNK9XYV9	7316-1950	0.312438022
BS_VNWKNRY4	7316-3311	0.908080513
BS_VP3C8WZT	7316-391	1
BS_VP5Y45Z7	7316-658	0.006066467
BS_VPMKHW9X	7316-3891	0.517029812
BS_VPNXJE2S	7316-3892	0.141254416
BS_VR7FR1NE	7316-1928	1
BS_VTJ9ESSV	7316-39	1
BS_VVTHDRBD	7316-2288	0.698617607
BS_VW85Q4XJ	7316-2962	1
BS_VXEFKW5P	7316-234	0.757003146
BS_VXHWZJDC	7316-2149	0.513697529
BS_W18SF91A	7316-3149	1
BS_W311713R	7316-2169	0.463407434
BS_W36RZSFA	7316-431	0.767940901
BS_W41S7B55	7316-1704	0.373398358
BS_W4HGV6E7	7316-3040	0.360096813
BS_W644VEVE	7316-3023	0.916051823
BS_W6AC5J3C	7316-1938	0.895029469
BS_W7FP2G3F	7316-3520	0.347560772
BS_W80TJC27	7316-423	0.899988482
BS_W97QQYKQ	7316-1071	0.346355269
BS_W9AT0MR7	7316-4028	0.534327344
BS_W9N9844Q	7316-515	0.398167136
BS_WAXJY4XQ	7316-2069	0.671848641
BS_WCRKYV0T	7316-152	1
BS_WE3Q8A73	7316-1654	0.862633376
BS_WFD0GE5X	7316-1107	1
BS_WG203ECV	7316-896	1
BS_WGK8ZMVA	7316-4035	0.614572004
BS_WH8G4VFB	7316-3206	0.728103835
BS_WJ9H4NZZ	7316-2091	0.84168766
BS_WJGFDRWK	7316-2150	0.482653426
BS_WKESC3XN	7316-3303	0.363484871
BS_WMEHNDSK	7316-2707	0.847826554
BS_WRHDP7WF	7316-405	0.651890555
BS_WRQHPSXQ	7316-389	0.578093063
BS_WSQMAA33	7316-1785	0.629617071
BS_WV0S8N4M	7316-2688	0.578652094
BS_WVS02TZK	7316-1109	0.620810342
BS_WWKNJSJ5	7316-3680	0.450200913
BS_WYERXS4G	7316-1799	0.883627032
BS_WYG77VVP	7316-3057	0.521340913
BS_X0F9AYEC	7316-196	1
BS_X16PENSA	7316-1942	1
BS_X23724NJ	7316-1656	0.591250747
BS_X2QTK3QD	7316-2588	0.564622972
BS_X59HSFGG	7316-1767	0.635411158
BS_X9EGD530	7316-2204	0.323685359
BS_XBQZYS8G	7316-76	0.957661154
BS_XF0ZX2B3	7316-872	0.546330822
BS_XG0DBWVT	7316-3122	0.851199551
BS_XGSA3GQE	7316-3062	0.345349106
BS_XHCYEE2S	7316-3020	0.609879455
BS_XJTW0P8P	7316-3317	1
BS_XQ5SFW35	7316-89	0.129040059
BS_XZTV0J8W	7316-185	0.746490464
BS_Y0PCBNJV	7316-643	1
BS_Y3G1X98S	7316-3312	0.214009972
BS_Y7F9E2E9	7316-2723	1
BS_YA8RBGD8	7316-1661	0.30412775
BS_YB07VF1X	7316-2935	0.113509805
BS_YB2RXRHT	7316-3074	0.30474646
BS_YCREDZTJ	7316-2075	0.798992422
BS_YE1MAQYJ	7316-3319	0.503286449
BS_YEB88D32	7316-3857	0.964954385
BS_YEQVW4ND	7316-2135	0.353988646
BS_YETBN0RQ	7316-1945	0.991709579
BS_YG0A13JH	7316-2897	0.855074217
BS_YH05F9DB	7316-3070	0.760088469
BS_YK6VQ9SJ	7316-1070	1
BS_YMAJC22S	7316-2753	0.748638424
BS_YNEQJ6AH	7316-3048	0.014587978
BS_YVMEEBKC	7316-3055	0.328364832
BS_YY5B2XDD	7316-460	0.395296623
BS_YZ2Z1Q6Y	7316-3068	0.620527537
BS_Z0AVVB1V	7316-146	1
BS_Z1A875MW	7316-3064	0.289171756
BS_Z2NWPQKF	7316-215	1
BS_Z45HD492	7316-3488	0.014346145
BS_Z6BWR941	7316-1683	0.730585225
BS_Z6MC4N8D	7316-1111	1
BS_Z72QAZC7	7316-2939	0.285274634
BS_Z7890YNR	7316-451	0.953464187
BS_Z7G68ZS2	7316-171	1
BS_Z7Y2466H	7316-1226	0.168979738
BS_Z85M2R3N	7316-3204	0.314197111
BS_Z8YZ6QGS	7316-2307	0.702009297
BS_Z9ZS6ZS2	7316-356	0.252614018
BS_ZA9XT151	7316-1766	1
BS_ZF34SJGN	7316-2671	1
BS_ZH1FBX50	7316-1674	1
BS_ZHHAM3AN	7316-3628	0.651735444
BS_ZN8136D9	7316-197	0.452688507
BS_ZR96A4FH	7316-952	0.87546916
BS_ZRM0W01M	7316-470	1
BS_ZTWGFWTX	7316-3054	1
BS_ZV68CES9	7316-3756	0.424862208
BS_ZV9Z3SY6	7316-1794	1
BS_ZVWE73JZ	7316-1936	0.754323053
BS_ZVX2GRD6	7316-9	0.555359349
BS_ZVZDDW2G	7316-2664	0.454145481
BS_ZWR9W4FX	7316-1653	1
BS_ZXYDSBM9	7316-739	0.446616123
BS_ZZMYDZJW	7316-436	0.771119618
BS_ZZPBANDD	7316-1941	0.216743046
