Kids_First_Biospecimen_ID	sample_id	tumor_fraction
BS_53CTGDQG	7316-1792	0.581196866
BS_53GQKVEX	7316-487	0.807915183
BS_53M8PP88	7316-1784	0.96169056
BS_55JW3HFM	7316-1965	1
BS_55P8HPYD	7316-1668	1
BS_5965SFPZ	7316-2557	0.322516838
BS_5AF6ZNJF	7316-1702	0.816174095
BS_5CMGN56B	7316-264	1
BS_5JM573JC	7316-2255	0.574253793
BS_5K3R0F5D	7316-452	1
BS_5NWDARXG	7316-32	0.365944924
BS_5P3CZQV8	7316-3558	0.66705017
BS_5PEFNDCY	7316-1637	0.301475849
BS_5PV5N4HQ	7316-2305	1
BS_5YJEPPTP	7316-954	0.244223165
BS_60K3EQ9S	7316-3151	0.160509519
BS_66ABA973	7316-121	1
BS_66HQ3E4Z	7316-2291	0.672896484
BS_67PX06P3	7316-3632	0.368767974
BS_67Z63A2K	7316-3069	1
BS_680K119G	7316-3067	1
BS_68BW2163	7316-2245	1
BS_699TN5RN	7316-1793	0.19024064
BS_69V8P8A0	7316-209	1
BS_6G6C7VPX	7316-2186	0.911112708
BS_6H1C1ME9	7316-2558	0.677595577
BS_6HTK4YJP	7316-2662	0.312876456
BS_6JHXXVR7	7316-2576	0.688210526
BS_6MY8W3H0	7316-3768	1
BS_6MZ7FRZH	7316-3893	1
BS_6N3AFF66	7316-516	0.320910448
BS_6NRTJSYK	7316-464	0.556037669
BS_6R7SFVV2	7316-202	1
BS_6VF6VPCG	7316-2583	0.437888449
BS_6YMJ621P	7316-2673	0.832988916
BS_70FFPA51	7316-3623	0.535860051
BS_7327SDAQ	7316-2308	0.635859185
BS_742RHK1M	7316-2608	0.458412731
BS_74FS6GMW	7316-2933	0.315363164
BS_769BDPDB	7316-917	0.872638959
BS_77317DY4	7316-2133	0.658769661
BS_775HDFNY	7316-3919	0.500787848
BS_78QX3XDF	7316-3773	1
BS_7B89YR6K	7316-2758	1
BS_7BTZQKYY	7316-2757	1
BS_7C40TRCY	7316-2780	0.938017222
BS_7H4RFCW9	7316-3150	0.222803815
BS_7N0B2CY1	7316-1985	1
BS_7P83Z28P	7316-666	0.655464268
BS_7S6GNG04	7316-382	1
BS_7T1J3KET	7316-341	1
BS_7WNSZNE3	7316-1797	0.041903657
BS_7XQRH69M	7316-3809	0.934237904
BS_7Z93ZYMS	7316-3622	1
BS_81SP2HX4	7316-931	0.861659342
BS_850BAHH9	7316-2187	0.312426257
BS_86Q14TZG	7316-949	1
BS_8D0NYM46	7316-387	0.796555553
BS_8F9BDWY4	7316-1782	1
BS_8J3B6ZB6	7316-1975	1
BS_8NY9J9NQ	7316-1703	0.738103796
BS_8PNA0V6R	7316-1946	0.753547524
BS_8Q77HZ4R	7316-2244	0.700985328
BS_8RCR7Y4B	7316-2632	0.683494692
BS_8RHPJ740	7316-384	0.819012126
BS_8VAZSJEN	7316-459	1
BS_8Z3SCKB5	7316-936	0.917515262
BS_8ZP3CBQA	7316-2125	0.840636144
BS_912NX4Y0	7316-3917	0.189225247
BS_92VDQ0NE	7316-2760	0.446470676
BS_94MT16N2	7316-437	0.962831918
BS_97M1E2DW	7316-3208	0.491655813
BS_996ZS2A4	7316-2276	0.340322167
BS_99B1XRZQ	7316-490	0.921408369
BS_9BJARSX3	7316-884	0.481680388
BS_9DFBHHB5	7316-944	0.03547323
BS_9DZ253JY	7316-3061	0.398572581
BS_9E7YVFJM	7316-73	1
BS_9F09XV62	7316-875	0.275323492
BS_9FHSNVS0	7316-2269	0.799475379
BS_9G69F50J	7316-1462	0.351893261
BS_9GJ23RHH	7316-1747	0.947802004
BS_9HA238XS	7316-497	0.749050636
BS_9M5XJ10G	7316-735	0.575654523
BS_9NJHQE9F	7316-3510	0.480411991
BS_9NZ2D6AD	7316-2178	0.868415241
BS_9P9MB8X8	7316-499	1
BS_9PB3XH5D	7316-746	0.954865344
BS_9Q6Z6VJC	7316-475	1
BS_9SJWWYQ4	7316-1963	0.728850668
BS_9V633J1X	7316-2287	0.628378489
BS_9XWJ88Q1	7316-2139	0.073837943
BS_A0DYVX9J	7316-2140	0.639832195
BS_A13BMEF5	7316-2663	1
BS_A14Z8BBK	7316-1118	0.737269145
BS_A1VEGWTR	7316-1851	1
BS_A3QZB9Y2	7316-901	0.58816203
BS_A46RDWGM	7316-1113	0.297143402
BS_A7MC2KR2	7316-2157	1
BS_A87NPZAP	7316-3511	0.945963184
BS_A89VAPVV	7316-894	0.078038873
BS_AA164D3A	7316-2720	1
BS_ABYF92Z9	7316-226	0.233254464
BS_AD4JPN9Q	7316-2306	1
BS_AG3D3435	7316-1658	0.673303377
BS_AG4H9S3J	7316-3152	0.929068641
BS_AGS1HHGF	7316-1103	0.599524394
BS_AHEFXG7W	7316-1801	0.722350458
BS_AJ6X83G5	7316-915	0.003454739
BS_AKRHBPNZ	7316-1077	1
BS_AM70R8RG	7316-1669	0.991834876
BS_AMQGM1V9	7316-123	1
BS_AMZ70B6F	7316-1680	1
BS_AP0SZ364	7316-946	1
BS_ARBQDTT5	7316-1972	0.376933825
BS_ARFQ1WG3	7316-3630	0.27674744
BS_AVYNZHSB	7316-677	0.390869864
BS_AWH9757B	7316-3769	0.513892684
BS_AZN38B7V	7316-2153	0.777914263
BS_B0SVFK4P	7316-136	1
BS_B24PKKQB	7316-498	0.007547161
BS_B3M5SGPA	7316-1760	0.733810965
BS_B53Z0T1Q	7316-1748	0.229855814
BS_B61168DE	7316-3148	0.894207408
BS_B6M763JS	7316-1977	0.309961324
BS_B741RZY9	7316-2860	0.461953015
BS_B7GEH89C	7316-2324	0.578380445
BS_B7QS4DHK	7316-4341	1
BS_B7X8VXQ3	7316-120	0.389660907
BS_B8T7M0WV	7316-3557	1
BS_B9V8RGTA	7316-956	0.964013894
BS_BA6AZWB3	7316-182	0.296823644
BS_BC936YNZ	7316-186	1
BS_BJDNWMJH	7316-1955	0.901949802
BS_BKQZ550R	7316-3065	0.646899677
BS_BKR4E30C	7316-133	0.240996122
BS_BPSTSCBJ	7316-3308	0.341060447
BS_BPWEFR89	7316-729	0.807187923
BS_BSV07M7Z	7316-1083	0.986297267
BS_C05FKR8X	7316-2666	0.924081235
BS_C3P5BC92	7316-258	0.342595126
BS_C51RB0YR	7316-1635	0.629320217
BS_C6SKJG3N	7316-3751	1
BS_C6ZZ3FY5	7316-1105	0.709735418
BS_C7A2TYAC	7316-874	0.531686703
BS_C7N3J4NW	7316-2237	0.359444208
BS_C80S5N37	7316-429	1
BS_CB6VK7PB	7316-1648	1
BS_CGB2WS2A	7316-2099	1
BS_CQEETJ66	7316-948	1
BS_CQSAJ7BF	7316-1750	0.482440298
BS_CREQ97QC	7316-3574	0.234632227
BS_CTR5X93B	7316-2006	1
BS_CVGFNCBJ	7316-97	0.283064546
BS_CW9QV8AG	7316-725	0.785957563
BS_CXVGG342	7316-2100	0.846526187
BS_CXVJK2FY	7316-3299	0.508383495
BS_CYEY58NY	7316-3072	0.982786283
BS_CZ3ER8DY	7316-736	0.152951879
BS_CZ82ANWP	7316-3132	1
BS_D0BGESQF	7316-1080	0.68332658
BS_D0RDN4K5	7316-2987	0.895198538
BS_D144EJRQ	7316-2322	0.92186862
BS_D2K9C7XR	7316-1751	0.64448758
BS_D3YBV7KB	7316-1943	1
BS_D4PJYHZ2	7316-170	1
BS_D5NQV7N5	7316-205	1
BS_D5P6EZ1M	7316-456	0.734979466
BS_D8N31T39	7316-502	0.758647086
BS_D9GEXXHX	7316-1705	0.712681494
BS_DBDXCXT5	7316-4062	0.987937096
BS_DEHJF4C7	7316-2310	0.373955527
BS_DFWFBYSN	7316-556	0.97544195
BS_DGTPWJ59	7316-340	1
BS_DHA5FMVW	7316-122	0.722421861
BS_DMZP9G1H	7316-1636	1
BS_DPF1CX0G	7316-117	0.414770524
BS_DRD9QXR5	7316-3316	1
BS_DS438CXE	7316-2857	0.971830266
BS_DSS3S5XD	7316-247	0.09320216
BS_DV86M0Y7	7316-3515	0.607607133
BS_DVCQ8XDZ	7316-3073	0.23462705
BS_DY88N5ZT	7316-224	0.865159231
BS_DY9NTFQR	7316-1096	1
BS_E054DFJN	7316-1082	0.266070767
BS_E0N3PTPN	7316-2990	0.406741575
BS_E2Z940S4	7316-1461	1
BS_E3BAT4C1	7316-2240	0.736343183
BS_E3EJHXQV	7316-2581	0.572387842
BS_E4F1D721	7316-1786	0.23992792
BS_E4GC9EXR	7316-893	0.222319443
BS_E4QK839R	7316-167	0.246027116
BS_EBMCTR80	7316-1845	0.750532401
BS_EF775B3K	7316-92	1
BS_EFE4YEK3	7316-1655	0.951684993
BS_EFEZB0ZH	7316-924	1
BS_EHVYJAVA	7316-741	0.420993994
BS_EJ9JKM1C	7316-3295	0.653434857
BS_EMMF4PZX	7316-561	1
BS_EN2VK7NY	7316-2147	1
BS_ENKG5GF3	7316-223	1
BS_ERJAJ0KA	7316-2809	1
BS_ERWT0ZWE	7316-1670	0.62946303
BS_ET8CJXSF	7316-1643	0.139553825
BS_EVCAC3NH	7316-740	0.301018566
BS_EXGBH3TD	7316-681	1
BS_EXYHZ6D4	7316-2622	1
BS_EYSS0ZDS	7316-2215	1
BS_EYYMKWB7	7316-1087	0.263858646
BS_F4E8R9VY	7316-914	0.761335743
BS_F5BZSF3Q	7316-2743	1
BS_F6V1Y4QS	7316-2864	0.703186621
BS_F6Z5HFWH	7316-1693	0.721255815
BS_F8N6CFQE	7316-3154	0.348147645
BS_F9WKPDFG	7316-2668	0.069905735
BS_FAQQ0GCQ	7316-2571	0.431374375
BS_FAVRBEW7	7316-257	0.93832806
BS_FBJ5Q54N	7316-950	1
BS_FCAKKZ20	7316-95	0.512668799
BS_FEPRNEXX	7316-2577	0.613054174
BS_FEV5A0HN	7316-535	0.366562152
BS_FEYMKEK8	7316-2251	0.911984853
BS_FJWZ3M7V	7316-1779	0.44777093
BS_FJZPQZ2C	7316-3923	1
BS_FQX1PRAJ	7316-2166	1
BS_FRM9TG02	7316-13	1
BS_FRZ76GEG	7316-2183	1
BS_FWMJPKCV	7316-3621	1
BS_FX2P2WEG	7316-2640	0.275748727
BS_G00FHF3Q	7316-2971	0.953869932
BS_G23JJAZY	7316-189	0.968056569
BS_G3RJTBZD	7316-2085	0.276803934
BS_G5QBBHDV	7316-184	0.44440455
BS_G63HYD6N	7316-2556	0.459395585
BS_G9XE3N9T	7316-3575	1
BS_GC3CH9TY	7316-3571	1
BS_GCA4GET3	7316-162	0.181379233
BS_GDHH6T5A	7316-10	1
BS_GE2RVZE6	7316-407	0.984044097
BS_GFM6EA61	7316-921	0.845532546
BS_GG9W3J9Y	7316-3817	0.768791024
BS_GHNJ4CYC	7316-2184	1
BS_GJNCYABP	7316-2582	1
BS_GMDQK06Q	7316-2311	0.582774649
BS_GNV89A5P	7316-314	0.38944918
BS_GPEGRCCT	7316-934	0.693142233
BS_GR46VD0Q	7316-2899	0.693958772
BS_GS1KR5PK	7316-1772	0.710529101
BS_GSVCN2XC	7316-723	0.890474595
BS_GTZCFGRZ	7316-3060	0.309214155
BS_GV3NZ9QD	7316-330	1
BS_GW0GKWMS	7316-1956	0.796107069
BS_GWCRMKE6	7316-882	1
BS_GYA4V1RD	7316-3556	1
BS_GYXSDZ56	7316-390	1
BS_H0QWRJE2	7316-2146	0.860728993
BS_H1XPVS9A	7316-1106	0.675470895
BS_H3FE3TH9	7316-3203	1
BS_H3Y8FWHV	7316-1094	0.700286733
BS_H8A9PSYA	7316-495	1
BS_HB03GSHF	7316-2252	0.886515215
BS_HBJZR69P	7316-1983	1
BS_HC44ZA0V	7316-322	0.955489986
BS_HC5M8JTC	7316-1084	0.660603058
BS_HCP5C912	7316-1962	1
BS_HD4EJYE3	7316-676	0.952897951
BS_HE57E1RP	7316-2230	0.975036972
BS_HF3RNN2T	7316-2155	0.948771545
BS_HHPA8NJ2	7316-313	0.675515064
BS_HQ5BJ6MW	7316-134	1
BS_HSHN8PBB	7316-1081	1
BS_HTEPAKCM	7316-2227	0.524939138
BS_HV8PFRBR	7316-175	1
BS_HX0S30NE	7316-1652	0.326478395
BS_HZ707C55	7316-2661	0.971952656
BS_HZE3KYZ1	7316-38	0.91743174
BS_HZRM07TW	7316-670	0.497766844
BS_J483EMFP	7316-878	0.850161509
BS_J4GQPZS0	7316-29	0.351637847
BS_J60G8DMK	7316-279	0.73229813
BS_J71N7D09	7316-2626	1
BS_J8VX4D17	7316-506	0.796894802
BS_JAEM78XS	7316-2148	0.814903539
BS_JBGZ7HHZ	7316-4033	1
BS_JCPKYHKY	7316-1075	1
BS_JFB984RG	7316-553	0.968349093
BS_JFEZA9KE	7316-458	0.508251896
BS_JFR750KD	7316-344	0.375306628
BS_JG9JZTA9	7316-663	0.362250655
BS_JGPR9SR2	7316-2177	0.574653662
BS_JH29M4KG	7316-726	0.384946783
BS_JHGW42S6	7316-2858	0.699091409
