Kids_First_Biospecimen_ID,gene,mutations
BS_02YBZSBY,ADA2,1
BS_02YBZSBY,ADAD1,1
BS_02YBZSBY,ADAM11,2
BS_02YBZSBY,ADAM15,3
BS_02YBZSBY,ADAM19,2
BS_02YBZSBY,ADAM22,1
BS_02YBZSBY,ADAM23,2
BS_02YBZSBY,ADAM29,1
BS_02YBZSBY,ADAM33,2
BS_02YBZSBY,ADAM7,1
BS_02YBZSBY,ADAMTS10,2
BS_02YBZSBY,ADAMTS13,6
BS_02YBZSBY,ADAMTS14,3
BS_02YBZSBY,ADAMTS15,2
BS_02YBZSBY,ADAMTS16,3
BS_02YBZSBY,ADAMTS17,1
BS_02YBZSBY,ADAMTS18,3
BS_02YBZSBY,ADAMTS19,2
BS_02YBZSBY,ADAMTS2,1
BS_02YBZSBY,ADAMTS3,2
BS_02YBZSBY,ADAMTS5,2
BS_02YBZSBY,ADAMTS6,1
BS_02YBZSBY,ADAMTS7,1
BS_02YBZSBY,ADAMTS9,1
BS_02YBZSBY,ADAMTSL1,2
BS_02YBZSBY,ADAMTSL2,3
BS_02YBZSBY,ADAMTSL4,1
BS_02YBZSBY,ADAMTSL5,1
BS_02YBZSBY,ADAR,2
BS_02YBZSBY,ADARB2,3
BS_02YBZSBY,ADAT1,1
BS_02YBZSBY,ADAT3,3
BS_02YBZSBY,ADCY1,2
BS_02YBZSBY,ADCY10,1
BS_02YBZSBY,ADCY4,1
BS_02YBZSBY,ADCY5,3
BS_02YBZSBY,ADCY9,6
BS_02YBZSBY,ADCYAP1R1,1
BS_02YBZSBY,ADD2,1
BS_02YBZSBY,ADD3,1
BS_02YBZSBY,ADGB,1
BS_02YBZSBY,ADGRA1,1
BS_02YBZSBY,ADGRA2,3
BS_02YBZSBY,ADGRA3,2
BS_02YBZSBY,ADGRB1,3
BS_02YBZSBY,ADGRB2,1
BS_02YBZSBY,ADGRB3,1
BS_02YBZSBY,ADGRD1,2
BS_02YBZSBY,ADGRE1,1
BS_02YBZSBY,ADGRF3,3
BS_02YBZSBY,ADGRG4,1
BS_02YBZSBY,ADGRG5,2
BS_02YBZSBY,ADGRL1,2
BS_02YBZSBY,ADGRV1,6
BS_02YBZSBY,ADH1B,1
BS_02YBZSBY,ADHFE1,1
BS_02YBZSBY,ADNP,2
BS_02YBZSBY,ADNP2,1
BS_02YBZSBY,ADORA2A,2
BS_02YBZSBY,ADPRHL1,1
BS_02YBZSBY,ADRA1A,1
BS_02YBZSBY,ADRA1B,1
BS_02YBZSBY,ADRA1D,1
BS_02YBZSBY,ADRB1,1
BS_02YBZSBY,ADRB2,1
BS_02YBZSBY,ADRM1,1
BS_02YBZSBY,ADSL,2
BS_02YBZSBY,ADSSL1,1
BS_02YBZSBY,ADTRP,2
BS_02YBZSBY,AEBP1,4
BS_02YBZSBY,AEBP2,1
BS_02YBZSBY,AFAP1L1,1
BS_02YBZSBY,AFAP1L2,1
BS_02YBZSBY,AFDN,3
BS_02YBZSBY,AFF1,3
BS_02YBZSBY,AFF2,2
BS_02YBZSBY,AFF3,1
BS_02YBZSBY,AFMID,1
BS_02YBZSBY,AGAP2,1
BS_02YBZSBY,AGAP3,3
BS_02YBZSBY,AGGF1,1
BS_02YBZSBY,AGMAT,1
BS_02YBZSBY,AGMO,1
BS_02YBZSBY,AGO2,1
BS_02YBZSBY,AGO3,1
BS_02YBZSBY,AGO4,3
BS_02YBZSBY,AGPAT3,1
BS_02YBZSBY,AGPAT5,2
BS_02YBZSBY,AGPS,1
BS_02YBZSBY,AGRN,2
BS_02YBZSBY,AGTPBP1,1
BS_02YBZSBY,AGTR1,1
BS_02YBZSBY,AGTR2,1
BS_02YBZSBY,AGXT,1
BS_02YBZSBY,AGXT2,1
BS_02YBZSBY,AHCTF1,1
BS_02YBZSBY,AHCY,2
BS_02YBZSBY,AHCYL2,1
BS_02YBZSBY,AHDC1,2
BS_02YBZSBY,AHI1,3
BS_02YBZSBY,AHR,1
BS_02YBZSBY,AHRR,2
BS_02YBZSBY,AHSA1,1
BS_02YBZSBY,AIG1,1
BS_02YBZSBY,AJAP1,3
BS_02YBZSBY,AJM1,2
BS_02YBZSBY,AK8,1
BS_02YBZSBY,AK9,2
BS_02YBZSBY,AKAP1,1
BS_02YBZSBY,AKAP10,1
BS_02YBZSBY,AKAP11,2
BS_02YBZSBY,AKAP12,1
BS_02YBZSBY,AKAP13,3
BS_02YBZSBY,AKAP17A,1
BS_02YBZSBY,AKAP2,1
BS_02YBZSBY,AKAP4,1
BS_02YBZSBY,AKAP5,1
BS_02YBZSBY,AKAP8,1
BS_02YBZSBY,AKAP8L,1
BS_02YBZSBY,AKAP9,2
BS_02YBZSBY,AKIRIN2,1
BS_02YBZSBY,AKNA,2
BS_02YBZSBY,AKR1C3,1
BS_02YBZSBY,AL136295.1,1
BS_02YBZSBY,AL592490.1,1
BS_02YBZSBY,AL845331.2,1
BS_02YBZSBY,ALAS1,1
BS_02YBZSBY,ALAS2,1
BS_02YBZSBY,ALCAM,1
BS_02YBZSBY,ALDH1A1,1
BS_02YBZSBY,ALDH1A3,1
BS_02YBZSBY,ALDH1L1,1
BS_02YBZSBY,ALDH1L2,2
BS_02YBZSBY,ALDH3B1,1
BS_02YBZSBY,ALDH3B2,1
BS_02YBZSBY,ALDH5A1,1
BS_02YBZSBY,ALDH7A1,1
BS_02YBZSBY,ALDOC,1
BS_02YBZSBY,ALG1,1
BS_02YBZSBY,ALG13,1
BS_02YBZSBY,ALG8,1
BS_02YBZSBY,ALK,1
BS_02YBZSBY,ALMS1,2
BS_02YBZSBY,ALOX12,1
BS_02YBZSBY,ALOX15,1
BS_02YBZSBY,ALOXE3,1
BS_02YBZSBY,ALPG,1
BS_02YBZSBY,ALPK1,2
BS_02YBZSBY,ALPK2,2
BS_02YBZSBY,ALPK3,2
BS_02YBZSBY,ALS2,1
BS_02YBZSBY,ALS2CL,1
BS_02YBZSBY,AMACR,2
BS_02YBZSBY,AMBRA1,2
BS_02YBZSBY,AMDHD2,1
BS_02YBZSBY,AMER1,2
BS_02YBZSBY,AMER3,2
BS_02YBZSBY,AMHR2,1
BS_02YBZSBY,AMIGO2,1
BS_02YBZSBY,AMIGO3,1
BS_02YBZSBY,AMOTL2,1
BS_02YBZSBY,AMPD2,2
BS_02YBZSBY,AMPD3,1
BS_02YBZSBY,AMPH,3
BS_02YBZSBY,AMZ2,1
BS_02YBZSBY,ANAPC2,2
BS_02YBZSBY,ANGPTL1,1
BS_02YBZSBY,ANK1,4
BS_02YBZSBY,ANK2,3
BS_02YBZSBY,ANKAR,3
BS_02YBZSBY,ANKFY1,1
BS_02YBZSBY,ANKLE2,1
BS_02YBZSBY,ANKMY1,1
BS_02YBZSBY,ANKRD10,1
BS_02YBZSBY,ANKRD11,3
BS_02YBZSBY,ANKRD13C,1
BS_02YBZSBY,ANKRD17,4
BS_02YBZSBY,ANKRD24,3
BS_02YBZSBY,ANKRD27,1
BS_02YBZSBY,ANKRD28,2
BS_02YBZSBY,ANKRD30A,1
BS_02YBZSBY,ANKRD30B,1
BS_02YBZSBY,ANKRD33,1
BS_02YBZSBY,ANKRD33B,1
BS_02YBZSBY,ANKRD34C,2
BS_02YBZSBY,ANKRD44,2
BS_02YBZSBY,ANKRD46,1
BS_02YBZSBY,ANKRD50,1
BS_02YBZSBY,ANKRD52,5
BS_02YBZSBY,ANKRD6,1
BS_02YBZSBY,ANKRD65,2
BS_02YBZSBY,ANKRD66,1
BS_02YBZSBY,ANKS1A,1
BS_02YBZSBY,ANKS3,1
BS_02YBZSBY,ANKS6,3
BS_02YBZSBY,ANKZF1,1
BS_02YBZSBY,ANLN,1
BS_02YBZSBY,ANO3,1
BS_02YBZSBY,ANO6,1
BS_02YBZSBY,ANO8,3
BS_02YBZSBY,ANO9,2
BS_02YBZSBY,ANP32A,1
BS_02YBZSBY,ANP32E,1
BS_02YBZSBY,ANPEP,1
BS_02YBZSBY,ANXA11,1
BS_02YBZSBY,ANXA13,1
BS_02YBZSBY,ANXA2,1
BS_02YBZSBY,ANXA6,1
BS_02YBZSBY,ANXA9,1
BS_02YBZSBY,AOC1,2
BS_02YBZSBY,AOC2,1
BS_02YBZSBY,AOC3,2
BS_02YBZSBY,AOX1,1
BS_02YBZSBY,AP1G1,2
BS_02YBZSBY,AP1M2,1
BS_02YBZSBY,AP1S3,1
BS_02YBZSBY,AP2A1,1
BS_02YBZSBY,AP3B1,2
BS_02YBZSBY,AP3B2,1
BS_02YBZSBY,AP3D1,2
BS_02YBZSBY,AP4E1,1
BS_02YBZSBY,AP4M1,1
BS_02YBZSBY,AP4S1,1
BS_02YBZSBY,AP5B1,1
BS_02YBZSBY,AP5S1,1
BS_02YBZSBY,APAF1,2
BS_02YBZSBY,APBA3,1
BS_02YBZSBY,APBB1,3
BS_02YBZSBY,APBB3,1
BS_02YBZSBY,APC,2
BS_02YBZSBY,APC2,7
BS_02YBZSBY,APCDD1L,2
BS_02YBZSBY,APLNR,1
BS_02YBZSBY,APLP2,1
BS_02YBZSBY,APOA4,1
BS_02YBZSBY,APOA5,1
BS_02YBZSBY,APOBEC3G,1
BS_02YBZSBY,APOBR,4
BS_02YBZSBY,APOC3,1
BS_02YBZSBY,APOE,2
BS_02YBZSBY,APOH,1
BS_02YBZSBY,APOL3,1
BS_02YBZSBY,APOL6,2
BS_02YBZSBY,APP,2
BS_02YBZSBY,APPBP2,1
BS_02YBZSBY,APTX,1
BS_02YBZSBY,AQP3,1
BS_02YBZSBY,AQP6,1
BS_02YBZSBY,AQP7,1
BS_02YBZSBY,AR,2
BS_02YBZSBY,ARAF,2
BS_02YBZSBY,ARAP1,2
BS_02YBZSBY,ARAP2,2
BS_02YBZSBY,ARAP3,1
BS_02YBZSBY,ARC,1
BS_02YBZSBY,AREL1,1
BS_02YBZSBY,ARFGAP1,1
BS_02YBZSBY,ARFGAP2,1
BS_02YBZSBY,ARFGEF1,1
BS_02YBZSBY,ARFGEF3,2
BS_02YBZSBY,ARGFX,1
BS_02YBZSBY,ARHGAP12,1
BS_02YBZSBY,ARHGAP18,1
BS_02YBZSBY,ARHGAP20,2
BS_02YBZSBY,ARHGAP22,2
BS_02YBZSBY,ARHGAP26,1
BS_02YBZSBY,ARHGAP29,1
BS_02YBZSBY,ARHGAP30,1
BS_02YBZSBY,ARHGAP32,1
BS_02YBZSBY,ARHGAP36,1
BS_02YBZSBY,ARHGAP39,5
BS_02YBZSBY,ARHGAP4,1
BS_02YBZSBY,ARHGAP5,1
BS_02YBZSBY,ARHGAP6,1
BS_02YBZSBY,ARHGEF1,2
BS_02YBZSBY,ARHGEF10L,1
BS_02YBZSBY,ARHGEF11,1
BS_02YBZSBY,ARHGEF16,1
BS_02YBZSBY,ARHGEF17,2
BS_02YBZSBY,ARHGEF18,1
BS_02YBZSBY,ARHGEF19,1
BS_02YBZSBY,ARHGEF25,2
BS_02YBZSBY,ARHGEF28,1
BS_02YBZSBY,ARHGEF33,2
BS_02YBZSBY,ARHGEF37,1
BS_02YBZSBY,ARHGEF38,1
BS_02YBZSBY,ARHGEF4,1
BS_02YBZSBY,ARHGEF40,4
BS_02YBZSBY,ARHGEF6,1
BS_02YBZSBY,ARHGEF7,1
BS_02YBZSBY,ARHGEF9,1
BS_02YBZSBY,ARID1A,3
BS_02YBZSBY,ARID2,3
BS_02YBZSBY,ARID5A,2
BS_02YBZSBY,ARID5B,1
BS_02YBZSBY,ARIH2,1
BS_02YBZSBY,ARL10,1
BS_02YBZSBY,ARL13A,1
BS_02YBZSBY,ARMC12,1
BS_02YBZSBY,ARMC4,1
BS_02YBZSBY,ARMC5,2
BS_02YBZSBY,ARMC6,1
BS_02YBZSBY,ARMC7,1
BS_02YBZSBY,ARMCX2,1
BS_02YBZSBY,ARMCX4,4
BS_02YBZSBY,ARMH3,1
BS_02YBZSBY,ARMH4,1
BS_02YBZSBY,ARNT2,1
BS_02YBZSBY,ARNTL,1
BS_02YBZSBY,ARPC4,1
BS_02YBZSBY,ARRDC1,1
BS_02YBZSBY,ARSB,1
BS_02YBZSBY,ARSE,1
BS_02YBZSBY,ARSF,1
BS_02YBZSBY,ARSH,2
BS_02YBZSBY,ARSI,1
BS_02YBZSBY,ARVCF,2
BS_02YBZSBY,ASAH2,1
BS_02YBZSBY,ASAP1,1
BS_02YBZSBY,ASAP3,1
BS_02YBZSBY,ASB1,1
BS_02YBZSBY,ASB11,1
BS_02YBZSBY,ASB14,1
BS_02YBZSBY,ASB8,1
BS_02YBZSBY,ASB9,1
BS_02YBZSBY,ASCC2,2
BS_02YBZSBY,ASCC3,2
BS_02YBZSBY,ASH1L,1
BS_02YBZSBY,ASH2L,1
BS_02YBZSBY,ASIC3,1
BS_02YBZSBY,ASIC4,2
BS_02YBZSBY,ASMTL,1
BS_02YBZSBY,ASPG,2
BS_02YBZSBY,ASPHD1,1
BS_02YBZSBY,ASPM,3
BS_02YBZSBY,ASPSCR1,2
BS_02YBZSBY,ASRGL1,1
BS_02YBZSBY,ASS1,1
BS_02YBZSBY,ASTE1,1
BS_02YBZSBY,ASTL,1
BS_02YBZSBY,ASTN1,1
BS_02YBZSBY,ASTN2,3
BS_02YBZSBY,ASXL1,3
BS_02YBZSBY,ASXL2,2
BS_02YBZSBY,ASXL3,2
BS_02YBZSBY,ATAD2B,2
BS_02YBZSBY,ATAD3A,1
BS_02YBZSBY,ATAD5,2
BS_02YBZSBY,ATCAY,1
BS_02YBZSBY,ATF3,1
BS_02YBZSBY,ATG13,1
BS_02YBZSBY,ATG16L1,2
BS_02YBZSBY,ATG2A,1
BS_02YBZSBY,ATG4B,1
BS_02YBZSBY,ATG9A,1
BS_02YBZSBY,ATM,2
BS_02YBZSBY,ATN1,1
BS_02YBZSBY,ATP10A,3
BS_02YBZSBY,ATP10B,1
BS_02YBZSBY,ATP10D,1
BS_02YBZSBY,ATP11C,1
BS_02YBZSBY,ATP12A,1
BS_02YBZSBY,ATP13A2,1
BS_02YBZSBY,ATP1A2,1
BS_02YBZSBY,ATP1A3,1
BS_02YBZSBY,ATP1A4,2
BS_02YBZSBY,ATP2A1,2
BS_02YBZSBY,ATP2A3,1
BS_02YBZSBY,ATP2B2,1
BS_02YBZSBY,ATP2B3,2
BS_02YBZSBY,ATP2B4,2
BS_02YBZSBY,ATP4B,1
BS_02YBZSBY,ATP6AP1,3
BS_02YBZSBY,ATP6V0A2,1
BS_02YBZSBY,ATP6V0A4,2
BS_02YBZSBY,ATP6V1A,2
BS_02YBZSBY,ATP6V1F,1
BS_02YBZSBY,ATP7B,1
BS_02YBZSBY,ATP8A2,1
BS_02YBZSBY,ATP8B1,1
BS_02YBZSBY,ATP8B2,1
BS_02YBZSBY,ATP8B4,2
BS_02YBZSBY,ATP9A,2
BS_02YBZSBY,ATP9B,2
BS_02YBZSBY,ATPAF1,1
BS_02YBZSBY,ATR,3
BS_02YBZSBY,ATRAID,1
BS_02YBZSBY,ATRIP,1
BS_02YBZSBY,ATRN,1
BS_02YBZSBY,ATRNL1,2
BS_02YBZSBY,ATRX,5
BS_02YBZSBY,ATXN2,1
BS_02YBZSBY,AUP1,1
BS_02YBZSBY,AURKB,1
BS_02YBZSBY,AVEN,1
BS_02YBZSBY,AVL9,1
BS_02YBZSBY,AVPR1A,1
BS_02YBZSBY,AVPR2,1
BS_02YBZSBY,AWAT1,1
BS_02YBZSBY,AXDND1,4
BS_02YBZSBY,AXIN1,3
BS_02YBZSBY,AXL,2
BS_02YBZSBY,AZIN2,2
BS_02YBZSBY,B3GALNT1,1
BS_02YBZSBY,B3GALT1,1
BS_02YBZSBY,B3GALT5,1
BS_02YBZSBY,B3GAT1,1
BS_02YBZSBY,B3GAT2,1
BS_02YBZSBY,B3GNT3,2
BS_02YBZSBY,B3GNT7,3
BS_02YBZSBY,B4GALNT1,1
BS_02YBZSBY,B4GALNT3,2
BS_02YBZSBY,B4GALNT4,2
BS_02YBZSBY,B4GALT3,5
BS_02YBZSBY,B4GAT1,1
BS_02YBZSBY,B9D1,1
BS_02YBZSBY,BACE1,1
BS_02YBZSBY,BAG3,2
BS_02YBZSBY,BAHD1,2
BS_02YBZSBY,BAIAP3,2
BS_02YBZSBY,BANK1,1
BS_02YBZSBY,BAP1,1
BS_02YBZSBY,BARD1,1
BS_02YBZSBY,BAZ2A,1
BS_02YBZSBY,BAZ2B,1
