Kids_First_Biospecimen_ID,count_regions_any_conf_truncated,sv_breaks_count
BS_007JTNB8,0,194
BS_00TRPEQX,2,888
BS_01DQH017,0,104
BS_01Y5F4PN,0,120
BS_02W5H7K5,0,128
BS_02YBZSBY,0,130
BS_03SSN1N2,0,38
BS_04B8X54S,0,106
BS_05S9WJW6,0,52
BS_06GEF6DB,0,68
BS_06GPPDHZ,0,144
BS_090GV72Q,0,68
BS_0DKPGQWD,0,144
BS_0EN5R1AP,0,738
BS_0FQKT8EY,1,312
BS_0J5GC803,0,400
BS_0J5MCBZV,1,576
BS_0Q8G4N8H,0,122
BS_0QEBZX3M,0,36
BS_0RF0G9SQ,0,150
BS_0S617SMM,0,698
BS_0SFXXBQ5,0,132
BS_0W8AWY10,0,102
BS_0XD58YD9,0,42
BS_0XR7GYAV,0,124
BS_0YVR8Q4E,0,12
BS_0ZR4XA69,0,156
BS_10AD3EFX,0,272
BS_10HD18B8,0,264
BS_11322HD1,0,46
BS_12ZB7R6A,0,554
BS_154FP4ZQ,0,56
BS_164KRQJ0,0,90
BS_16TBX6G5,0,226
BS_17AXPP1Y,0,166
BS_17FVWMNV,0,86
BS_185Q218S,0,72
BS_18NCV5QZ,0,282
BS_19EJ85F8,0,32
BS_1AZ8YJSH,2,196
BS_1B4Q7CNG,0,58
BS_1C4WCNQF,1,112
BS_1EQGGHHQ,0,32
BS_1EYKDS0Z,0,94
BS_1GK2EMFY,0,50
BS_1JMTTKMK,1,276
BS_1MME7FBS,0,30
BS_1RF75MK2,0,92
BS_1S2BHJ8K,0,122
BS_1S5V7WWC,0,168
BS_1VMBA3BN,0,106
BS_1YTHM07J,0,68
BS_20TBZG09,0,72
BS_20X874J5,1,128
BS_230S192D,0,418
BS_235QEYMQ,0,62
BS_23ZE42Q3,0,688
BS_245CTSH9,0,82
BS_25VZM81R,0,150
BS_2AWCKNB3,0,122
BS_2CD1XWVP,0,38
BS_2CQ6K2JW,0,56
BS_2E81A3FT,0,140
BS_2F70R10Z,0,46
BS_2HNHCSNB,0,148
BS_2J4FG4HV,2,634
BS_2JDVY4F7,0,286
BS_2NN6ME5A,0,182
BS_2P7MJGM7,1,114
BS_2RJN5Z4W,0,94
BS_2SG8JNMB,0,74
BS_2VB8649B,0,12
BS_2VHFP7M8,0,92
BS_2VSN5YC5,0,156
BS_2W200YK5,0,218
BS_2Z9JQDPV,0,108
BS_30W38X77,0,98
BS_3108RS7G,0,74
BS_32HAVF6S,0,74
BS_32VQRFDS,0,64
BS_354DTKHE,0,282
BS_36HCZ3KW,0,1078
BS_376Q9QKG,0,128
BS_39Q80NT3,0,118
BS_3A0CJMRH,0,98
BS_3AERRZQT,0,84
BS_3BMGF6GN,2,914
BS_3C4YAMKJ,0,70
BS_3DYRAZE7,0,38
BS_3J4T2YYW,0,108
BS_3JE2T7AR,0,128
BS_3NX3RBCX,4,770
