Kids_First_Biospecimen_ID,tp53_expression,tp53_altered,altered_counts
BS_014EVM2D,3.071303460401065,other,866
BS_02NZT8CE,3.1232455938529506,other,866
BS_03FT4S8B,3.630720539940404,other,866
BS_0448A413,3.9668899068689862,other,866
BS_044XZ8ST,2.8616292890305104,other,866
BS_052PZFMK,1.2325602611778486,lost,100
BS_063ERW0R,1.9080599249242156,other,866
BS_06AMMCXR,3.3721118007670587,other,866
BS_06XH7EVF,3.152736022363656,other,866
BS_07ANYSYQ,2.7447035187502458,other,866
BS_09R7GDA7,2.0451088625993306,other,866
BS_09Z7TC35,2.97092715463502,other,866
BS_0BXY0F9N,2.334083760053417,lost,100
BS_0C7VZC0A,2.556451816951096,other,866
BS_0GDJQANN,2.8814431271518632,other,866
BS_0HW7W7SD,3.702782359282928,other,866
BS_0J9SHHSC,2.689886230474539,other,866
BS_0QYS36NR,3.3017453026904953,other,866
BS_0RF0EZTV,3.0291670496402285,other,866
BS_0RQ4P069,3.19744787745458,lost,100
BS_0SCXXM6N,3.170105660498771,other,866
BS_0SPCTBZY,3.422958873443668,other,866
BS_0T17SY47,2.6369121732688705,other,866
BS_0VRSD9V3,3.3971893602646164,other,866
BS_0WQJP6ZG,2.8284963541780774,other,866
BS_0WVJYM9R,2.180417459019838,other,866
BS_0X9EGHY2,2.0347056478384444,other,866
BS_0XEG6SNV,2.7485521444115397,other,866
BS_0Y66ZBWE,1.8115620965242347,other,866
BS_1021ZGQT,3.594843462187342,other,866
BS_10APZRVT,3.1552968432253294,other,866
BS_11WY983P,3.4065165431397553,other,866
BS_13CGKADW,2.2300144001592104,other,866
BS_15ETQ0E4,3.654805473780185,other,866
BS_1607397Q,4.586802528629907,other,866
BS_17WYVEEC,2.3223877202902252,other,866
BS_196BBNEJ,3.1801349965517702,other,866
BS_1A6MQ9ZA,2.7040421797046714,other,866
BS_1AYRM596,2.421256622711544,other,866
BS_1BWP5MCT,3.3054204262683866,other,866
BS_1D6PZNKN,3.1441522786722644,other,866
BS_1EBQ3T20,4.23309149689756,other,866
BS_1EN5V3XW,3.5325179989895132,other,866
BS_1G3WYEN3,2.8384934971274993,other,866
BS_1HFK0SXV,3.3520071374713836,other,866
BS_1HQ76V6D,3.4170707308184456,other,866
BS_1J2WQ08M,3.4291367503513968,other,866
BS_1JDG6JV5,3.2850380271218693,other,866
BS_1KYGSMA7,2.9156062290747062,other,866
BS_1N9XZXGE,3.887935209899056,other,866
BS_1NPD7PVG,2.799108932049177,other,866
BS_1QNTEZPS,3.3246762437544124,other,866
BS_1QXEC43H,4.312676556539088,other,866
BS_1RT76ANT,3.255786178888298,other,866
BS_1RXZ3BP7,2.9719517448885875,other,866
BS_1SVVER1H,2.9575110607337933,other,866
BS_1T19NFJ8,1.6563214983329508,other,866
BS_1TPWFSK6,2.768204123921957,other,866
BS_1TWCV047,2.8015405441895487,other,866
BS_1XJ73KBQ,3.8172726688823353,other,866
BS_1ZVXF5FE,2.2267833795777636,other,866
BS_21RE8W46,2.6844403354630764,other,866
BS_23M72ABG,3.1276373444339294,other,866
BS_23QW0BBA,2.8581928595319295,other,866
BS_23W9EPFE,1.8656293177945105,other,866
BS_24AHZ9ZW,2.976039640208255,other,866
BS_258RRGDM,2.262804222982201,other,866
BS_25T139TX,2.8903717578961645,other,866
BS_264RCK7G,2.2460147415056513,other,866
BS_273HKCT4,2.038619547159581,other,866
BS_27QE6BV7,2.5945081597030812,other,866
BS_28CDASF7,2.529720665577793,other,866
BS_29006KEX,2.935451342669061,other,866
BS_29CPJ040,2.906354462402774,other,866
BS_29X4ZX6Q,3.643358938812127,activated,11
BS_2A162JH9,2.4309783077624445,lost,100
BS_2A5R9MEJ,3.4164143474670157,lost,100
BS_2ADZNNV4,2.6796507265805123,other,866
BS_2AR3AP0N,2.5764217586237734,other,866
BS_2EMW8ZG3,3.3474449256629084,other,866
BS_2EN3X6HB,2.9215473753646144,other,866
BS_2HN96129,3.3246762437544124,other,866
BS_2KJ2YAZR,3.218475744846861,other,866
BS_2R9TCR03,2.855895328366192,other,866
BS_2SFTWNVE,2.717340248009303,other,866
BS_2SHWPB5P,1.9878743481543455,other,866
BS_2W3NC4K1,3.4301087251565754,other,866
BS_2WPQ8YCW,2.7788192719904172,other,866
BS_2XD3MNKD,1.6389967146756448,other,866
BS_2YCJV2VV,3.2164729402518906,other,866
BS_2Z1MKS84,3.2035591207563074,lost,100
BS_30VC3R2Q,3.0694473113762717,other,866
BS_31TF0P1N,3.590439381300684,other,866
BS_34201DKZ,2.498973906999436,other,866
BS_37GTVG4N,3.9539324085053558,other,866
BS_398KYV92,1.9685099809725544,other,866
BS_399RPKC9,3.152736022363656,lost,100
BS_39CGACC7,1.851599469584072,other,866
BS_3BDAG9YN,3.7309806301325716,other,866
BS_3BVVWHP5,3.7017956793804827,other,866
BS_3DCBDJAT,3.055886196373738,other,866
BS_3EVSN5QD,2.725235025856311,other,866
BS_3F4FQJMR,1.3297240096314962,other,866
BS_3F5PR9GS,3.750679855019383,other,866
BS_3G3KWY18,3.064325065019603,other,866
BS_3H71BH6Q,3.0506938316279655,other,866
BS_3J85TTZM,2.942331496826876,other,866
BS_3KASVCSQ,2.9486406660201405,other,866
BS_3KHXMAJF,2.7466296830696852,other,866
BS_3MS8WVNR,3.9891692146047997,other,866
BS_3MYEMXPQ,2.0731719286662407,lost,100
BS_3NNQ6PSB,1.7578579175523736,lost,100
BS_3NWQXPQV,2.5447466501440172,other,866
BS_3P20Q2C3,2.2648832258100344,other,866
BS_3PYESPHA,2.248128907197987,other,866
BS_3Q0GTSYH,2.1938856760707046,other,866
BS_3T6X4BPC,1.9329696377795786,other,866
BS_3TQSE8HF,3.128951117340214,other,866
BS_3V3KE3VT,4.300545392805998,lost,100
BS_3W07B2TG,3.269568939183719,other,866
BS_3X9WMZGJ,2.8604851241459652,other,866
BS_3XY76V8T,2.405141681319138,other,866
BS_3Y0QXZQB,3.0937660138253564,other,866
BS_401R3KV0,3.0754672415728446,other,866
BS_40MP5BWR,3.3782698770184507,other,866
BS_42DY6WS7,2.1258479144939915,other,866
BS_42Y3YANN,2.830857630363757,other,866
BS_44A3ES23,3.486763269991802,other,866
BS_45J79YTF,3.7350471349589434,other,866
BS_46BZ2NNN,3.7887247890836524,other,866
BS_470DYRJQ,2.624668592163159,other,866
BS_478TN841,3.2646137165420543,other,866
