fpr,tpr,threshold,auroc,gene,shuffled,Classifier
0.8541666666666666,0.8,0.3669991120630672,0.38,TP53,TP53 Shuffle,TP53 Shuffle (AUROC = 0.38)
0.8541666666666666,0.9,0.3646121086991127,0.38,TP53,TP53 Shuffle,TP53 Shuffle (AUROC = 0.38)
0.8541666666666666,1,0.3644953989691057,0.38,TP53,TP53 Shuffle,TP53 Shuffle (AUROC = 0.38)
0.875,1,0.3486102793840972,0.38,TP53,TP53 Shuffle,TP53 Shuffle (AUROC = 0.38)
0.8958333333333334,1,0.34010473046092377,0.38,TP53,TP53 Shuffle,TP53 Shuffle (AUROC = 0.38)
0.9166666666666666,1,0.3344890012515577,0.38,TP53,TP53 Shuffle,TP53 Shuffle (AUROC = 0.38)
0.9375,1,0.3218878906000015,0.38,TP53,TP53 Shuffle,TP53 Shuffle (AUROC = 0.38)
0.9583333333333334,1,0.3057485936818489,0.38,TP53,TP53 Shuffle,TP53 Shuffle (AUROC = 0.38)
0.9791666666666666,1,0.2712454651218239,0.38,TP53,TP53 Shuffle,TP53 Shuffle (AUROC = 0.38)
1,1,0.19639877864175376,0.38,TP53,TP53 Shuffle,TP53 Shuffle (AUROC = 0.38)
