Kids_First_Biospecimen_ID,count_regions_any_conf_truncated,cnv_breaks_count
BS_007JTNB8,0,40
BS_00TRPEQX,2,100
BS_01DQH017,0,0
BS_01Y5F4PN,0,4
BS_02W5H7K5,0,6
BS_02YBZSBY,0,16
BS_03SSN1N2,0,6
BS_04B8X54S,0,10
BS_05S9WJW6,0,46
BS_06GEF6DB,0,28
BS_06GPPDHZ,0,0
BS_090GV72Q,0,4
BS_0DKPGQWD,0,20
BS_0EN5R1AP,0,0
BS_0FQKT8EY,1,40
BS_0J5GC803,0,0
BS_0J5MCBZV,1,68
BS_0Q8G4N8H,0,0
BS_0QEBZX3M,0,0
BS_0RF0G9SQ,0,68
BS_0S617SMM,0,30
BS_0SFXXBQ5,0,4
BS_0W8AWY10,0,4
BS_0XD58YD9,0,0
BS_0XR7GYAV,0,0
BS_0YVR8Q4E,0,12
BS_0ZR4XA69,0,0
BS_10AD3EFX,0,0
BS_10HD18B8,0,12
BS_11322HD1,0,2
BS_12ZB7R6A,0,6
BS_154FP4ZQ,0,2
BS_164KRQJ0,0,0
BS_16TBX6G5,0,2
BS_17AXPP1Y,0,0
BS_17FVWMNV,0,106
BS_185Q218S,0,12
BS_18NCV5QZ,0,58
BS_19EJ85F8,0,12
BS_1AZ8YJSH,2,100
BS_1B4Q7CNG,0,4
BS_1C4WCNQF,1,8
BS_1EQGGHHQ,0,2
BS_1EYKDS0Z,0,0
BS_1GK2EMFY,0,0
BS_1JMTTKMK,1,46
BS_1MME7FBS,0,0
BS_1RF75MK2,0,0
BS_1S2BHJ8K,0,16
BS_1S5V7WWC,0,58
BS_1VMBA3BN,0,0
BS_1YTHM07J,0,0
BS_20TBZG09,0,6
BS_20X874J5,1,106
BS_230S192D,0,62
BS_235QEYMQ,0,30
BS_23ZE42Q3,0,100
BS_245CTSH9,0,2
BS_25VZM81R,0,38
BS_2AWCKNB3,0,38
BS_2CD1XWVP,0,4
BS_2CQ6K2JW,0,0
BS_2E81A3FT,0,14
BS_2F70R10Z,0,2
BS_2HNHCSNB,0,6
BS_2J4FG4HV,2,244
BS_2JDVY4F7,0,16
BS_2NN6ME5A,0,0
BS_2P7MJGM7,1,32
BS_2RJN5Z4W,0,2
BS_2SG8JNMB,0,0
BS_2VB8649B,0,2
BS_2VHFP7M8,0,0
BS_2VSN5YC5,0,0
BS_2W200YK5,0,84
BS_2Z9JQDPV,0,2
BS_30W38X77,0,20
BS_3108RS7G,0,0
BS_32HAVF6S,0,0
BS_32VQRFDS,0,0
BS_354DTKHE,0,24
BS_36HCZ3KW,0,8
BS_376Q9QKG,0,28
BS_39Q80NT3,0,54
BS_3A0CJMRH,0,2
BS_3AERRZQT,0,4
BS_3BMGF6GN,2,118
BS_3C4YAMKJ,0,2
BS_3DYRAZE7,0,2
BS_3J4T2YYW,0,6
BS_3JE2T7AR,0,54
BS_3NX3RBCX,4,192
BS_3P96RT4E,0,6
BS_3QDRWJCF,0,0
BS_3R0KN6Z4,0,26
BS_3VKW5988,1,8
BS_3ZASRA3A,0,0
BS_3ZMH8578,0,2
BS_40FX713C,0,124
BS_40SJZGT2,0,0
BS_41SWNWAG,0,2
BS_41TD9XET,0,0
BS_42A66SH4,0,2
BS_45913DTA,0,14
BS_47454JJ6,0,24
BS_47X3VAM0,0,28
BS_49JD1V3S,0,4
BS_4DTX295Z,1,78
BS_4DY83R02,2,68
BS_4G9Y2VC6,0,4
BS_4GKH983E,1,74
BS_4M0ZMCDC,0,2
BS_4NPEMNAD,0,16
BS_4P25NNZD,0,18
BS_4PAE19ZC,0,0
BS_4QFSH7C4,0,20
BS_4RS1SC48,0,0
BS_4T8J7JEP,0,6
BS_4XPPZTGG,0,0
BS_4Z6F1HJZ,0,4
BS_4ZKN0WGS,0,4
BS_50XV7CTQ,0,6
BS_53TV75NN,0,4
BS_55N7KFHW,0,54
BS_58X7SKJS,0,0
BS_59FR1NC2,0,0
BS_5BMNK8SY,1,50
BS_5BNV7MCF,0,22
BS_5D24XV4T,0,36
BS_5KFAEMQJ,1,74
BS_5KK9P7XD,0,20
BS_5NAKYS1S,0,0
BS_5R0HHQ1Y,0,2
BS_5RD8KEED,0,14
BS_5V2FBYQG,0,2
BS_5V2XCW17,0,0
BS_5WK2KXYW,0,16
BS_5Y2Q63Y4,0,6
BS_5Z4XQC9X,0,4
BS_5ZRZC3ZM,0,4
BS_62XRDTM6,0,0
BS_69VS8PS1,1,88
BS_6FV7BDE3,0,12
BS_6FYTRKJJ,0,82
BS_6GN1FGTB,0,8
BS_6GTKRGNK,0,4
BS_6GV08HTE,0,2
BS_6HE8H9HY,0,4
BS_6KEYD1S4,0,2
BS_6NPSZJ4C,0,0
BS_6Q9PMNWY,0,4
BS_6SA5B35V,0,10
BS_6T87HSPX,1,38
BS_6TMPZKSZ,0,10
BS_6X3Z0AVR,0,4
BS_6XHDR1WS,1,8
BS_6XP91JM2,0,2
BS_6Y7FX7QJ,0,4
BS_6Z4WHYDG,0,0
BS_6ZP2KRPW,1,22
BS_70FKSKM9,0,2
BS_71HPXFE7,0,8
BS_742CDKAS,0,0
BS_74A1TB03,0,0
BS_75VHXMZN,0,2
BS_78TQS4Y3,0,2
BS_797V83YM,0,0
BS_79NQJZ09,0,0
BS_7BNQBB26,0,0
BS_7F07M7JG,0,0
BS_7GKF6M85,0,4
BS_7HC4W4SA,0,4
BS_7M5272WN,0,16
BS_7M6F9GQD,0,58
BS_7PF3C1P7,0,0
BS_7PKPNFFK,0,56
BS_7RQCH5Y7,0,30
BS_7Y5E5KQW,0,0
BS_80078QDG,3,106
BS_80X7AVCP,0,8
BS_8226HD4X,0,0
BS_823V5X6Z,1,116
BS_83MSWR59,0,138
BS_84AQCZE4,0,14
BS_859AV1DB,0,2
BS_85Q5P8GF,0,36
BS_85Y70BHE,0,0
BS_872Q3FK2,0,54
BS_886M7JMG,0,0
BS_89RCN9PF,0,0
BS_8B1YF57H,0,2
BS_8BD8WD38,0,0
BS_8BM1WTGR,0,4
BS_8BS10XE2,0,0
BS_8D52JK1Q,1,158
BS_8EB1S8MK,0,4
BS_8FSJDG2T,0,28
BS_8H2XX24V,0,0
BS_8JFMP1T1,0,8
BS_8Q8CAY84,0,2
BS_8SETK1J4,1,42
BS_8SYN7GXG,1,82
BS_8TFBNHT0,0,8
BS_8W0FNBWF,0,4
BS_8WJR4AA3,0,0
BS_8YQGSMDK,0,34
BS_922YMFYK,0,0
BS_928HWFFM,1,44
BS_93B38HPS,0,26
BS_947CK40E,0,0
BS_94AP61Q5,0,0
BS_95RRF4NE,0,2
BS_969K7ZM1,0,0
BS_96S0VQBN,0,0
BS_99PPRCW4,0,6
BS_9BF58P80,0,82
BS_9BGCH82S,1,24
BS_9CMJ3QF6,0,6
BS_9D39MFHT,0,20
BS_9E632VPJ,1,18
BS_9E6Q11G2,0,0
BS_9F2J6VS1,0,6
BS_9G7ETYHR,0,2
BS_9GJHMA3J,0,0
BS_9GSWPZ44,0,70
BS_9HDPJT21,0,18
BS_9HEMB7RK,0,14
BS_9JVGXA2W,0,0
BS_9KDA3HG6,0,4
BS_9M49SGAQ,0,0
BS_9NF39QAW,0,20
BS_9PQPZPGM,0,16
BS_9QMVZ4C0,0,6
BS_9R82A3VT,0,0
BS_9W6FK6X4,0,0
BS_9X9E86DY,0,0
BS_9YPJANGX,0,2
BS_9ZFXXJPK,0,24
BS_A3EV6FXK,0,86
BS_A4KYP5H0,0,94
BS_A70G7S2W,0,46
BS_ABENB1H2,0,14
BS_ABZ3BK38,0,28
BS_ACE6QKVF,0,0
BS_ACTR13BQ,0,2
BS_AEMRNSQX,0,14
BS_AG0BZN6F,0,34
BS_AGAW7M7W,0,20
BS_AGD2ATY1,0,0
BS_AGGH3QGS,0,2
BS_AJ0T7DJ7,0,0
BS_AJFG2QDD,0,0
BS_APAQ2X2S,0,4
BS_AQECMDPP,0,4
BS_AQQY8HMR,0,2
BS_AR2BH0Z4,0,2
BS_ARE4EM81,0,24
BS_ASXY97FK,0,0
BS_AVS4DSZW,0,0
BS_AWDQEKK1,0,0
BS_AXM96K20,0,2
BS_AXW0XBH8,0,4
BS_AYPBAHJ6,0,0
BS_B1X2SB4P,0,14
BS_B3RH9V17,0,0
BS_B4DY7ET3,0,4
BS_B4P1NP87,0,20
BS_B558FJXC,0,0
BS_B6K0N6HS,1,28
BS_B6KCJF2B,0,20
BS_B73JK7T1,1,28
BS_B91XGSA5,0,0
BS_B94G701Q,0,0
BS_B9QP40ER,0,84
BS_BA0M71QZ,2,48
BS_BAVWP5JG,0,0
BS_BBCM52QE,0,42
BS_BBHFKBE7,0,0
BS_BD4RQ1G0,0,4
BS_BFDEZK1C,0,88
