Kids_First_Biospecimen_ID,tp53_score,tp53_expression,tp53_altered,altered_counts
BS_479S95Q6,0.15511018296986798,20.12,other,866
BS_47SJZ3PH,0.046978272215023584,12.73,other,866
BS_49852ZBH,0.4508921139608057,15.55,other,866
BS_49BQS7Z6,0.43691613469113244,13.92,other,866
BS_49F4RAA4,0.24383575931381,13.67,other,866
BS_49FQXT2E,0.7419502865187814,4.72,lost,100
BS_49VCQD19,0.2812020916525317,18.25,other,866
BS_4A45GGSW,0.3587463572036237,14.45,other,866
BS_4B0BAVTX,0.7793145137393913,37.73,lost,100
BS_4BWB0FA0,0.09247661368260021,22.41,other,866
BS_4C4MZ4NT,0.45144746448543965,31.51,other,866
BS_4CP4T22V,0.8044530445082634,9.27,lost,100
BS_4D9DD103,0.6937826068219604,67.24,activated,11
BS_4E1G7E3G,0.5376568143958939,50.11,other,866
BS_4EN8D8Y4,0.3726631339910432,14.41,other,866
BS_4FZS7TX4,0.6458831887940145,24.78,other,866
BS_4GTESTSE,0.9251309435471983,6.69,other,866
BS_4HQ3T2NC,0.420610790935978,9.18,other,866
BS_4JWBB28H,0.9283297228412639,34.82,other,866
BS_4NF35AF6,0.4084828928671208,23.68,other,866
BS_4NWHYH53,0.2816923043498055,12.28,other,866
BS_4PH1MBGR,0.8028501681756218,10.4,lost,100
BS_4QW2S1Q8,0.8834689847132025,7.6,lost,100
BS_4SCWT0FX,0.7258520565679675,52.07,other,866
BS_4T0HPZDC,0.6984927912277503,23.79,other,866
BS_4W1DBAN4,0.6581735194482882,5.92,other,866
BS_4W68NV3M,0.501053792830278,19.88,other,866
BS_4Y6BCYK5,0.40272312522024833,16.57,other,866
BS_4Z2F4P9N,0.08392888651906184,29.24,other,866
BS_51RA1PGE,0.9084670119242653,35.44,lost,100
BS_52426AMF,0.4651016850379362,15.5,other,866
BS_52C576HH,0.29386829095874295,67.69,other,866
BS_52DAPP1Y,0.39974906438860636,14.42,other,866
BS_52MPKTJH,0.7676169041717069,6.68,other,866
BS_53CTGDQG,0.2287130779146036,30.57,other,866
BS_53GQKVEX,0.35951449183352086,29.78,other,866
BS_53M8PP88,0.5571002343130718,51.37,other,866
BS_55JW3HFM,0.23734144926026704,16.84,other,866
BS_55P8HPYD,0.4473814228262195,10.19,other,866
BS_593HEWBF,0.45306519306228715,14.99,other,866
BS_5965SFPZ,0.7748890066313677,19.39,other,866
BS_59ZJWJTF,0.29926369105356687,43.35,other,866
BS_5AF6ZNJF,0.13390394590267476,25.75,other,866
BS_5CMGN56B,0.2204797930659902,12.71,other,866
BS_5CTVXVRX,0.10446821932122682,35.83,other,866
BS_5GNQC2FF,0.19036174341910403,15.62,other,866
BS_5JM573JC,0.3812143291674676,16.49,other,866
BS_5K3R0F5D,0.5086503921525395,7.04,other,866
BS_5NWDARXG,0.46627787654801023,14.48,other,866
BS_5P1TN10Z,0.9378401844504661,70.18,lost,100
BS_5P3CZQV8,0.2701523184846808,13.68,other,866
BS_5PEFNDCY,0.5226142654722689,5.62,other,866
BS_5PJCHF6V,0.7490060079579866,7.73,lost,100
