sample_id	aliquot_id	parental_aliquot_id	extraction_type
7316-1746	739942	NA	NA
7316-1769	740009	NA	NA
7316-85	740007	NA	NA
7316-2176	739936	NA	NA
7316-158	746061	NA	NA
7316-1893	470029	NA	NA
7316-178	169902.251874.169909	NA	NA
7316-913	739932	NA	NA
7316-1763	739940	NA	NA
7316-1763	739939	NA	NA
7316-2151	740006	NA	NA
7316-1765	601600	NA	NA
7316-913	739931	NA	NA
7316-195	739938	NA	NA
7316-195	739937	NA	NA
7316-2189	740008	NA	NA
7316-1746	739941	NA	NA
7316-85	740010	NA	NA
7316-1463	574547	NA	NA
7316-14	1030649	NA	NA
A03942	A04020	A03942	Same extraction
A05262	A05266	A05262	Same extraction
7316-3214-A07083	A07098	A07083	Same extraction
A07150	A07170	A07150	Same extraction
A08692	A08715	A08692	Same extraction
A08732	A08736	A08732	Same extraction
A08768	A08776	A08768	Same extraction
A08958	A08972	A08958	Same extraction
A09410	A09418	A09410	Same extraction
A09446	A09450	A09446	Same extraction
A09576	A09595	A09576	Same extraction
A09689	A09827	A09689	Same extraction
A09985	A10006	A09985	Same extraction
A12398	A12404	A12398	Same extraction
A12748	A12764	A12748	Same extraction
A12911	A12929	A12911	Same extraction
A14449	A14458	A14449	Same extraction
A14565	A14585	A14565	Same extraction
A14567	A14587	A14567	Same extraction
A14709	A14715	A14709	Same extraction
A15170	A15183	A15170	Same extraction
7316-4998	A15266	A15247	NA
A15726	A15740	A15726	Same extraction
A16405	A16423	A16405	Same extraction
A16538	A16548	A16538	Same extraction
A16915	A16919	A16915	Same extraction
A17096	A17100	A17096	Same extraction
A17997	A18004	A17997	Same extraction
A18552	A18557	A18552	Same extraction
A18777	A18808	A18777	Same extraction
A19015	A19020	A19015	Same extraction
A19649	A19683	A19649	Same extraction
A20091	A20096	A20091	Same extraction
7316-10	717108	554634	Same extraction
7316-100	601598	591582	Different tissue aliquot
7316-101	588338	582983	Same extraction
7316-1038	711661	650578	Same extraction
7316-104	717154	582033	Same tissue aliquot
7316-1052	577728	575900	Same extraction
7316-1055	577725	575895	Same extraction
7316-1057	401550	Not found	Same extraction
7316-1059	577727	575897	Same extraction
7316-1060	577726	575896	Same extraction
7316-1062	574555	573680	Same extraction
7316-1064	739974	604299	Same extraction
7316-1068	574556	573681	Same extraction
7316-1070	717137	591121	Same extraction
7316-1071	731919	731327	Same extraction
7316-1073	549566	447482	Different tissue aliquot
7316-1075	588351	583302	Same extraction
7316-1076	571410	567604	Same extraction
7316-1077	731885	729727	Same extraction
7316-1078	588352	583303	Same extraction
7316-1079	731888	730397	Same extraction
7316-1080	731870	728668	Same extraction
7316-1081	731897	731062	Same extraction
7316-1082	728285	727863	Same extraction
7316-1083	588302	581282	Same extraction
7316-1084	731871	728669	Same extraction
7316-1085	711673	665666	Same extraction
7316-1086	711674	665667	Same extraction
7316-1087	711721	665948	Same extraction
7316-1088	717180	665949	Same extraction
7316-1089	717173	585473	Same extraction
7316-109	1030652	Not found	Different tissue aliquot
7316-1090	717127	570429	Same extraction
7316-1093	654179	648540	Same extraction
7316-1094	731855	728437	Same extraction
7316-1095	588303	581283	Same extraction
7316-1096	731908	731098	Same extraction
7316-1099	470025	415897	Same extraction
7316-1100	470028	415898	Same extraction
7316-1101	654189	644959	Same extraction
7316-1102	470031	415899	Same extraction
7316-1103	588353	583304	Same extraction
7316-1104	564479	560765	Same extraction
7316-1105	470017	416630	Same extraction
7316-1106	549575	478634	Same extraction
7316-1107	588441	585474	Same extraction
7316-1108	654212	645183	Same extraction
7316-1109	571411	567605	Same extraction
7316-111	470423	455484	Same tissue aliquot
7316-1111	717118	567653	Same extraction
7316-1113	571406	567655	Same extraction
7316-1114	717121	568032	Same extraction
7316-1115	717122	568033	Same extraction
7316-1116	571419	568034	Same extraction
7316-1117	588354	583305	Same extraction
7316-1118	564480	560766	Same extraction
7316-1134	588313	582035	Same extraction
7316-1137	746100	744179	Same extraction
