Gene	cancer_group	count
BRAF	Low-grade glioma/astrocytoma	121
KIAA1549	Low-grade glioma/astrocytoma	114
SLC7A5	Acute Lymphoblastic Leukemia	101
CBFA2T3	Acute Lymphoblastic Leukemia	82
MAD1L1	Acute Lymphoblastic Leukemia	68
PTMA	Acute Lymphoblastic Leukemia	63
TRAC	Acute Lymphoblastic Leukemia	57
TRDV2	Acute Lymphoblastic Leukemia	57
TTYH3	Acute Lymphoblastic Leukemia	57
CXCR4	Acute Lymphoblastic Leukemia	53
RBM38	Acute Lymphoblastic Leukemia	52
PTBP1	Acute Myeloid Leukemia	50
TCF3	Acute Lymphoblastic Leukemia	49
BANP	Acute Lymphoblastic Leukemia	43
GSE1	Acute Lymphoblastic Leukemia	42
MKNK2	Acute Lymphoblastic Leukemia	40
PIM3	Acute Lymphoblastic Leukemia	40
PTBP1	Acute Lymphoblastic Leukemia	40
BRD1	Acute Lymphoblastic Leukemia	38
RNF126	Acute Myeloid Leukemia	38
FOXK2	Acute Lymphoblastic Leukemia	33
SLC7A5	Acute Myeloid Leukemia	32
NCOR2	Acute Lymphoblastic Leukemia	30
GSE1	Acute Myeloid Leukemia	29
NFATC1	Acute Lymphoblastic Leukemia	29
C11orf95	Ependymoma	28
ETV6	Acute Lymphoblastic Leukemia	28
KMT2A	Acute Myeloid Leukemia	28
PQLC1	Acute Lymphoblastic Leukemia	28
RNF126	Acute Lymphoblastic Leukemia	26
RELA	Ependymoma	25
ZFPM1	Acute Lymphoblastic Leukemia	25
ZNF292	Acute Lymphoblastic Leukemia	25
DOT1L	Acute Lymphoblastic Leukemia	23
MAD1L1	Acute Myeloid Leukemia	23
PTMA	Acute Myeloid Leukemia	23
RUNX1	Acute Lymphoblastic Leukemia	23
RUNX1	Acute Myeloid Leukemia	23
CBFA2T3	Acute Myeloid Leukemia	22
CBFB	Acute Myeloid Leukemia	21
FBRSL1	Acute Lymphoblastic Leukemia	21
GPSM1	Acute Lymphoblastic Leukemia	21
KMT2A	Acute Lymphoblastic Leukemia	21
MYH11	Acute Myeloid Leukemia	21
NFATC1	Acute Myeloid Leukemia	21
RUNX1T1	Acute Myeloid Leukemia	21
SYNCRIP	Acute Lymphoblastic Leukemia	21
ZNF384	Acute Lymphoblastic Leukemia	21
CXCR4	Acute Myeloid Leukemia	20
PAX5	Acute Lymphoblastic Leukemia	20
SEPT9	Acute Lymphoblastic Leukemia	20
PQLC1	Acute Myeloid Leukemia	19
COPE	Acute Lymphoblastic Leukemia	18
RALGDS	Acute Lymphoblastic Leukemia	18
CSNK1D	Acute Lymphoblastic Leukemia	17
ABL1	Acute Lymphoblastic Leukemia	16
CDK2AP1	Acute Lymphoblastic Leukemia	16
H3F3B	Neuroblastoma	16
HIST1H3J	Neuroblastoma	16
LFNG	Acute Lymphoblastic Leukemia	16
NOTCH1	Acute Lymphoblastic Leukemia	16
ZFPM1	Acute Myeloid Leukemia	16
CD81	Acute Lymphoblastic Leukemia	15
COL1A1	Osteosarcoma	15
ELL	Acute Lymphoblastic Leukemia	15
IRX2	Acute Lymphoblastic Leukemia	15
MLLT10	Acute Lymphoblastic Leukemia	15
NR4A1	Acute Lymphoblastic Leukemia	15
TAF4	Acute Lymphoblastic Leukemia	15
TTYH3	Acute Myeloid Leukemia	15
EIF4A1	Acute Lymphoblastic Leukemia	14
METRNL	Acute Lymphoblastic Leukemia	14
NOL4L	Acute Lymphoblastic Leukemia	14
NUP98	Acute Myeloid Leukemia	14
SENP3-EIF4A1	Acute Lymphoblastic Leukemia	14
CDK2AP1	Acute Myeloid Leukemia	13
DOT1L	Acute Myeloid Leukemia	13
PBX1	Acute Lymphoblastic Leukemia	13
ZNF292	Acute Myeloid Leukemia	13
CRTC1	Acute Lymphoblastic Leukemia	12
EIF4A1	Acute Myeloid Leukemia	12
MAFK	Acute Lymphoblastic Leukemia	12
MLLT3	Acute Myeloid Leukemia	12
NCOR2	Acute Myeloid Leukemia	12
ANKRD11	Acute Lymphoblastic Leukemia	11
BCL7A	Acute Lymphoblastic Leukemia	11
FUS	Acute Myeloid Leukemia	11
GAK	Acute Lymphoblastic Leukemia	11
KDM4B	Acute Lymphoblastic Leukemia	11
MLLT10	Acute Myeloid Leukemia	11
PDGFA	Acute Lymphoblastic Leukemia	11
SLC12A7	Acute Lymphoblastic Leukemia	11
ULK1	Acute Lymphoblastic Leukemia	11
B2M	Acute Lymphoblastic Leukemia	10
BCR	Acute Lymphoblastic Leukemia	10
BRF1	Acute Lymphoblastic Leukemia	10
C7orf50	Acute Myeloid Leukemia	10
DDX5	Acute Myeloid Leukemia	10
MTA1	Acute Lymphoblastic Leukemia	10
NUP214	Acute Lymphoblastic Leukemia	10
PMEPA1	Acute Lymphoblastic Leukemia	10
SBF1	Acute Lymphoblastic Leukemia	10
ACSF3	Acute Lymphoblastic Leukemia	9
COX19	Acute Myeloid Leukemia	9
DAZAP1	Acute Myeloid Leukemia	9
ING1	Acute Myeloid Leukemia	9
INSR	Acute Lymphoblastic Leukemia	9
NBAS	Neuroblastoma	9
PER1	Acute Myeloid Leukemia	9
SKI	Acute Myeloid Leukemia	9
SYNCRIP	Acute Myeloid Leukemia	9
TBCD	Acute Lymphoblastic Leukemia	9
AC008878.3	Acute Lymphoblastic Leukemia	8
CSNK1G2	Acute Lymphoblastic Leukemia	8
EIF5A	Acute Myeloid Leukemia	8
EP300	Acute Lymphoblastic Leukemia	8
GNAS	Acute Myeloid Leukemia	8
KDM5A	Acute Myeloid Leukemia	8
KLF16	Acute Lymphoblastic Leukemia	8
KLF2	Acute Myeloid Leukemia	8
LDLRAD4	Acute Lymphoblastic Leukemia	8
LEF1	Acute Lymphoblastic Leukemia	8
MAEA	Acute Lymphoblastic Leukemia	8
MLLT1	Acute Lymphoblastic Leukemia	8
MNT	Acute Lymphoblastic Leukemia	8
PHACTR3	Acute Lymphoblastic Leukemia	8
PICALM	Acute Lymphoblastic Leukemia	8
SBNO2	Acute Myeloid Leukemia	8
SUN1	Acute Lymphoblastic Leukemia	8
TCF25	Acute Myeloid Leukemia	8
TFRC	Acute Lymphoblastic Leukemia	8
AC005258.1	Acute Myeloid Leukemia	7
ASXL1	Acute Lymphoblastic Leukemia	7
BAHCC1	Acute Lymphoblastic Leukemia	7
BANP	Acute Myeloid Leukemia	7
C7orf50	Acute Lymphoblastic Leukemia	7
FBRSL1	Acute Myeloid Leukemia	7
GNAS	Acute Lymphoblastic Leukemia	7
HDAC4	Acute Lymphoblastic Leukemia	7
MAEA	Acute Myeloid Leukemia	7
RASA3	Acute Myeloid Leukemia	7
SBNO2	Acute Lymphoblastic Leukemia	7
SLC19A1	Acute Lymphoblastic Leukemia	7
SUMO3	Acute Lymphoblastic Leukemia	7
ASPSCR1	Acute Myeloid Leukemia	6
BAZ2B	Acute Myeloid Leukemia	6
BRD1	Acute Myeloid Leukemia	6
CSNK1D	Acute Myeloid Leukemia	6
EIF5A	Acute Lymphoblastic Leukemia	6
FAM19A5	Acute Lymphoblastic Leukemia	6
FAM20C	Acute Myeloid Leukemia	6
FAM49A	Neuroblastoma	6
FOXK2	Acute Myeloid Leukemia	6
GAK	Acute Myeloid Leukemia	6
GET4	Acute Lymphoblastic Leukemia	6
GRK2	Acute Lymphoblastic Leukemia	6
INPP5A	Acute Lymphoblastic Leukemia	6
LMNB2	Acute Lymphoblastic Leukemia	6
LRP1	Osteosarcoma	6
MYO18B	Acute Lymphoblastic Leukemia	6
NSD1	Acute Myeloid Leukemia	6
PER1	Acute Lymphoblastic Leukemia	6
PFKL	Acute Lymphoblastic Leukemia	6
PIM3	Acute Myeloid Leukemia	6
PPP1R37	Acute Lymphoblastic Leukemia	6
RNF168	Acute Lymphoblastic Leukemia	6
RXRA	Acute Myeloid Leukemia	6
STK24	Acute Lymphoblastic Leukemia	6
STK32C	Acute Lymphoblastic Leukemia	6
TGIF1	Acute Lymphoblastic Leukemia	6
TPM4	Acute Myeloid Leukemia	6
UHRF2	Acute Lymphoblastic Leukemia	6
ZBTB7A	Acute Lymphoblastic Leukemia	6
ZEB2	Acute Lymphoblastic Leukemia	6
AFDN	Acute Myeloid Leukemia	5
AFF1	Acute Lymphoblastic Leukemia	5
ARID5A	Acute Lymphoblastic Leukemia	5
B2M	Acute Myeloid Leukemia	5
BCL11A	Acute Lymphoblastic Leukemia	5
BCL11B	Acute Lymphoblastic Leukemia	5
BRD3	Acute Lymphoblastic Leukemia	5
CHD2	Acute Myeloid Leukemia	5
CREBBP	Acute Lymphoblastic Leukemia	5
DDX1	Neuroblastoma	5
DDX3X	Acute Lymphoblastic Leukemia	5
EWSR1	Ewing sarcoma	5
FAM53B	Acute Lymphoblastic Leukemia	5
FLI1	Ewing sarcoma	5
FOSB	Acute Myeloid Leukemia	5
GRK2	Acute Myeloid Leukemia	5
HIPK1	Acute Lymphoblastic Leukemia	5
KDM4C	Acute Lymphoblastic Leukemia	5
MAD1L1	Neuroblastoma	5
MDK	Acute Myeloid Leukemia	5
MEF2D	Acute Lymphoblastic Leukemia	5
MET	Diffuse midline glioma	5
METRNL	Acute Myeloid Leukemia	5
MRM2	Acute Lymphoblastic Leukemia	5
NTRK2	Low-grade glioma/astrocytoma	5
NUP98	Acute Lymphoblastic Leukemia	5
OAZ1	Acute Lymphoblastic Leukemia	5
PLEKHO1	Acute Myeloid Leukemia	5
PLXNB2	Acute Lymphoblastic Leukemia	5
PPP4R3B	Acute Myeloid Leukemia	5
RASA3	Acute Lymphoblastic Leukemia	5
RASSF1	Acute Myeloid Leukemia	5
RBBP6	Acute Myeloid Leukemia	5
REXO1	Acute Myeloid Leukemia	5
SF1	Acute Myeloid Leukemia	5
SKI	Acute Lymphoblastic Leukemia	5
SSBP2	Acute Lymphoblastic Leukemia	5
TACC3	Acute Lymphoblastic Leukemia	5
UBC	Acute Myeloid Leukemia	5
ULK1	Acute Myeloid Leukemia	5
VAV2	Acute Lymphoblastic Leukemia	5
ZMYM2	Acute Lymphoblastic Leukemia	5
ZNF131	Acute Myeloid Leukemia	5
