Sample	C11orf95--RELA	EWSR1--FLI1	KIAA1549--BRAF	No_rec_fusion	REV3L--FYN
BS_014EVM2D	0	0	0	1	0
BS_02NZT8CE	0	0	0	1	0
BS_02X4QTNE	0	0	0	1	0
BS_03FT4S8B	0	0	0	1	0
BS_0448A413	0	1	0	0	0
BS_044XZ8ST	0	0	0	1	0
BS_052PZFMK	0	0	0	1	0
BS_063ERW0R	0	0	1	0	0
BS_06AMMCXR	0	0	1	0	0
BS_06XH7EVF	0	0	0	1	0
BS_07ANYSYQ	1	0	0	0	0
BS_09R7GDA7	0	0	0	1	0
BS_09Z7TC35	0	0	0	1	0
BS_0BXY0F9N	0	0	0	1	0
BS_0C7VZC0A	0	0	0	1	0
BS_0D3SCV7P	0	0	0	1	0
BS_0GDJQANN	0	0	0	1	0
BS_0HW7W7SD	0	0	0	1	0
BS_0J9SHHSC	0	0	1	0	0
BS_0JBZPAGN	0	0	0	1	0
BS_0QYS36NR	0	0	0	1	0
BS_0RF0EZTV	0	0	0	1	0
BS_0SC4QNTM	0	0	0	1	0
BS_0SCXXM6N	0	0	1	0	0
BS_0SPCTBZY	0	0	0	1	0
BS_0T17SY47	0	0	0	1	0
BS_0VRSD9V3	0	0	0	1	0
BS_0VXZCRJS	0	0	0	1	0
BS_0WQJP6ZG	1	0	0	0	0
BS_0WVJYM9R	0	0	1	0	0
BS_0X9EGHY2	0	0	0	1	0
BS_0XEG6SNV	1	0	0	0	0
BS_0Y66ZBWE	0	0	0	1	0
BS_0YPDAAE8	0	0	0	1	0
BS_0ZA67BBC	0	0	0	1	0
BS_1021ZGQT	0	0	0	1	0
BS_10MQQC5C	0	0	0	1	0
BS_135GYQQD	0	0	0	1	0
BS_13CGKADW	0	0	0	1	0
BS_15ED4VDX	0	0	0	1	0
BS_15ETQ0E4	0	0	0	1	0
BS_1607397Q	0	0	0	1	0
BS_17WYVEEC	0	0	1	0	0
BS_196BBNEJ	0	0	0	1	0
BS_19PXZ71B	0	0	0	1	0
BS_1A6MQ9ZA	0	0	0	1	0
BS_1AYRM596	0	0	0	1	0
BS_1BKHK7AY	0	0	0	1	0
BS_1BWP5MCT	0	0	0	1	0
BS_1D6PZNKN	0	0	0	1	0
BS_1EN5V3XW	0	0	0	1	0
BS_1G3WYEN3	0	0	0	1	0
BS_1HFK0SXV	0	0	0	1	0
BS_1JDG6JV5	0	0	0	1	0
BS_1KYGSMA7	0	0	1	0	0
BS_1N7MQZGR	0	0	0	1	0
BS_1N9XZXGE	0	1	0	0	0
BS_1NPD7PVG	0	0	0	1	0
BS_1QNTEZPS	0	0	0	1	0
BS_1QXEC43H	0	0	0	1	0
BS_1RT76ANT	0	0	0	1	0
BS_1RXZ3BP7	0	0	0	1	0
BS_1SVVER1H	0	0	0	1	0
BS_1T19NFJ8	0	0	0	1	0
BS_1TWCV047	0	0	0	1	0
BS_1XJ73KBQ	0	0	0	1	0
BS_1ZVXF5FE	0	0	1	0	0
BS_21ET39G7	0	0	0	1	0
BS_21RE8W46	0	0	1	0	0
BS_23M72ABG	0	0	0	1	0
BS_23W9EPFE	0	0	0	1	0
BS_2480EHNY	0	0	0	1	0
BS_24AHZ9ZW	0	0	0	1	0
BS_258RRGDM	0	0	0	1	0
BS_25T139TX	0	0	0	1	0
BS_264RCK7G	0	0	0	1	0
BS_273HKCT4	0	0	0	1	0
BS_27QE6BV7	0	0	0	1	0
BS_28CDASF7	0	0	0	1	0
BS_28ZRHXX8	0	0	0	1	0
BS_29006KEX	0	0	0	1	0
BS_29CPJ040	0	0	0	1	0
BS_29X4ZX6Q	0	0	0	1	0
BS_2A5R9MEJ	0	0	0	1	0
BS_2ADZNNV4	0	0	1	0	0
BS_2AR3AP0N	0	0	0	1	0
BS_2EMW8ZG3	0	0	0	1	0
BS_2EN3X6HB	0	0	0	1	0
BS_2JP7RBMB	0	0	0	1	0
BS_2KJ2YAZR	0	0	0	1	0
BS_2R9TCR03	0	0	0	1	0
BS_2RFA5NWH	0	0	0	1	0
BS_2SFTWNVE	0	0	0	1	0
BS_2SHWPB5P	0	0	0	1	0
BS_2W3NC4K1	0	0	0	1	0
BS_2WPQ8YCW	0	0	1	0	0
BS_2XD3MNKD	0	0	0	1	0
BS_2XTH5QRD	0	0	0	1	0
BS_2Y28PRQC	0	0	0	1	0
BS_2YCJV2VV	0	0	0	1	0
BS_2Z1MKS84	0	0	0	1	0
BS_30VC3R2Q	0	0	0	1	0
BS_31TF0P1N	0	0	0	1	0
BS_323GG6M7	0	0	0	1	0
BS_34201DKZ	0	0	0	1	0
BS_37GTVG4N	0	0	0	1	0
BS_398KYV92	0	0	0	1	0
BS_399RPKC9	0	0	0	1	0
BS_3AC3SRWH	0	0	0	1	0
BS_3BDAG9YN	0	0	0	1	0
BS_3BVVWHP5	0	0	0	1	0
BS_3CSY3JTN	0	0	0	1	0
BS_3CTRC269	0	0	0	1	0
BS_3D1XTG0K	0	0	0	1	0
BS_3DCBDJAT	0	0	0	1	0
BS_3DJBSNGE	0	0	0	1	0
BS_3EVSN5QD	0	0	0	1	0
BS_3F5PR9GS	0	0	0	1	0
BS_3G3KWY18	0	0	0	1	0
BS_3GRJH3PS	0	0	0	1	0
BS_3J85TTZM	0	0	0	1	0
BS_3KASVCSQ	0	0	0	1	0
BS_3KGHX57D	0	0	0	1	0
BS_3KHXMAJF	0	0	0	1	0
BS_3MS8WVNR	0	0	0	1	0
BS_3MYEMXPQ	0	0	0	1	0
BS_3N0ZS3G3	0	0	0	1	0
BS_3NNQ6PSB	0	0	0	1	0
BS_3NWQXPQV	0	0	0	1	0
BS_3P20Q2C3	0	0	0	1	0
BS_3PYESPHA	0	0	0	1	0
BS_3Q0GTSYH	0	0	1	0	0
BS_3T6X4BPC	0	0	0	1	0
BS_3TQSE8HF	0	0	0	1	0
BS_3V34S6KM	0	0	0	1	0
BS_3V3KE3VT	0	0	0	1	0
BS_3W07B2TG	0	0	0	1	0
BS_3X9WMZGJ	0	0	0	1	0
BS_3XY76V8T	0	0	0	1	0
BS_401R3KV0	0	0	0	1	0
BS_42DY6WS7	0	0	1	0	0
BS_42Y3YANN	0	0	1	0	0
BS_43R2B7DR	0	0	0	1	0
BS_45J79YTF	0	0	0	1	0
BS_46BZ2NNN	0	0	0	1	0
BS_470DYRJQ	0	0	1	0	0
BS_478TN841	0	0	0	1	0
BS_479S95Q6	0	0	0	1	0
BS_47SJZ3PH	0	0	0	1	0
BS_48YZKWC2	0	0	0	1	0
BS_49852ZBH	0	0	1	0	0
BS_49BQS7Z6	0	0	0	1	0
BS_49CJNZ06	0	0	0	1	0
BS_49F4RAA4	0	0	0	1	0
BS_49FQXT2E	0	0	0	1	0
BS_49VCQD19	0	0	0	1	0
BS_4A1CKAXN	0	0	0	1	0
BS_4A45GGSW	0	0	1	0	0
BS_4B0BAVTX	0	0	0	1	0
BS_4BWB0FA0	0	0	1	0	0
BS_4C4MZ4NT	0	0	1	0	0
BS_4CP4T22V	0	0	0	1	0
BS_4D9DD103	0	0	0	1	0
BS_4E1G7E3G	0	0	0	1	0
BS_4EN8D8Y4	0	0	0	1	0
BS_4FZS7TX4	0	0	0	1	0
BS_4GTESTSE	0	0	0	1	0
BS_4HQ3T2NC	0	0	1	0	0
BS_4JVC08W2	0	0	0	1	0
BS_4JWBB28H	0	0	0	1	0
BS_4NF35AF6	0	0	0	1	0
BS_4NWHYH53	1	0	0	0	0
BS_4PH1MBGR	0	0	0	1	0
BS_4PPHAQXF	0	0	0	1	0
BS_4PWDGEB0	0	0	0	1	0
BS_4QW2S1Q8	0	0	0	1	0
BS_4SCWT0FX	0	0	0	1	0
BS_4T0HPZDC	0	0	0	1	0
BS_4W1DBAN4	0	0	0	1	0
BS_4W68NV3M	0	0	0	1	0
BS_4Y6BCYK5	0	0	1	0	0
BS_4Z2F4P9N	0	0	0	1	0
BS_51RA1PGE	0	0	0	1	0
BS_52426AMF	0	0	1	0	0
BS_52C576HH	0	0	0	1	0
BS_52DAPP1Y	0	0	1	0	0
BS_52MPKTJH	0	0	0	1	0
BS_53CTGDQG	0	0	0	1	0
BS_53GQKVEX	0	0	1	0	0
BS_53M8PP88	0	0	0	1	0
BS_55JW3HFM	0	0	0	1	0
BS_55P8HPYD	0	0	1	0	0
BS_58YXHGAJ	0	0	0	1	0
BS_591ZWG14	0	0	0	1	0
BS_593HEWBF	0	0	0	1	0
BS_5965SFPZ	0	0	0	1	0
BS_59ZF7365	0	0	0	1	0
BS_5AF6ZNJF	0	0	0	1	0
BS_5JM573JC	0	0	0	1	0
BS_5K3R0F5D	0	0	0	1	0
BS_5NWDARXG	0	0	0	1	0
BS_5P1TN10Z	0	0	0	1	0
BS_5P3CZQV8	0	0	0	1	0
BS_5PEFNDCY	0	0	0	1	0
BS_5PJCHF6V	0	0	0	1	0
BS_5PV5N4HQ	0	0	1	0	0
BS_5VPM0F36	0	0	0	1	0
BS_5VQP0E6K	0	0	0	1	0
BS_5W25GMQ1	0	0	0	1	0
BS_5Y7PNW71	0	0	0	1	0
BS_5Y98E084	0	0	0	1	0
BS_5YJEPPTP	0	0	1	0	0
BS_5Z1QJPG6	0	0	0	1	0
BS_60K3EQ9S	0	0	0	1	0
BS_61E80SD6	0	0	0	1	0
BS_63ACHY8K	0	0	0	1	0
BS_64HCD9K3	0	0	0	1	0
BS_66ABA973	0	0	1	0	0
BS_66HQ3E4Z	0	0	1	0	0
BS_67PX06P3	0	0	0	1	0
BS_67Z63A2K	0	0	0	1	0
BS_680K119G	0	0	0	1	0
BS_685DACMS	0	0	0	1	0
BS_68BW2163	0	0	0	1	0
BS_699TN5RN	0	0	0	1	0
BS_6DCSD5Y6	0	0	0	1	0
BS_6DXDS5EE	0	0	0	1	0
BS_6G6C7VPX	0	0	0	1	0
BS_6GSJCDCN	0	0	0	1	0
BS_6H1C1ME9	0	0	0	1	0
BS_6HTK4YJP	0	0	0	1	0
BS_6JHXXVR7	0	0	0	1	0
BS_6M2053M0	0	0	0	1	0
BS_6MY8W3H0	0	0	0	1	0
BS_6MZ7FRZH	1	0	0	0	0
BS_6N3AFF66	0	0	1	0	0
BS_6N7RPHX9	0	0	0	1	0
BS_6NRTJSYK	0	0	0	1	0
BS_6NTXGQAC	0	0	0	1	0
BS_6P50QTPP	0	0	0	1	0
BS_6R7SFVV2	0	0	0	1	0
BS_6T4JGBGY	0	0	0	1	0
BS_6VF6VPCG	0	0	0	1	0
BS_6WBAV14H	0	0	0	1	0
BS_6WP1FHTE	0	0	0	1	0
BS_6YMJ621P	0	0	0	1	0
BS_6YYC47K2	0	0	0	1	0
BS_70FFPA51	0	0	0	1	0
BS_70H191SN	0	0	0	1	0
BS_7327SDAQ	0	0	0	1	0
BS_742RHK1M	0	0	0	1	0
BS_74FS6GMW	0	0	0	1	0
BS_74G5K7JF	0	0	0	1	0
BS_769BDPDB	0	0	0	1	0
BS_77317DY4	0	0	0	1	0
BS_775HDFNY	0	0	1	0	0
BS_77CDMEY4	0	0	0	1	0
BS_78A01TS9	0	0	0	1	0
BS_78QX3XDF	0	0	0	1	0
BS_7B89YR6K	0	0	0	1	0
BS_7BTZQKYY	0	0	0	1	0
BS_7BW0YRPY	0	0	0	1	0
BS_7C40TRCY	0	0	0	1	0
BS_7FWZ518S	0	0	0	1	0
