FusionName	broad_histology	count
KIAA1549--BRAF	Low-grade astrocytic tumor	109
C11orf95--RELA	Ependymal tumor	25
CHD2--CHD2	Ependymal tumor	11
PLEKHA8--PLEKHA8	Low-grade astrocytic tumor	7
KIAA1549--BRAF	Neuronal and mixed neuronal-glial tumor	6
EWSR1--FLI1	Mesenchymal non-meningothelial tumor	5
REV3L--FYN	Diffuse astrocytic and oligodendroglial tumor	5
DST--DST	Ependymal tumor	4
AFDN--AFDN	Ependymal tumor	3
VPS13C--VPS13C	Ependymal tumor	3
CTAGE5--CTAGE5	Ependymal tumor	3
RALGAPB--RALGAPB	Ependymal tumor	3
DNAH11--DNAH11	Ependymal tumor	3
WNK3--WNK3	Low-grade astrocytic tumor	3
COG6--COG6	Ependymal tumor	2
C5orf42--C5orf42	Low-grade astrocytic tumor	2
FAM131B--BRAF	Low-grade astrocytic tumor	2
WNK3--WNK3	Embryonal tumor	2
YAP1--MAML2	Ependymal tumor	2
SH3PXD2A--HTRA1	Tumor of cranial and paraspinal nerves	2
EWSR1--PLAGL1	Neuronal and mixed neuronal-glial tumor	2
PTPRZ1--MET	Diffuse astrocytic and oligodendroglial tumor	2
PAX3--NCOA1	Mesenchymal non-meningothelial tumor	2
GOPC--ROS1	Low-grade astrocytic tumor	2
PLEKHA8--PLEKHA8	Neuronal and mixed neuronal-glial tumor	2
THADA--THADA	Ependymal tumor	2
PLEKHA8--PLEKHA8	Ependymal tumor	2
WNK3--WNK3	Diffuse astrocytic and oligodendroglial tumor	2
PLEKHA8--PLEKHA8	Embryonal tumor	2
FGFR2--SHTN1	Neuronal and mixed neuronal-glial tumor	2
KANK1--NTRK2	Low-grade astrocytic tumor	2
MYB--QKI	Low-grade astrocytic tumor	2
NUP214--NUP214	Ependymal tumor	2
EPHA5--EPHA5	Neuronal and mixed neuronal-glial tumor	2
GNB1L--NF2	NOS Embryonal tumor	1
AFDN--SMTN	NOS Embryonal tumor	1
SEMA5A--MARCH6	Diffuse astrocytic and oligodendroglial tumor	1
PTDSS2--SBF2	Diffuse astrocytic and oligodendroglial tumor	1
NUDT3--CD2AP	Diffuse astrocytic and oligodendroglial tumor	1
PPARD--SLC17A5	Diffuse astrocytic and oligodendroglial tumor	1
SCRN1--LSM5	Diffuse astrocytic and oligodendroglial tumor	1
