Sample	C11orf95--RELA	EWSR1--FLI1	KIAA1549--BRAF	No_rec_fusion	REV3L--FYN
BS_23EJJGP1	0	0	0	1	0
BS_23M72ABG	0	0	0	1	0
BS_23QW0BBA	0	0	0	1	0
BS_23W9EPFE	0	0	0	1	0
BS_23ZE42Q3	0	0	0	1	0
BS_245CTSH9	0	0	0	1	0
BS_24AHZ9ZW	0	0	0	1	0
BS_251Z13NC	0	0	0	1	0
BS_258RRGDM	0	0	0	1	0
BS_25T139TX	0	0	0	1	0
BS_25VZM81R	0	0	0	1	0
BS_264RCK7G	0	0	0	1	0
BS_26CXGVJ0	0	0	0	1	0
BS_26J942GD	0	0	0	1	0
BS_273HKCT4	0	0	0	1	0
BS_27QE6BV7	0	0	0	1	0
BS_28CDASF7	0	0	0	1	0
BS_29006KEX	0	0	0	1	0
BS_29CPJ040	0	0	0	1	0
BS_29X4ZX6Q	0	0	0	1	0
BS_29YQSB5E	0	0	0	1	0
BS_2A162JH9	0	0	0	1	0
BS_2A5R9MEJ	0	0	0	1	0
BS_2ADZNNV4	0	0	1	0	0
BS_2AM4ZQ21	0	0	0	1	0
BS_2AQZX79Y	0	0	0	1	0
BS_2AR3AP0N	0	0	0	1	0
BS_2AWCKNB3	0	0	0	1	0
BS_2BQGSW0G	0	0	0	1	0
BS_2CD1XWVP	0	0	0	1	0
BS_2CQ6K2JW	0	0	0	1	0
BS_2CRT47CB	0	0	0	1	0
BS_2E1MBQ4Y	0	0	0	1	0
BS_2E81A3FT	0	0	0	1	0
BS_2EAATK5V	0	0	0	1	0
BS_2EJWS3SD	0	0	0	1	0
BS_2EMW8ZG3	0	0	0	1	0
BS_2EN3X6HB	0	0	0	1	0
BS_2F70R10Z	0	0	0	1	0
BS_2G2VJT4R	0	0	0	1	0
BS_2HDEZFTW	0	0	0	1	0
BS_2HN96129	0	0	0	1	0
BS_2HNHCSNB	0	0	0	1	0
BS_2J4FG4HV	0	0	0	1	0
BS_2JDVY4F7	0	0	0	1	0
BS_2JP7RBMB	0	0	0	1	0
BS_2K76WTCZ	0	0	0	1	0
BS_2KJ2YAZR	0	0	0	1	0
BS_2KMB51YF	0	0	0	1	0
BS_2NN6ME5A	0	0	0	1	0
BS_2P7MJGM7	0	0	0	1	0
BS_2PBM9RA8	0	0	0	1	0
BS_2QF33SK7	0	0	0	1	0
BS_2QRTD3RQ	0	0	0	1	0
BS_2R9TCR03	0	0	0	1	0
BS_2RJN5Z4W	0	0	0	1	0
BS_2RX2NF1Q	0	0	0	1	0
BS_2SFTWNVE	0	0	0	1	0
BS_2SG8JNMB	0	0	0	1	0
BS_2SHWPB5P	0	0	0	1	0
BS_2TZNPK1V	0	0	0	1	0
BS_2V4BP5Q9	0	0	0	1	0
BS_2VB8649B	0	0	0	1	0
BS_2VHFP7M8	0	0	0	1	0
BS_2VSN5YC5	0	0	0	1	0
BS_2W200YK5	0	0	0	1	0
BS_2W3NC4K1	0	0	0	1	0
BS_2WPQ8YCW	0	0	1	0	0
BS_2XD3MNKD	0	0	0	1	0
BS_2YCJV2VV	0	0	0	1	0
BS_2Z1MKS84	0	0	0	1	0
BS_2Z9JQDPV	0	0	0	1	0
BS_2ZKBYF95	0	0	0	1	0
BS_30VC3R2Q	0	0	0	1	0
BS_30W38X77	0	0	0	1	0
BS_30WN9M3C	0	0	0	1	0
BS_3108RS7G	0	0	0	1	0
BS_318P54W7	0	0	0	1	0
BS_319879RE	0	0	0	1	0
BS_31E3HZPZ	0	0	0	1	0
BS_31Q3FW1X	0	0	0	1	0
BS_31TF0P1N	0	0	0	1	0
BS_328C4BW5	0	0	0	1	0
BS_32HAVF6S	0	0	0	1	0
BS_32JF8TPP	0	0	0	1	0
BS_32VQRFDS	0	0	0	1	0
BS_34201DKZ	0	0	0	1	0
BS_345M1B93	0	0	0	1	0
BS_354DTKHE	0	0	0	1	0
BS_358WF90F	0	0	0	1	0
BS_35M8GBJ4	0	0	0	1	0
BS_36HCZ3KW	0	0	0	1	0
BS_36PAKW92	0	0	0	1	0
BS_36YFSGDX	0	0	0	1	0
BS_370TKZ48	0	0	0	1	0
BS_376Q9QKG	0	0	0	1	0
BS_37GTVG4N	0	0	0	1	0
BS_382HZBG4	0	0	0	1	0
BS_38D5GXR1	0	0	0	1	0
BS_398KYV92	0	0	0	1	0
BS_399RPKC9	0	0	0	1	0
BS_39CGACC7	0	0	0	1	0
BS_39FV4VJR	0	0	0	1	0
BS_39Q80NT3	0	0	0	1	0
BS_3A0CJMRH	0	0	0	1	0
BS_3A55810M	0	0	0	1	0
BS_3AC3SRWH	0	0	0	1	0
BS_3AERRZQT	0	0	0	1	0
BS_3BC5EX6K	0	0	0	1	0
BS_3BDAG9YN	0	0	0	1	0
BS_3BMGF6GN	0	0	0	1	0
BS_3BVVWHP5	0	0	0	1	0
BS_3C4YAMKJ	0	0	0	1	0
BS_3C702XH4	0	0	0	1	0
BS_3CG2N4PD	0	0	0	1	0
BS_3CK0QVDX	0	0	0	1	0
BS_3DCBDJAT	0	0	0	1	0
BS_3DHNFFV6	0	0	0	1	0
BS_3DNSBVGH	0	0	0	1	0
BS_3DYRAZE7	0	0	0	1	0
BS_3E3VYSXT	0	0	0	1	0
BS_3E5C1PN1	0	0	0	1	0
BS_3EVSN5QD	0	0	0	1	0
BS_3F4FQJMR	0	0	0	1	0
BS_3F5PR9GS	0	0	0	1	0
BS_3G3KWY18	0	0	0	1	0
BS_3H71BH6Q	0	0	0	1	0
BS_3J179Q27	0	0	0	1	0
BS_3J4T2YYW	0	0	0	1	0
BS_3J85TTZM	0	0	0	1	0
BS_3JE2T7AR	0	0	0	1	0
BS_3KASVCSQ	0	0	0	1	0
BS_3KHXMAJF	0	0	0	1	0
BS_3MS8WVNR	0	0	0	1	0
BS_3MYEMXPQ	0	0	0	1	0
BS_3MYQP7P5	0	0	0	1	0
BS_3NNQ6PSB	0	0	0	1	0
BS_3NWQXPQV	0	0	0	1	0
BS_3NX3RBCX	0	0	0	1	0
BS_3P20Q2C3	0	0	0	1	0
BS_3P96RT4E	0	0	0	1	0
BS_3PNWA7WT	0	0	0	1	0
BS_3PYESPHA	0	0	0	1	0
BS_3Q0GTSYH	0	0	1	0	0
BS_3QDRWJCF	0	0	0	1	0
BS_3R0KN6Z4	0	0	0	1	0
BS_3T6X4BPC	0	0	0	1	0
BS_3TQSE8HF	0	0	0	1	0
BS_3V3KE3VT	0	0	0	1	0
BS_3VKW5988	0	0	0	1	0
BS_3W07B2TG	0	0	0	1	0
