samples	experimental_strategy	genome_size	breaks_count	breaks_density
BS_4T8J7JEP	WGS	2719487222	246	0.09045822977578968
BS_4Z6F1HJZ	WGS	2719487222	364	0.13384876275767255
BS_4ZKN0WGS	WGS	2719487222	360	0.13237789723286295
BS_50XV7CTQ	WGS	2719487222	328	0.12061097303438625
BS_53TV75NN	WGS	2719487222	560	0.20592117347334238
BS_55N7KFHW	WGS	2719487222	366	0.13458419552007733
BS_5B6XZ7YP	WGS	2719487222	404	0.14855741800576844
BS_5BMNK8SY	WGS	2719487222	580	0.21327550109739032
BS_5BNV7MCF	WGS	2719487222	434	0.15958890944184034
BS_5D24XV4T	WGS	2719487222	344	0.1264944351336246
BS_5JC116NM	WGS	2719487222	1938	0.7126343467702456
BS_5KFAEMQJ	WGS	2719487222	564	0.20739203899815198
BS_5KK9P7XD	WGS	2719487222	358	0.13164246447045816
BS_5NAKYS1S	WGS	2719487222	356	0.13090703170805337
BS_5RD8KEED	WGS	2719487222	406	0.14929285076817322
BS_5V2XCW17	WGS	2719487222	838	0.3081463274476088
BS_5WK2KXYW	WGS	2719487222	728	0.2676975255153451
BS_5XZP7F4Q	WGS	2719487222	870	0.3199132516460855
BS_5Y2Q63Y4	WGS	2719487222	338	0.12428813684641023
BS_682Z7WH6	WGS	2719487222	516	0.1897416527004369
BS_69VS8PS1	WGS	2719487222	516	0.1897416527004369
BS_6F49F7WH	WGS	2719487222	600	0.22062982872143827
BS_6FV7BDE3	WGS	2719487222	414	0.1522345818177924
BS_6FYTRKJJ	WGS	2719487222	438	0.16105977496664994
BS_6GN1FGTB	WGS	2719487222	174	0.0639826503292171
BS_6GTKRGNK	WGS	2719487222	708	0.2603431978912972
BS_6GV08HTE	WGS	2719487222	386	0.14193852314412528
BS_6HE8H9HY	WGS	2719487222	1278	0.4699415351766635
BS_6KEYD1S4	WGS	2719487222	372	0.13679049380729172
BS_6Q9PMNWY	WGS	2719487222	160	0.058834620992383534
BS_6SA5B35V	WGS	2719487222	516	0.1897416527004369
BS_6T87HSPX	WGS	2719487222	1234	0.453762014403758
BS_6TMPZKSZ	WGS	2719487222	670	0.24636997540560607
BS_6VKKMM6M	WGS	2719487222	296	0.10884404883590955
BS_6X2BQQGE	WGS	2719487222	744	0.27358098761458344
BS_6X3Z0AVR	WGS	2719487222	272	0.10001885568705202
BS_6XHDR1WS	WGS	2719487222	522	0.1919479509876513
BS_6XP91JM2	WGS	2719487222	316	0.11619837645995748
BS_6Y7FX7QJ	WGS	2719487222	428	0.15738261115462596
BS_6Z213H2V	WGS	2719487222	650	0.23901564778155812
BS_6ZP2KRPW	WGS	2719487222	590	0.21695266490941428
BS_70FKSKM9	WGS	2719487222	1172	0.4309635987692094
BS_71HPXFE7	WGS	2719487222	604	0.22210069424624784
BS_742CDKAS	WGS	2719487222	978	0.3596266208159444
BS_75VHXMZN	WGS	2719487222	312	0.1147275109351479
BS_79NQJZ09	WGS	2719487222	320	0.11766924198476707
BS_79SYEHY3	WGS	2719487222	2788	1.025193270792283
BS_7F07M7JG	WGS	2719487222	1338	0.49200451804880735
BS_7GKF6M85	WGS	2719487222	680	0.25004713921763005
BS_7M5272WN	WGS	2719487222	390	0.14340938866893488
BS_7M6F9GQD	WGS	2719487222	604	0.22210069424624784
BS_7M7JNG00	WGS	2719487222	266	0.09781255739983763
BS_7PF3C1P7	WGS	2719487222	730	0.2684329582777499
BS_7PKPNFFK	WGS	2719487222	654	0.2404865133063677
BS_7RQCH5Y7	WGS	2719487222	152	0.05589288994276436
BS_7XZNDFV4	WGS	2719487222	544	0.20003771137410403
BS_80078QDG	WGS	2719487222	1344	0.4942108163360217
BS_80X7AVCP	WGS	2719487222	288	0.10590231778629036
BS_823V5X6Z	WGS	2719487222	738	0.2713746893273691
BS_83MSWR59	WGS	2719487222	646	0.23754478225674852
BS_84AQCZE4	WGS	2719487222	330	0.12134640579679104
BS_853PNV7P	WGS	2719487222	342	0.1257590023712198
BS_859AV1DB	WGS	2719487222	918	0.33756363794380057
BS_85Q5P8GF	WGS	2719487222	374	0.1375259265696965
BS_86QSEFS7	WGS	2719487222	748	0.275051853139393
BS_872Q3FK2	WGS	2719487222	456	0.16767866982829308
BS_895FJ34T	WGS	2719487222	372	0.13679049380729172
BS_8AY2GM4G	WGS	2719487222	456	0.16767866982829308
BS_8B1YF57H	WGS	2719487222	480	0.17650386297715062
BS_8BM1WTGR	WGS	2719487222	350	0.128700733420839
BS_8BS10XE2	WGS	2719487222	470	0.17282669916512663
BS_8CA214YR	WGS	2719487222	260	0.09560625911262324
BS_8D52JK1Q	WGS	2719487222	1230	0.45229114887894845
BS_8EB1S8MK	WGS	2719487222	300	0.11031491436071914
BS_8FSJDG2T	WGS	2719487222	328	0.12061097303438625
BS_8H2XX24V	WGS	2719487222	984	0.36183291910315873
BS_8JFMP1T1	WGS	2719487222	442	0.16253064049145952
BS_8Q8CAY84	WGS	2719487222	296	0.10884404883590955
BS_8S2CZBA6	WGS	2719487222	512	0.1882707871756273
BS_8SETK1J4	WGS	2719487222	616	0.22651329082067662
BS_8SYN7GXG	WGS	2719487222	708	0.2603431978912972
BS_8TFBNHT0	WGS	2719487222	640	0.23533848396953413
BS_8W0FNBWF	WGS	2719487222	306	0.11252121264793351
BS_8YQGSMDK	WGS	2719487222	538	0.19783141308688965
BS_928HWFFM	WGS	2719487222	740	0.27211012208977386
BS_93BV8AY9	WGS	2719487222	168	0.061776352042002713
BS_96S0VQBN	WGS	2719487222	2154	0.7920610851099633
BS_9BF58P80	WGS	2719487222	498	0.18312275783879375
BS_9BGCH82S	WGS	2719487222	632	0.23239675291991496
BS_9BN45DFK	WGS	2719487222	398	0.14635111971855405
BS_9CMJ3QF6	WGS	2719487222	574	0.21106920281017594
BS_9D39MFHT	WGS	2719487222	740	0.27211012208977386
BS_9E632VPJ	WGS	2719487222	502	0.18459362336360335
BS_9F2J6VS1	WGS	2719487222	282	0.10369601949907599
BS_9G7ETYHR	WGS	2719487222	340	0.12502356960881503
BS_9GN1QA3Q	WGS	2719487222	598	0.21989439595903346
BS_9GSWPZ44	WGS	2719487222	472	0.17356213192753142
BS_9HDPJT21	WGS	2719487222	158	0.05809918822997874
BS_9HEMB7RK	WGS	2719487222	178	0.06545351585402669
BS_9KDA3HG6	WGS	2719487222	1064	0.3912502295993505
BS_9N3B3HZB	WGS	2719487222	396	0.14561568695614927
BS_9NF39QAW	WGS	2719487222	368	0.13531962828248215
BS_9PQPZPGM	WGS	2719487222	262	0.09634169187502804
BS_9SVMVJ45	WGS	2719487222	406	0.14929285076817322
BS_9W6FK6X4	WGS	2719487222	304	0.11178577988552872
BS_9ZFXXJPK	WGS	2719487222	4248	1.562059187347783
