samples	experimental_strategy	genome_size	breaks_count	breaks_density
BS_2VHFP7M8	WGS	3088286401	2030	0.6573224553728818
BS_2VSN5YC5	WGS	3088286401	2430	0.7868441214562082
BS_2W200YK5	WGS	3088286401	2422	0.7842536881345417
BS_2Z9JQDPV	WGS	3088286401	2210	0.7156072051103787
BS_30W38X77	WGS	3088286401	2272	0.7356830633532943
BS_3108RS7G	WGS	3088286401	1984	0.6424274637732992
BS_32HAVF6S	WGS	3088286401	2253	0.7295307842143363
BS_32JF8TPP	WGS	3088286401	1693	0.5482004516976792
BS_32VQRFDS	WGS	3088286401	2132	0.69035048022413
BS_354DTKHE	WGS	3088286401	2534	0.8205197546378731
BS_36HCZ3KW	WGS	3088286401	8143	2.636737317291318
BS_376Q9QKG	WGS	3088286401	2458	0.7959106380820411
BS_39Q80NT3	WGS	3088286401	2729	0.8836615668534947
BS_3A0CJMRH	WGS	3088286401	1968	0.6372465971299661
BS_3AERRZQT	WGS	3088286401	1460	0.47275408120414153
BS_3BMGF6GN	WGS	3088286401	3753	1.2152370320268104
BS_3C4YAMKJ	WGS	3088286401	2026	0.6560272387120485
BS_3CG2N4PD	WGS	3088286401	3119	1.009945191284738
BS_3DYRAZE7	WGS	3088286401	1732	0.5608288141408035
BS_3E5C1PN1	WGS	3088286401	3721	1.2048752987401443
BS_3J4T2YYW	WGS	3088286401	1726	0.5588859891495537
BS_3JE2T7AR	WGS	3088286401	1970	0.6378942054603828
BS_3MYQP7P5	WGS	3088286401	3282	1.0627252702136936
BS_3NX3RBCX	WGS	3088286401	4083	1.3220924065455548
BS_3P96RT4E	WGS	3088286401	2403	0.7781014089955837
BS_3QDRWJCF	WGS	3088286401	2000	0.6476083304166322
BS_3R0KN6Z4	WGS	3088286401	1974	0.6391894221212161
BS_3VKW5988	WGS	3088286401	2869	0.928994149982659
BS_3Y44RJXS	WGS	3088286401	2900	0.9390320791041168
BS_3Z40EZHD	WGS	3088286401	3074	0.9953740038503638
BS_3ZASRA3A	WGS	3088286401	3190	1.0329352870145285
BS_3ZMH8578	WGS	3088286401	1840	0.5957996639833016
BS_40FX713C	WGS	3088286401	3906	1.264779069303683
BS_40SJZGT2	WGS	3088286401	2332	0.7551113132657932
BS_41SWNWAG	WGS	3088286401	1968	0.6372465971299661
BS_41TD9XET	WGS	3088286401	2298	0.7441019716487105
BS_42A66SH4	WGS	3088286401	3018	0.9772409705986981
BS_45913DTA	WGS	3088286401	1870	0.6055137889395512
BS_47454JJ6	WGS	3088286401	1822	0.589971189009552
BS_47X3VAM0	WGS	3088286401	1862	0.6029233556178847
BS_49JD1V3S	WGS	3088286401	1476	0.4779349478474746
BS_4DQAQFQH	WGS	3088286401	51636	16.719951874696612
BS_4DTX295Z	WGS	3088286401	2406	0.7790728214912086
BS_4DY83R02	WGS	3088286401	3388	1.0970485117257751
BS_4G9Y2VC6	WGS	3088286401	1426	0.4617447395870588
BS_4GKH983E	WGS	3088286401	1961	0.634979967973508
BS_4M0ZMCDC	WGS	3088286401	1994	0.6456655054253824
BS_4NPEMNAD	WGS	3088286401	4312	1.3962435603782593
BS_4P25NNZD	WGS	3088286401	1670	0.540752955897888
BS_4PAE19ZC	WGS	3088286401	2216	0.7175500301016285
BS_4QFSH7C4	WGS	3088286401	1938	0.6275324721737167
BS_4RS1SC48	WGS	3088286401	1816	0.588028364018302
BS_4T8J7JEP	WGS	3088286401	1876	0.6074566139308011
BS_4XPPZTGG	WGS	3088286401	2328	0.75381609660496
BS_4Z6F1HJZ	WGS	3088286401	1894	0.6132850889045508
BS_4ZKN0WGS	WGS	3088286401	1250	0.40475520651039515
BS_50XV7CTQ	WGS	3088286401	3398	1.1002865533778583
BS_53TV75NN	WGS	3088286401	2586	0.8373575712287056
BS_55N7KFHW	WGS	3088286401	2130	0.6897028718937134
BS_58X7SKJS	WGS	3088286401	12527	4.056294777564577
BS_5968GBGT	WGS	3088286401	20328	6.582291070354651
BS_59FR1NC2	WGS	3088286401	1054	0.3412895901295652
BS_5B6XZ7YP	WGS	3088286401	2433	0.7878155339518331
BS_5BMNK8SY	WGS	3088286401	2130	0.6897028718937134
BS_5BNV7MCF	WGS	3088286401	1978	0.6404846387820493
BS_5D24XV4T	WGS	3088286401	1706	0.5524099058453873
BS_5J5VH3X0	WGS	3088286401	5664	1.8340267917399027
BS_5JC116NM	WGS	3088286401	4344	1.4066052936649254
BS_5KFAEMQJ	WGS	3088286401	2270	0.7350354550228776
BS_5KK9P7XD	WGS	3088286401	1656	0.5362196975849716
BS_5NAKYS1S	WGS	3088286401	2050	0.6637985386770481
BS_5R0HHQ1Y	WGS	3088286401	2290	0.741511538327044
BS_5RD8KEED	WGS	3088286401	3824	1.2382271277566008
BS_5S8VXASX	WGS	3088286401	2254	0.7298545883795445
BS_5TT6TT4K	WGS	3088286401	1748	0.5660096807841366
BS_5V2FBYQG	WGS	3088286401	1606	0.5200294893245557
BS_5V2XCW17	WGS	3088286401	2072	0.670922230311631
BS_5WK2KXYW	WGS	3088286401	2219	0.7185214425972535
BS_5XZP7F4Q	WGS	3088286401	2658	0.8606714711237042
BS_5Y2Q63Y4	WGS	3088286401	1516	0.49088711445580724
BS_5Z4XQC9X	WGS	3088286401	5438	1.760847050402823
BS_5ZRZC3ZM	WGS	3088286401	1530	0.4954203727687237
BS_62XRDTM6	WGS	3088286401	1845	0.5974186848093432
BS_682Z7WH6	WGS	3088286401	3341	1.0818297159609842
BS_68TZMZH1	WGS	3088286401	2528	0.8185769296466232
BS_69VS8PS1	WGS	3088286401	3635	1.1770281405322292
BS_6F49F7WH	WGS	3088286401	2237	0.7243499175710032
BS_6FV7BDE3	WGS	3088286401	1738	0.5627716391320534
BS_6FYTRKJJ	WGS	3088286401	1850	0.5990377056353848
BS_6GN1FGTB	WGS	3088286401	1798	0.5821998890445524
BS_6GTKRGNK	WGS	3088286401	2867	0.9283465416522424
BS_6GV08HTE	WGS	3088286401	2792	0.9040612292616187
BS_6HE8H9HY	WGS	3088286401	3510	1.1365526198811897
BS_6JBE0947	WGS	3088286401	6038	1.955129549527813
BS_6KEYD1S4	WGS	3088286401	1970	0.6378942054603828
BS_6NPSZJ4C	WGS	3088286401	2386	0.7725967381870423
BS_6Q9PMNWY	WGS	3088286401	1462	0.4734016895345582
BS_6SA5B35V	WGS	3088286401	2164	0.7007122135107962
BS_6T87HSPX	WGS	3088286401	2557	0.8279672504376644
BS_6TMPZKSZ	WGS	3088286401	3973	1.28647394837264
BS_6VKKMM6M	WGS	3088286401	1672	0.5414005642283046
BS_6X2BQQGE	WGS	3088286401	2504	0.8108056296816236
BS_6X3Z0AVR	WGS	3088286401	1622	0.5252103559678888
BS_6XHDR1WS	WGS	3088286401	1870	0.6055137889395512
BS_6XP91JM2	WGS	3088286401	1851	0.5993615098005932
BS_6Y7FX7QJ	WGS	3088286401	2296	0.7434543633182938
BS_6Z213H2V	WGS	3088286401	2624	0.8496621295066216
BS_6Z4WHYDG	WGS	3088286401	6734	2.180497248512801
BS_6ZP2KRPW	WGS	3088286401	2376	0.7693586965349591
BS_70FKSKM9	WGS	3088286401	4543	1.4710423225413802
BS_71HPXFE7	WGS	3088286401	2098	0.6793411386070473
BS_742CDKAS	WGS	3088286401	3198	1.035525720336195
BS_74A1TB03	WGS	3088286401	39632	12.833006675535986
BS_75VHXMZN	WGS	3088286401	2081	0.6738364677985059
BS_78TQS4Y3	WGS	3088286401	1564	0.5064297143858064
BS_797V83YM	WGS	3088286401	1718	0.5562955558278871
BS_79NQJZ09	WGS	3088286401	2730	0.883985371018703
BS_79SYEHY3	WGS	3088286401	5841	1.8913401289817746
BS_7BNQBB26	WGS	3088286401	1952	0.6320657304866331
BS_7F07M7JG	WGS	3088286401	3586	1.1611617364370217
BS_7GKF6M85	WGS	3088286401	4624	1.4972704599232538
BS_7HC4W4SA	WGS	3088286401	1436	0.464982781239142
BS_7M5272WN	WGS	3088286401	1833	0.5935330348268435
BS_7M6F9GQD	WGS	3088286401	3242	1.0497731036053608
