samples	experimental_strategy	genome_size	breaks_count	breaks_density
BS_3J4T2YYW	WGS	2719487222	6	0.0022062982872143827
BS_3JE2T7AR	WGS	2719487222	54	0.019856684584929445
BS_3MYQP7P5	WGS	2719487222	10	0.003677163812023971
BS_3NX3RBCX	WGS	2719487222	192	0.07060154519086025
BS_3P96RT4E	WGS	2719487222	6	0.0022062982872143827
BS_3QDRWJCF	WGS	2719487222	0	0
BS_3R0KN6Z4	WGS	2719487222	26	0.009560625911262324
BS_3VKW5988	WGS	2719487222	8	0.0029417310496191768
BS_3Y44RJXS	WGS	2719487222	0	0
BS_3Z40EZHD	WGS	2719487222	78	0.028681877733786974
BS_3ZASRA3A	WGS	2719487222	0	0
BS_3ZMH8578	WGS	2719487222	2	7.354327624047942e-4
BS_40FX713C	WGS	2719487222	124	0.04559683126909724
BS_40SJZGT2	WGS	2719487222	0	0
BS_41SWNWAG	WGS	2719487222	2	7.354327624047942e-4
BS_41TD9XET	WGS	2719487222	0	0
BS_42A66SH4	WGS	2719487222	2	7.354327624047942e-4
BS_45913DTA	WGS	2719487222	14	0.0051480293368335595
BS_47454JJ6	WGS	2719487222	24	0.00882519314885753
BS_47X3VAM0	WGS	2719487222	28	0.010296058673667119
BS_49JD1V3S	WGS	2719487222	4	0.0014708655248095884
BS_4DQAQFQH	WGS	2719487222	NA	NA
BS_4DTX295Z	WGS	2719487222	78	0.028681877733786974
BS_4DY83R02	WGS	2719487222	68	0.025004713921763004
BS_4G9Y2VC6	WGS	2719487222	4	0.0014708655248095884
BS_4GKH983E	WGS	2719487222	74	0.027211012208977387
BS_4M0ZMCDC	WGS	2719487222	2	7.354327624047942e-4
BS_4NPEMNAD	WGS	2719487222	16	0.0058834620992383535
BS_4P25NNZD	WGS	2719487222	18	0.006618894861643148
BS_4PAE19ZC	WGS	2719487222	0	0
BS_4QFSH7C4	WGS	2719487222	20	0.007354327624047942
BS_4RS1SC48	WGS	2719487222	0	0
BS_4T8J7JEP	WGS	2719487222	6	0.0022062982872143827
BS_4XPPZTGG	WGS	2719487222	0	0
BS_4Z6F1HJZ	WGS	2719487222	4	0.0014708655248095884
BS_4ZKN0WGS	WGS	2719487222	4	0.0014708655248095884
BS_50XV7CTQ	WGS	2719487222	6	0.0022062982872143827
BS_53TV75NN	WGS	2719487222	4	0.0014708655248095884
BS_55N7KFHW	WGS	2719487222	54	0.019856684584929445
BS_58X7SKJS	WGS	2719487222	0	0
BS_5968GBGT	WGS	2719487222	NA	NA
BS_59FR1NC2	WGS	2719487222	0	0
BS_5B6XZ7YP	WGS	2719487222	4	0.0014708655248095884
BS_5BMNK8SY	WGS	2719487222	50	0.018385819060119855
BS_5BNV7MCF	WGS	2719487222	22	0.008089760386452736
BS_5D24XV4T	WGS	2719487222	36	0.013237789723286295
BS_5J5VH3X0	WGS	2719487222	0	0
BS_5JC116NM	WGS	2719487222	122	0.04486139850669245
BS_5KFAEMQJ	WGS	2719487222	74	0.027211012208977387
BS_5KK9P7XD	WGS	2719487222	20	0.007354327624047942
BS_5NAKYS1S	WGS	2719487222	0	0
BS_5R0HHQ1Y	WGS	2719487222	2	7.354327624047942e-4
BS_5RD8KEED	WGS	2719487222	14	0.0051480293368335595
BS_5S8VXASX	WGS	2719487222	2	7.354327624047942e-4
BS_5TT6TT4K	WGS	2719487222	12	0.004412596574428765
BS_5V2FBYQG	WGS	2719487222	2	7.354327624047942e-4
BS_5V2XCW17	WGS	2719487222	0	0
BS_5WK2KXYW	WGS	2719487222	16	0.0058834620992383535
BS_5XZP7F4Q	WGS	2719487222	60	0.022062982872143828
BS_5Y2Q63Y4	WGS	2719487222	6	0.0022062982872143827
BS_5Z4XQC9X	WGS	2719487222	4	0.0014708655248095884
BS_5ZRZC3ZM	WGS	2719487222	4	0.0014708655248095884
BS_62XRDTM6	WGS	2719487222	0	0
BS_682Z7WH6	WGS	2719487222	46	0.016914953535310268
BS_68TZMZH1	WGS	2719487222	0	0
BS_69VS8PS1	WGS	2719487222	88	0.03235904154581094
BS_6F49F7WH	WGS	2719487222	0	0
BS_6FV7BDE3	WGS	2719487222	12	0.004412596574428765
