gene_id	gene_symbol
ENSG00000006638.11	TBXA2R
ENSG00000006652.13	IFRD1
ENSG00000006659.12	LGALS14
ENSG00000006695.10	COX10
ENSG00000006704.10	GTF2IRD1
ENSG00000006712.14	PAF1
ENSG00000006715.15	VPS41
ENSG00000006740.16	ARHGAP44
ENSG00000006744.18	ELAC2
ENSG00000006747.14	SCIN
ENSG00000006756.15	ARSD
ENSG00000006757.11	PNPLA4
ENSG00000006788.13	MYH13
ENSG00000006831.9	ADIPOR2
ENSG00000006837.11	CDKL3
ENSG00000007001.12	UPP2
ENSG00000007038.10	PRSS21
ENSG00000007047.14	MARK4
ENSG00000007062.11	PROM1
ENSG00000007080.10	CCDC124
ENSG00000007129.17	CEACAM21
ENSG00000007168.12	PAFAH1B1
ENSG00000007171.16	NOS2
ENSG00000007174.17	DNAH9
ENSG00000007202.14	KIAA0100
ENSG00000007216.14	SLC13A2
ENSG00000007237.18	GAS7
ENSG00000007255.10	TRAPPC6A
ENSG00000007264.14	MATK
ENSG00000007306.14	CEACAM7
ENSG00000007312.12	CD79B
ENSG00000007314.12	SCN4A
ENSG00000007341.18	ST7L
ENSG00000007350.16	TKTL1
ENSG00000007372.21	PAX6
ENSG00000007376.7	RPUSD1
ENSG00000007384.15	RHBDF1
ENSG00000007392.16	LUC7L
ENSG00000007402.11	CACNA2D2
ENSG00000007516.13	BAIAP3
ENSG00000007520.3	TSR3
ENSG00000007541.16	PIGQ
ENSG00000007545.15	CRAMP1
ENSG00000007866.19	TEAD3
ENSG00000007908.15	SELE
ENSG00000007923.15	DNAJC11
ENSG00000007933.12	FMO3
ENSG00000007944.14	MYLIP
ENSG00000007952.17	NOX1
ENSG00000007968.6	E2F2
ENSG00000008018.8	PSMB1
ENSG00000008056.13	SYN1
ENSG00000008083.13	JARID2
ENSG00000008086.11	CDKL5
ENSG00000008118.9	CAMK1G
ENSG00000008128.22	CDK11A
ENSG00000008130.15	NADK
ENSG00000008196.12	TFAP2B
ENSG00000008197.4	TFAP2D
ENSG00000008226.19	DLEC1
ENSG00000008256.15	CYTH3
ENSG00000008277.14	ADAM22
ENSG00000008282.8	SYPL1
ENSG00000008283.15	CYB561
ENSG00000008294.20	SPAG9
ENSG00000008300.16	CELSR3
ENSG00000008311.14	AASS
ENSG00000008323.15	PLEKHG6
ENSG00000008324.11	SS18L2
ENSG00000008382.15	MPND
ENSG00000008394.12	MGST1
ENSG00000008405.11	CRY1
ENSG00000008438.4	PGLYRP1
ENSG00000008441.16	NFIX
ENSG00000008513.14	ST3GAL1
ENSG00000008516.16	MMP25
ENSG00000008517.16	IL32
ENSG00000008710.19	PKD1
ENSG00000008735.13	MAPK8IP2
ENSG00000008838.19	MED24
ENSG00000008853.16	RHOBTB2
ENSG00000008869.11	HEATR5B
ENSG00000008952.16	SEC62
ENSG00000008988.9	RPS20
ENSG00000009307.15	CSDE1
ENSG00000009335.17	UBE3C
ENSG00000009413.15	REV3L
ENSG00000009694.13	TENM1
ENSG00000009709.11	PAX7
ENSG00000009724.16	MASP2
ENSG00000009765.14	IYD
ENSG00000009780.15	FAM76A
ENSG00000009790.14	TRAF3IP3
ENSG00000009830.11	POMT2
ENSG00000009844.15	VTA1
ENSG00000009950.15	MLXIPL
ENSG00000009954.10	BAZ1B
ENSG00000010017.12	RANBP9
ENSG00000010030.13	ETV7
ENSG00000010072.15	SPRTN
ENSG00000010165.19	METTL13
ENSG00000010219.13	DYRK4
ENSG00000010244.18	ZNF207
ENSG00000010256.10	UQCRC1
ENSG00000010270.13	STARD3NL
ENSG00000010278.12	CD9
ENSG00000010282.14	HHATL
ENSG00000010292.12	NCAPD2
ENSG00000010295.19	IFFO1
ENSG00000010310.8	GIPR
ENSG00000010318.20	PHF7
ENSG00000010319.6	SEMA3G
ENSG00000010322.15	NISCH
ENSG00000010327.10	STAB1
ENSG00000010361.13	FUZ
ENSG00000010379.15	SLC6A13
ENSG00000010404.17	IDS
ENSG00000010438.16	PRSS3
ENSG00000010539.11	ZNF200
ENSG00000010610.9	CD4
ENSG00000010626.14	LRRC23
ENSG00000010671.15	BTK
ENSG00000010704.18	HFE
ENSG00000010803.16	SCMH1
ENSG00000010810.17	FYN
ENSG00000010818.9	HIVEP2
ENSG00000010932.16	FMO1
ENSG00000011007.12	ELOA
ENSG00000011009.10	LYPLA2
ENSG00000011021.21	CLCN6
ENSG00000011028.13	MRC2
ENSG00000011052.21	NME1-NME2
ENSG00000011083.8	SLC6A7
ENSG00000011105.12	TSPAN9
ENSG00000011114.14	BTBD7
ENSG00000011132.11	APBA3
ENSG00000011143.16	MKS1
ENSG00000011198.7	ABHD5
ENSG00000011201.11	ANOS1
ENSG00000011243.17	AKAP8L
ENSG00000011258.15	MBTD1
ENSG00000011260.13	UTP18
ENSG00000011275.18	RNF216
ENSG00000011295.15	TTC19
ENSG00000011304.19	PTBP1
ENSG00000011332.19	DPF1
ENSG00000011347.9	SYT7
ENSG00000011376.9	LARS2
ENSG00000011405.13	PIK3C2A
ENSG00000011422.11	PLAUR
ENSG00000011426.10	ANLN
ENSG00000011451.17	WIZ
ENSG00000011454.16	RABGAP1
ENSG00000011465.16	DCN
ENSG00000011478.11	QPCTL
ENSG00000011485.14	PPP5C
ENSG00000011523.13	CEP68
ENSG00000011566.14	MAP4K3
ENSG00000011590.13	ZBTB32
ENSG00000011600.11	TYROBP
ENSG00000011638.10	TMEM159
ENSG00000011677.12	GABRA3
ENSG00000012048.20	BRCA1
ENSG00000012061.15	ERCC1
ENSG00000012124.16	CD22
ENSG00000012171.19	SEMA3B
ENSG00000012174.11	MBTPS2
ENSG00000012211.12	PRICKLE3
ENSG00000012223.12	LTF
ENSG00000012232.8	EXTL3
ENSG00000012504.13	NR1H4
ENSG00000012660.13	ELOVL5
ENSG00000012779.10	ALOX5
ENSG00000012817.15	KDM5D
ENSG00000012822.15	CALCOCO1
ENSG00000012963.14	UBR7
ENSG00000012983.11	MAP4K5
ENSG00000013016.15	EHD3
ENSG00000013275.7	PSMC4
ENSG00000013288.8	MAN2B2
ENSG00000013293.5	SLC7A14
ENSG00000013297.10	CLDN11
ENSG00000013306.15	SLC25A39
ENSG00000013364.18	MVP
ENSG00000013374.15	NUB1
ENSG00000013375.15	PGM3
ENSG00000013392.7	RWDD2A
ENSG00000013441.15	CLK1
ENSG00000013503.9	POLR3B
ENSG00000013523.9	ANGEL1
ENSG00000013561.17	RNF14
ENSG00000013563.13	DNASE1L1
ENSG00000013573.16	DDX11
ENSG00000013583.8	HEBP1
ENSG00000013588.7	GPRC5A
ENSG00000013619.13	MAMLD1
ENSG00000013725.14	CD6
ENSG00000013810.18	TACC3
ENSG00000014123.9	UFL1
ENSG00000014138.8	POLA2
ENSG00000014164.6	ZC3H3
ENSG00000014216.15	CAPN1
ENSG00000014257.15	ACPP
ENSG00000014641.17	MDH1
ENSG00000014824.13	SLC30A9
ENSG00000014914.20	MTMR11
ENSG00000014919.12	COX15
ENSG00000015133.18	CCDC88C
ENSG00000015153.14	YAF2
ENSG00000015171.19	ZMYND11
ENSG00000015285.10	WAS
ENSG00000015413.9	DPEP1
ENSG00000015475.18	BID
ENSG00000015479.18	MATR3
ENSG00000015520.14	NPC1L1
ENSG00000015532.9	XYLT2
ENSG00000015568.12	RGPD5
ENSG00000015592.16	STMN4
ENSG00000015676.17	NUDCD3
ENSG00000016082.14	ISL1
ENSG00000016391.10	CHDH
ENSG00000016402.13	IL20RA
ENSG00000016490.15	CLCA1
ENSG00000016602.9	CLCA4
ENSG00000016864.18	GLT8D1
ENSG00000017260.19	ATP2C1
ENSG00000017427.15	IGF1
ENSG00000017483.14	SLC38A5
ENSG00000017797.12	RALBP1
ENSG00000018189.12	RUFY3
ENSG00000018236.14	CNTN1
ENSG00000018280.16	SLC11A1
ENSG00000018408.14	WWTR1
ENSG00000018510.13	AGPS
ENSG00000018607.6	ZNF806
ENSG00000018610.13	CXorf56
ENSG00000018625.14	ATP1A2
ENSG00000018699.11	TTC27
ENSG00000018869.16	ZNF582
ENSG00000019102.11	VSIG2
ENSG00000019144.18	PHLDB1
ENSG00000019169.10	MARCO
ENSG00000019186.9	CYP24A1
ENSG00000019485.13	PRDM11
ENSG00000019505.7	SYT13
ENSG00000019549.9	SNAI2
ENSG00000019582.14	CD74
ENSG00000019991.15	HGF
ENSG00000019995.6	ZRANB1
ENSG00000020129.15	NCDN
ENSG00000020181.17	ADGRA2
ENSG00000020219.9	CCT8L1P
ENSG00000020256.19	ZFP64
ENSG00000020426.10	MNAT1
ENSG00000020577.13	SAMD4A
ENSG00000020633.18	RUNX3
ENSG00000020922.12	MRE11
ENSG00000021300.13	PLEKHB1
ENSG00000021355.12	SERPINB1
ENSG00000021461.16	CYP3A43
ENSG00000021488.12	SLC7A9
ENSG00000021574.11	SPAST
ENSG00000021645.18	NRXN3
ENSG00000021762.19	OSBPL5
ENSG00000021776.10	AQR
ENSG00000021826.14	CPS1
ENSG00000021852.12	C8B
ENSG00000022267.16	FHL1
ENSG00000022277.12	RTFDC1
ENSG00000022355.16	GABRA1
ENSG00000022556.15	NLRP2
ENSG00000022567.9	SLC45A4
ENSG00000022840.15	RNF10
ENSG00000022976.15	ZNF839
ENSG00000023041.11	ZDHHC6
ENSG00000023171.16	GRAMD1B
ENSG00000023191.16	RNH1
ENSG00000023228.13	NDUFS1
ENSG00000023287.12	RB1CC1
ENSG00000023318.7	ERP44
ENSG00000023330.14	ALAS1
ENSG00000023445.13	BIRC3
ENSG00000023516.8	AKAP11
ENSG00000023572.8	GLRX2
ENSG00000023608.4	SNAPC1
ENSG00000023697.12	DERA
ENSG00000023734.10	STRAP
ENSG00000023839.10	ABCC2
ENSG00000023892.10	DEF6
ENSG00000023902.13	PLEKHO1
ENSG00000023909.9	GCLM
ENSG00000024048.10	UBR2
ENSG00000024422.11	EHD2
ENSG00000024526.16	DEPDC1
ENSG00000024862.17	CCDC28A
ENSG00000025039.14	RRAGD
ENSG00000025156.12	HSF2
ENSG00000025293.16	PHF20
ENSG00000025423.11	HSD17B6
ENSG00000025434.18	NR1H3
ENSG00000025708.13	TYMP
ENSG00000025770.18	NCAPH2
ENSG00000025772.7	TOMM34
ENSG00000025796.13	SEC63
ENSG00000025800.13	KPNA6
ENSG00000026025.15	VIM
ENSG00000026036.21	RTEL1-TNFRSF6B
ENSG00000026103.21	FAS
ENSG00000026297.15	RNASET2
ENSG00000026508.17	CD44
ENSG00000026559.13	KCNG1
ENSG00000026652.13	AGPAT4
ENSG00000026751.16	SLAMF7
ENSG00000026950.16	BTN3A1
ENSG00000027001.9	MIPEP
ENSG00000027075.14	PRKCH
ENSG00000027644.4	INSRR
ENSG00000027697.13	IFNGR1
ENSG00000027847.13	B4GALT7
ENSG00000027869.11	SH2D2A
ENSG00000028116.16	VRK2
ENSG00000028137.18	TNFRSF1B
ENSG00000028203.17	VEZT
ENSG00000028277.21	POU2F2
ENSG00000028310.17	BRD9
ENSG00000028528.14	SNX1
ENSG00000028839.9	TBPL1
ENSG00000029153.14	ARNTL2
ENSG00000029363.16	BCLAF1
ENSG00000029364.11	SLC39A9
ENSG00000029534.19	ANK1
ENSG00000029559.6	IBSP
ENSG00000029639.10	TFB1M
ENSG00000029725.16	RABEP1
ENSG00000029993.14	HMGB3
ENSG00000030066.13	NUP160
ENSG00000030110.12	BAK1
ENSG00000030304.13	MUSK
ENSG00000030419.16	IKZF2
ENSG00000030582.17	GRN
ENSG00000031003.10	FAM13B
ENSG00000031081.10	ARHGAP31
ENSG00000031691.6	CENPQ
ENSG00000031698.12	SARS
ENSG00000031823.14	RANBP3
ENSG00000032219.18	ARID4A
ENSG00000032389.12	EIPR1
ENSG00000032444.15	PNPLA6
ENSG00000032742.17	IFT88
ENSG00000033011.11	ALG1
ENSG00000033030.13	ZCCHC8
ENSG00000033050.7	ABCF2
ENSG00000033100.16	CHPF2
ENSG00000033122.18	LRRC7
ENSG00000033170.16	FUT8
ENSG00000033178.12	UBA6
ENSG00000033327.12	GAB2
ENSG00000033627.16	ATP6V0A1
ENSG00000033800.13	PIAS1
ENSG00000033867.16	SLC4A7
ENSG00000034053.14	APBA2
ENSG00000034152.18	MAP2K3
ENSG00000034239.10	EFCAB1
ENSG00000034510.5	TMSB10
ENSG00000034533.11	ASTE1
ENSG00000034677.12	RNF19A
ENSG00000034693.14	PEX3
ENSG00000034713.7	GABARAPL2
ENSG00000034971.16	MYOC
ENSG00000035115.21	SH3YL1
ENSG00000035141.7	FAM136A
ENSG00000035403.17	VCL
ENSG00000035499.12	DEPDC1B
ENSG00000035664.11	DAPK2
ENSG00000035681.7	NSMAF
ENSG00000035687.9	ADSS
ENSG00000035720.7	STAP1
ENSG00000035862.12	TIMP2
ENSG00000035928.15	RFC1
ENSG00000036054.12	TBC1D23
ENSG00000036257.12	CUL3
ENSG00000036448.9	MYOM2
ENSG00000036473.6	OTC
ENSG00000036530.8	CYP46A1
ENSG00000036549.12	ZZZ3
ENSG00000036565.14	SLC18A1
ENSG00000036672.15	USP2
ENSG00000036828.15	CASR
ENSG00000037042.8	TUBG2
ENSG00000037241.7	RPL26L1
ENSG00000037280.15	FLT4
ENSG00000037474.14	NSUN2
ENSG00000037637.10	FBXO42
ENSG00000037749.11	MFAP3
ENSG00000037757.13	MRI1
ENSG00000037897.16	METTL1
ENSG00000037965.5	HOXC8
ENSG00000038002.8	AGA
ENSG00000038210.12	PI4K2B
ENSG00000038219.12	BOD1L1
ENSG00000038274.16	MAT2B
ENSG00000038295.7	TLL1
ENSG00000038358.14	EDC4
ENSG00000038382.18	TRIO
ENSG00000038427.15	VCAN
ENSG00000038532.14	CLEC16A
ENSG00000038945.14	MSR1
ENSG00000039068.18	CDH1
ENSG00000039123.15	SKIV2L2
ENSG00000039139.9	DNAH5
ENSG00000039319.16	ZFYVE16
ENSG00000039523.19	RIPOR1
ENSG00000039537.13	C6
ENSG00000039560.13	RAI14
ENSG00000039600.10	SOX30
ENSG00000039650.11	PNKP
ENSG00000039987.6	BEST2
ENSG00000040199.18	PHLPP2
ENSG00000040275.16	SPDL1
ENSG00000040341.17	STAU2
ENSG00000040487.12	PQLC2
ENSG00000040531.14	CTNS
ENSG00000040608.13	RTN4R
ENSG00000040633.12	PHF23
ENSG00000040731.10	CDH10
ENSG00000040933.15	INPP4A
ENSG00000041353.9	RAB27B
ENSG00000041357.15	PSMA4
ENSG00000041515.15	MYO16
ENSG00000041802.10	LSG1
ENSG00000041880.14	PARP3
ENSG00000041982.15	TNC
ENSG00000041988.15	THAP3
ENSG00000042062.11	RIPOR3
ENSG00000042088.13	TDP1
ENSG00000042286.14	AIFM2
ENSG00000042304.11	C2orf83
ENSG00000042317.16	SPATA7
ENSG00000042429.11	MED17
ENSG00000042445.13	RETSAT
ENSG00000042493.15	CAPG
ENSG00000042753.11	AP2S1
ENSG00000042781.12	USH2A
ENSG00000042813.7	ZPBP
ENSG00000042832.11	TG
ENSG00000042980.12	ADAM28
ENSG00000043039.6	BARX2
ENSG00000043093.13	DCUN1D1
ENSG00000043143.20	JADE2
ENSG00000043355.11	ZIC2
ENSG00000043462.11	LCP2
ENSG00000043514.15	TRIT1
ENSG00000043591.5	ADRB1
ENSG00000044012.3	GUCA2B
ENSG00000044090.8	CUL7
ENSG00000044115.20	CTNNA1
ENSG00000044446.11	PHKA2
ENSG00000044459.14	CNTLN
ENSG00000044524.10	EPHA3
ENSG00000044574.7	HSPA5
ENSG00000046604.12	DSG2
ENSG00000046647.13	GEMIN8
ENSG00000046651.14	OFD1
ENSG00000046653.14	GPM6B
ENSG00000046774.9	MAGEC2
ENSG00000046889.18	PREX2
ENSG00000047056.14	WDR37
ENSG00000047188.15	YTHDC2
ENSG00000047230.14	CTPS2
ENSG00000047249.17	ATP6V1H
ENSG00000047315.15	POLR2B
ENSG00000047346.12	FAM214A
ENSG00000047365.11	ARAP2
ENSG00000047410.13	TPR
ENSG00000047457.13	CP
ENSG00000047578.12	KIAA0556
ENSG00000047579.19	DTNBP1
ENSG00000047597.5	XK
ENSG00000047617.14	ANO2
ENSG00000047621.11	C12orf4
ENSG00000047634.14	SCML1
ENSG00000047644.18	WWC3
ENSG00000047648.21	ARHGAP6
ENSG00000047662.4	FAM184B
ENSG00000047849.21	MAP4
ENSG00000047932.13	GOPC
ENSG00000047936.10	ROS1
ENSG00000048028.11	USP28
ENSG00000048052.21	HDAC9
ENSG00000048140.17	TSPAN17
ENSG00000048162.20	NOP16
ENSG00000048342.15	CC2D2A
ENSG00000048392.11	RRM2B
ENSG00000048405.9	ZNF800
ENSG00000048462.10	TNFRSF17
ENSG00000048471.13	SNX29
ENSG00000048540.14	LMO3
ENSG00000048544.5	MRPS10
ENSG00000048545.13	GUCA1A
ENSG00000048649.13	RSF1
ENSG00000048707.13	VPS13D
ENSG00000048740.18	CELF2
ENSG00000048828.16	FAM120A
ENSG00000048991.16	R3HDM1
ENSG00000049089.13	COL9A2
ENSG00000049130.14	KITLG
ENSG00000049167.13	ERCC8
ENSG00000049192.14	ADAMTS6
ENSG00000049239.12	H6PD
ENSG00000049245.12	VAMP3
ENSG00000049246.14	PER3
ENSG00000049247.13	UTS2
ENSG00000049249.8	TNFRSF9
ENSG00000049283.17	EPN3
ENSG00000049323.15	LTBP1
ENSG00000049449.8	RCN1
ENSG00000049540.16	ELN
ENSG00000049541.10	RFC2
ENSG00000049618.22	ARID1B
ENSG00000049656.13	CLPTM1L
ENSG00000049759.17	NEDD4L
ENSG00000049768.14	FOXP3
ENSG00000049769.12	PPP1R3F
ENSG00000049860.13	HEXB
ENSG00000049883.14	PTCD2
ENSG00000050030.13	NEXMIF
ENSG00000050130.17	JKAMP
ENSG00000050165.17	DKK3
ENSG00000050327.14	ARHGEF5
ENSG00000050344.8	NFE2L3
ENSG00000050393.11	MCUR1
ENSG00000050405.13	LIMA1
ENSG00000050426.15	LETMD1
ENSG00000050438.16	SLC4A8
ENSG00000050555.17	LAMC3
ENSG00000050628.20	PTGER3
ENSG00000050730.15	TNIP3
ENSG00000050748.17	MAPK9
ENSG00000050767.15	COL23A1
ENSG00000050820.16	BCAR1
ENSG00000051009.10	FAM160A2
ENSG00000051108.14	HERPUD1
ENSG00000051128.18	HOMER3
ENSG00000051180.16	RAD51
ENSG00000051341.13	POLQ
ENSG00000051382.8	PIK3CB
ENSG00000051523.10	CYBA
ENSG00000051596.9	THOC3
ENSG00000051620.10	HEBP2
ENSG00000051825.14	MPHOSPH9
ENSG00000052126.14	PLEKHA5
ENSG00000052344.15	PRSS8
ENSG00000052723.11	SIKE1
ENSG00000052749.13	RRP12
ENSG00000052795.12	FNIP2
ENSG00000052802.12	MSMO1
ENSG00000052841.14	TTC17
ENSG00000052850.5	ALX4
ENSG00000053108.16	FSTL4
ENSG00000053254.15	FOXN3
ENSG00000053328.8	METTL24
ENSG00000053371.12	AKR7A2
ENSG00000053372.4	MRTO4
ENSG00000053438.8	NNAT
ENSG00000053501.12	USE1
ENSG00000053524.12	MCF2L2
ENSG00000053702.14	NRIP2
ENSG00000053747.15	LAMA3
ENSG00000053770.11	AP5M1
ENSG00000053900.10	ANAPC4
ENSG00000053918.15	KCNQ1
ENSG00000054116.11	TRAPPC3
ENSG00000054118.13	THRAP3
ENSG00000054148.17	PHPT1
ENSG00000054179.11	ENTPD2
ENSG00000054219.10	LY75
ENSG00000054267.21	ARID4B
ENSG00000054277.13	OPN3
ENSG00000054282.15	SDCCAG8
ENSG00000054356.13	PTPRN
ENSG00000054392.12	HHAT
ENSG00000054523.17	KIF1B
ENSG00000054598.6	FOXC1
ENSG00000054611.13	TBC1D22A
ENSG00000054654.16	SYNE2
ENSG00000054690.13	PLEKHH1
ENSG00000054793.13	ATP9A
ENSG00000054796.12	SPO11
ENSG00000054803.3	CBLN4
ENSG00000054938.15	CHRDL2
ENSG00000054965.10	FAM168A
ENSG00000054967.12	RELT
ENSG00000054983.16	GALC
ENSG00000055044.10	NOP58
ENSG00000055070.16	SZRD1
ENSG00000055118.14	KCNH2
ENSG00000055130.15	CUL1
ENSG00000055147.18	FAM114A2
ENSG00000055163.19	CYFIP2
ENSG00000055208.18	TAB2
ENSG00000055211.12	GINM1
ENSG00000055332.16	EIF2AK2
ENSG00000055483.19	USP36
ENSG00000055609.17	KMT2C
ENSG00000055732.12	MCOLN3
ENSG00000055813.5	CCDC85A
ENSG00000055917.15	PUM2
ENSG00000055950.16	MRPL43
ENSG00000055955.15	ITIH4
ENSG00000055957.10	ITIH1
ENSG00000056050.6	HPF1
ENSG00000056097.15	ZFR
ENSG00000056277.15	ZNF280C
ENSG00000056291.17	NPFFR2
ENSG00000056487.15	PHF21B
ENSG00000056558.10	TRAF1
ENSG00000056586.15	RC3H2
ENSG00000056736.9	IL17RB
ENSG00000056972.18	TRAF3IP2
ENSG00000056998.19	GYG2
ENSG00000057019.15	DCBLD2
ENSG00000057149.15	SERPINB3
ENSG00000057252.12	SOAT1
ENSG00000057294.14	PKP2
ENSG00000057468.6	MSH4
ENSG00000057593.13	F7
ENSG00000057608.16	GDI2
ENSG00000057657.15	PRDM1
ENSG00000057663.14	ATG5
ENSG00000057704.12	TMCC3
ENSG00000057757.9	PITHD1
ENSG00000057935.13	MTA3
ENSG00000058056.8	USP13
ENSG00000058063.15	ATP11B
ENSG00000058085.14	LAMC2
ENSG00000058091.16	CDK14
ENSG00000058262.9	SEC61A1
ENSG00000058272.16	PPP1R12A
ENSG00000058335.15	RASGRF1
ENSG00000058404.19	CAMK2B
ENSG00000058453.16	CROCC
ENSG00000058600.15	POLR3E
ENSG00000058668.14	ATP2B4
ENSG00000058673.16	ZC3H11A
ENSG00000058729.10	RIOK2
ENSG00000058799.14	YIPF1
ENSG00000058804.11	NDC1
ENSG00000058866.14	DGKG
ENSG00000059122.16	FLYWCH1
ENSG00000059145.18	UNKL
ENSG00000059377.16	TBXAS1
ENSG00000059378.12	PARP12
ENSG00000059573.8	ALDH18A1
ENSG00000059588.9	TARBP1
ENSG00000059691.11	GATB
ENSG00000059728.10	MXD1
ENSG00000059758.7	CDK17
ENSG00000059769.19	DNAJC25
ENSG00000059804.15	SLC2A3
ENSG00000059915.16	PSD
ENSG00000060069.16	CTDP1
ENSG00000060138.12	YBX3
ENSG00000060140.8	STYK1
ENSG00000060237.16	WNK1
ENSG00000060303.5	RPS17P5
ENSG00000060339.13	CCAR1
ENSG00000060491.16	OGFR
ENSG00000060558.3	GNA15
ENSG00000060566.13	CREB3L3
ENSG00000060642.10	PIGV
ENSG00000060656.19	PTPRU
ENSG00000060688.12	SNRNP40
ENSG00000060709.14	RIMBP2
ENSG00000060718.20	COL11A1
ENSG00000060749.14	QSER1
ENSG00000060762.18	MPC1
ENSG00000060971.17	ACAA1
ENSG00000060982.14	BCAT1
ENSG00000061273.17	HDAC7
ENSG00000061337.15	LZTS1
