sample_id	aliquot_id	Parent RNA	Notes	DNA/ RNA Pair Category
7316-740	470429	RNA [455486]	Has DNA that shipped from the same extraction	Same Extraction
7316-741	588458	RNA [586305]	Has DNA that shipped from the same extraction	Same Extraction
7316-746	588285	RNA [578424]	Has DNA that shipped from the same extraction	Same Extraction
7316-747	588286	RNA [578425]	Has DNA that shipped from the same extraction	Same Extraction
7316-749	588461	RNA [586308]	Has DNA that shipped from the same extraction	Same Extraction
7316-76	588349	RNA [583300]	Has DNA that shipped from the same extraction	Same Extraction
7316-762	471264	RNA [469540]	Has DNA that shipped from the same extraction	Same Extraction
7316-764	470427	RNA [455922]	Has DNA that shipped from the same extraction	Same Extraction
7316-765	470731		Aliquot does not exist in Nautilus	#N/A
7316-77	601595	RNA [591579]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-775	470421	RNA [462743]	Has DNA that shipped from the same extraction	Same Extraction
7316-78	564476	RNA [560239]	Has DNA that shipped from the same extraction	Same Extraction
7316-784	401961	Not found	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-80	739946	RNA [563013]	Has DNA that shipped from the same extraction	Same Extraction
7316-820	570097	RNA [554628]	Has DNA that shipped from the same extraction	Same Extraction
7316-839	711660	RNA [650577]	Has DNA that shipped from the same extraction	Same Extraction
7316-84	549593	RNA [468956]	Has DNA that shipped from the same extraction	Same Extraction
7316-842	711659	RNA [650576]	Has DNA that shipped from the same extraction	Same Extraction
7316-843	711658	RNA [650575]	Has DNA that shipped from the same extraction	Same Extraction
7316-85	398059	Not found	The RNA aliquot provided is the parent RNA that is still onsite. Likely meant aliquot [491761] or [925549] or[927594] or [994693]	#N/A
7316-85	994693	7316-85-RNA [398059]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-851	739971	RNA [603415]	Has DNA that shipped from the same extraction	Same Extraction
7316-853	746106	RNA [744189]	Has DNA that shipped from the same extraction	Same Extraction
7316-869	564474	RNA [560237]	Has DNA that shipped from the same extraction	Same Extraction
7316-87	1030650	Not found	Different TISS aliquot	Different TISS Aliquot
7316-87	401963	Not found	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-870	398453	Not found	The RNA aliquot provided is the parent RNA that is still onsite. Likely meant aliquot [478431] or [822404]	#N/A
7316-872	470435	RNA [455489]	Has DNA that shipped from the same extraction	Same Extraction
7316-873	570111	RNA [562056]	Has DNA that shipped from the same extraction	Same Extraction
7316-874	588321	RNA [582348]	Has DNA that shipped from the same extraction	Same Extraction
7316-875	734520	RNA [562105]	Has DNA that shipped from the same extraction	Same Extraction
7316-876	731907	RNA [731072]	Has DNA that shipped from the same extraction	Same Extraction
7316-877	570110	RNA [562055]	Has DNA that shipped from the same extraction	Same Extraction
7316-878	549572	RNA [446721]	Has DNA that shipped from the same extraction	Same Extraction
7316-879	570115	RNA [562106]	Has DNA that shipped from the same extraction	Same Extraction
7316-88	734540	RNA [733633]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-882	588322	RNA [582349]	Has DNA that shipped from the same extraction	Same Extraction
7316-884	588323	RNA [582350]	Has DNA that shipped from the same extraction	Same Extraction
7316-889	571421	RNA [568193]	Has DNA that shipped from the same extraction	Same Extraction
7316-89	577715	RNA [574705]	Has DNA that shipped from the same extraction	Same Extraction
7316-891	734522	RNA [569512]	Has DNA that shipped from the same extraction	Same Extraction
7316-892	588357	RNA [583308]	Has DNA that shipped from the same extraction	Same Extraction
7316-893	588358	RNA [583309]	Has DNA that shipped from the same extraction	Same Extraction
7316-894	571437	RNA [569511]	Has DNA that shipped from the same extraction	Same Extraction
7316-895	470020	RNA [415895]	Has DNA that shipped from the same extraction	Same Extraction
7316-896	588363	RNA [584285]	Has DNA that shipped from the same extraction	Same Extraction
7316-897	549568	RNA [448065]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-898	734539	RNA [733620]	Has DNA that shipped from the same extraction	Same Extraction
7316-9	570098	RNA [554633]	Has DNA that shipped from the same extraction	Same Extraction
7316-901	588364	RNA [584286]	Has DNA that shipped from the same extraction	Same Extraction
7316-903	577716	RNA [574706]	Has DNA that shipped from the same extraction	Same Extraction
7316-905	734521	RNA [568194]	Has DNA that shipped from the same extraction	Same Extraction
7316-906	588279	RNA [442022]	Has DNA that shipped from the same extraction	Same Extraction
7316-908	549564	RNA [441623]	Has DNA that shipped from the same TISS Aliquot	Different TISS Aliquot
7316-91	570119	RNA [563016]	Has DNA that shipped from the same extraction	Same Extraction
7316-913	564444	RNA [548799]	Has DNA that shipped from the same extraction	Same Extraction
7316-914	571422	RNA [568195]	Has DNA that shipped from the same extraction	Same Extraction
7316-915	571423	RNA [568196]	Has DNA that shipped from the same extraction	Same Extraction
7316-917	739955	RNA [581276]	Has DNA that shipped from the same extraction	Same Extraction
7316-918	549562	RNA [447255]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-92	570118	RNA [563015]	Has DNA that shipped from the same extraction	Same Extraction
7316-921	571436	RNA [569510]	Has DNA that shipped from the same extraction	Same Extraction
7316-922	549582	RNA [442023]	Different TISS aliquot	Different TISS Aliquot
7316-923	728283	RNA [727824]	Has DNA that shipped from the same extraction	Same Extraction
7316-924	739951	RNA [580686]	Has DNA that shipped from the same extraction	Same Extraction
7316-925	564450	RNA [549468]	Has DNA that shipped from the same extraction	Same Extraction
7316-929	588327	RNA [582683]	Has DNA that shipped from the same extraction	Same Extraction
7316-93	588325	RNA [582043]	Has DNA that shipped from the same extraction	Same Extraction
7316-931	608925	RNA [600527]	Has DNA that shipped from the same extraction	Same Extraction
7316-932	571438	RNA [569514]	Has DNA that shipped from the same extraction	Same Extraction
7316-934	654217	RNA [645101]	Has DNA that shipped from the same extraction	Same Extraction
7316-935	573137	RNA [570431]	Has DNA that shipped from the same extraction	Same Extraction
7316-936	588442	RNA [585475]	Has DNA that shipped from the same extraction	Same Extraction
7316-937	549585	RNA [442817]	Different TISS aliquot	Different TISS Aliquot
7316-938	588443	RNA [585476]	Has DNA that shipped from the same extraction	Same Extraction
7316-944	549611	RNA [477333]	Has DNA that shipped from the same extraction	Same Extraction
7316-946	588444	RNA [585477]	Has DNA that shipped from the same extraction	Same Extraction
7316-948	588445	RNA [585478]	Has DNA that shipped from the same extraction	Same Extraction
7316-949	734543	RNA [734417]	Has DNA that shipped from the same extraction	Same Extraction
7316-95	608916	RNA [448714]	Has DNA that shipped from the same extraction	Same Extraction
7316-950	731928	RNA [731337]	Has DNA that shipped from the same extraction	Same Extraction
7316-952	734519	RNA [562053]	Has DNA that shipped from the same extraction	Same Extraction
7316-954	549590	RNA [467900]	Has DNA that shipped from the same extraction	Same Extraction
7316-956	573138	RNA [570432]	Has DNA that shipped from the same extraction	Same Extraction
7316-957	571420	RNA [568192]	Has DNA that shipped from the same extraction	Same Extraction
7316-96	564488	RNA [561566]	Has DNA that shipped from the same extraction	Same Extraction
7316-965	564475	RNA [560238]	Has DNA that shipped from the same extraction	Same Extraction
7316-966	731918	RNA [731108]	Has DNA that shipped from the same extraction	Same Extraction
