sample_id	aliquot_id	Parent RNA	Notes	DNA/ RNA Pair Category
7316-1693	731859	RNA [728441]	Has DNA that shipped from the same extraction	Same Extraction
7316-1694	470027	RNA [415512]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-1695	549605	RNA [489732]	Has DNA that shipped from the same extraction	Same Extraction
7316-170	717109	RNA [559562]	Has DNA that shipped from the same extraction	Same Extraction
7316-1700	564490	RNA [561568]	Has DNA that shipped from the same extraction	Same Extraction
7316-1702	654191	RNA [644962]	Has DNA that shipped from the same extraction	Same Extraction
7316-1703	654192	RNA [644963]	Has DNA that shipped from the same extraction	Same Extraction
7316-1704	564456	RNA [555700]	Has DNA that shipped from the same extraction	Same Extraction
7316-1705	588310	RNA [581555]	Has DNA that shipped from the same extraction	Same Extraction
7316-1706	731909	RNA [731099]	Has DNA that shipped from the same extraction	Same Extraction
7316-1708	746064	RNA [499991]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-171	564465	RNA [559563]	Has DNA that shipped from the same extraction	Same Extraction
7316-1710	728274	RNA [727815]	Has DNA that shipped from the same extraction	Same Extraction
7316-1711	739945	RNA [555699]	Has DNA that shipped from the same extraction	Same Extraction
7316-1714	711680	RNA [652371]	Has DNA that shipped from the same extraction	Same Extraction
7316-1715	711662	RNA [650580]	Has DNA that shipped from the same extraction	Same Extraction
7316-172	564464	RNA [559561]	Has DNA that shipped from the same extraction	Same Extraction
7316-1723	470023	RNA [416633]	Has DNA that shipped from the same extraction	Same Extraction
7316-173	549618	RNA [533749]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-1744	717174	RNA [585516]	Has DNA that shipped from the same extraction	Same Extraction
7316-1745	549619	RNA [533750]	Has DNA that shipped from the same TISS Aliquot	Different TISS Aliquot
7316-1746	574552	RNA [573677]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-1747	588447	RNA [585517]	Has DNA that shipped from the same extraction	Same Extraction
7316-1748	573141	RNA [570508]	Has DNA that shipped from the same extraction	Same Extraction
7316-175	564466	RNA [559564]	Has DNA that shipped from the same extraction	Same Extraction
7316-1750	717128	RNA [570510]	Has DNA that shipped from the same extraction	Same Extraction
7316-1751	588446	RNA [585479]	Has DNA that shipped from the same extraction	Same Extraction
7316-1757	717183	RNA [667633]	Has DNA that shipped from the same extraction	Same Extraction
7316-176	573167	RNA [571290]	Has DNA that shipped from the same extraction	Same Extraction
7316-1760	588344	RNA [583407]	Has DNA that shipped from the same extraction	Same Extraction
7316-1763	549574	RNA [467903]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-1765	728295	RNA [727785]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-1766	717142	RNA [644960]	Has DNA that shipped from the same extraction	Same Extraction
7316-1767	654190	RNA [644961]	Has DNA that shipped from the same extraction	Same Extraction
7316-1769	470030	RNA [415513]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-1771	549560	RNA [440132]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-1772	717124	RNA [569335]	Has DNA that shipped from the same extraction	Same Extraction
7316-1773	717165	RNA [583408]	Has DNA that shipped from the same extraction	Same Extraction
7316-1774	574549	RNA [573674]	Has DNA that shipped from the same extraction	Same Extraction
7316-1775	571427	RNA [569336]	Has DNA that shipped from the same extraction	Same Extraction
7316-1776	731860	RNA [728442]	Has DNA that shipped from the same extraction	Same Extraction
7316-1778	549584	RNA [442025]	Different TISS aliquot	Different TISS Aliquot
7316-1779	731884	RNA [729726]	Has DNA that shipped from the same extraction	Same Extraction
7316-178	608917	RNA [466885]	Has DNA that shipped from the same extraction	Same Extraction
7316-1781	549570	RNA [440136]	Has DNA that shipped from the same TISS Aliquot	Different TISS Aliquot
7316-1782	549614	RNA [502644]	Has DNA that shipped from the same extraction	Same Extraction
7316-1783	728286	RNA [727864]	Has DNA that shipped from the same extraction	Same Extraction
7316-1784	588345	RNA [583409]	Has DNA that shipped from the same extraction	Same Extraction
7316-1785	588459	RNA [586306]	Has DNA that shipped from the same extraction	Same Extraction
7316-1786	588460	RNA [586307]	Has DNA that shipped from the same extraction	Same Extraction
7316-1789	608930	RNA [582686]	Has DNA that shipped from the same extraction	Same Extraction
7316-1790	573148	RNA [570518]	Has DNA that shipped from the same extraction	Same Extraction
7316-1792	573140	RNA [570435]	Has DNA that shipped from the same extraction	Same Extraction
7316-1793	588448	RNA [585518]	Has DNA that shipped from the same extraction	Same Extraction
7316-1794	731892	RNA [730401]	Has DNA that shipped from the same extraction	Same Extraction
7316-1797	588326	RNA [582682]	Has DNA that shipped from the same extraction	Same Extraction
7316-1799	470428	RNA [456746]	Has DNA that shipped from the same extraction	Same Extraction
7316-1801	564481	RNA [560767]	Has DNA that shipped from the same extraction	Same Extraction
7316-1802	731929	RNA [731557]	Has DNA that shipped from the same extraction	Same Extraction
7316-1803	717139	RNA [580680]	Has DNA that shipped from the same extraction	Same Extraction
7316-1805	731898	RNA [731063]	Has DNA that shipped from the same extraction	Same Extraction
7316-1806	588281	RNA [569342]	Has DNA that shipped from the same extraction	Same Extraction
7316-1808	571440	RNA [569516]	Has DNA that shipped from the same extraction	Same Extraction
7316-182	739962	RNA [685561]	Has DNA that shipped from the same extraction	Same Extraction
7316-183	717156	RNA [582036]	Has DNA that shipped from the same extraction	Same Extraction
7316-184	717146	RNA [685562]	Has DNA that shipped from the same extraction	Same Extraction
7316-1844	470026	RNA [416634]	Has DNA that shipped from the same extraction	Same Extraction
7316-1845	571408	RNA [567602]	Has DNA that shipped from the same extraction	Same Extraction
7316-185	570121	RNA [565700]	Has DNA that shipped from the same extraction	Same Extraction
7316-1851	711733	RNA [667632]	Has DNA that shipped from the same extraction	Same Extraction
7316-1854	728253	RNA [725580]	Has DNA that shipped from the same extraction	Same Extraction
7316-1855	711731	RNA [667630]	Has DNA that shipped from the same extraction	Same Extraction
7316-1856	746080	RNA [743298]	Has DNA that shipped from the same extraction	Same Extraction
7316-186	570122	RNA [565701]	Has DNA that shipped from the same extraction	Same Extraction
7316-1866	731899	RNA [731064]	Has DNA that shipped from the same extraction	Same Extraction
7316-187	717110	RNA [559566]	Has DNA that shipped from the same extraction	Same Extraction
7316-188	570099	RNA [559565]	Has DNA that shipped from the same extraction	Same Extraction
7316-1884	1030648	Not listed in Nautilus	Different TISS aliquot	Different TISS Aliquot
7316-1886	711732	RNA [667631]	Has DNA that shipped from the same extraction	Same Extraction
7316-1889	549576	RNA [415514]	Different TISS aliquot	Different TISS Aliquot
7316-189	470426	RNA [455485]	Has DNA that shipped from the same extraction	Same Extraction
7316-1890	731921	RNA [731329]	Has DNA that shipped from the same extraction	Same Extraction
7316-1893	746067	RNA [551471]	Has DNA that shipped from the same extraction	Same Extraction
7316-19	717106	RNA [554629]	Has DNA that shipped from the same extraction	Same Extraction
7316-1926	571409	RNA [567603]	Has DNA that shipped from the same extraction	Same Extraction
7316-1927	573139	RNA [570434]	Has DNA that shipped from the same extraction	Same Extraction
7316-1928	654214	RNA [645185]	Has DNA that shipped from the same extraction	Same Extraction
7316-193	601586	RNA [591120]	Has DNA that shipped from the same extraction	Same Extraction
7316-1936	731922	RNA [731330]	Has DNA that shipped from the same extraction	Same Extraction
7316-1937	731930	RNA [731558]	Has DNA that shipped from the same extraction	Same Extraction
7316-1938	731900	RNA [731065]	Has DNA that shipped from the same extraction	Same Extraction
7316-1940	588346	RNA [583410]	Has DNA that shipped from the same extraction	Same Extraction
7316-1941	588347	RNA [583411]	Has DNA that shipped from the same extraction	Same Extraction
7316-1942	654211	RNA [645182]	Has DNA that shipped from the same extraction	Same Extraction
7316-1943	588304	RNA [581284]	Has DNA that shipped from the same extraction	Same Extraction
7316-1944	588348	RNA [583412]	Has DNA that shipped from the same extraction	Same Extraction
7316-1945	571428	RNA [569337]	Has DNA that shipped from the same extraction	Same Extraction
7316-1946	654216	RNA [645100]	Has DNA that shipped from the same extraction	Same Extraction
7316-1948	571429	RNA [569338]	Has DNA that shipped from the same extraction	Same Extraction
7316-1949	728287	RNA [727865]	Has DNA that shipped from the same extraction	Same Extraction
7316-195	564443	RNA [548798]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-1950	588370	RNA [584369]	Has DNA that shipped from the same extraction	Same Extraction
7316-1952	571447	RNA [569684]	Has DNA that shipped from the same extraction	Same Extraction
7316-1953	731901	RNA [731066]	Has DNA that shipped from the same extraction	Same Extraction
7316-1954	588371	RNA [584370]	Has DNA that shipped from the same extraction	Same Extraction
7316-1955	588307	RNA [581550]	Has DNA that shipped from the same extraction	Same Extraction
7316-1956	564446	RNA [548801]	Has DNA that shipped from the same extraction	Same Extraction
7316-1957	571448	RNA [569985]	Has DNA that shipped from the same extraction	Same Extraction
7316-1958	588372	RNA [584371]	Has DNA that shipped from the same extraction	Same Extraction
7316-1959	731878	RNA [729720]	Has DNA that shipped from the same extraction	Same Extraction
7316-196	588335	RNA [582980]	Has DNA that shipped from the same extraction	Same Extraction
7316-1960	728288	RNA [727866]	Has DNA that shipped from the same extraction	Same Extraction
7316-1962	588449	RNA [585519]	Has DNA that shipped from the same extraction	Same Extraction
7316-1963	601587	RNA [591122]	Has DNA that shipped from the same extraction	Same Extraction
7316-1965	728289	RNA [727867]	Has DNA that shipped from the same extraction	Same Extraction
7316-1968	717171	RNA [666256]	Has DNA that shipped from the same extraction	Same Extraction
7316-1969	564448	RNA [548804]	Has DNA that shipped from the same extraction	Same Extraction
7316-197	570123	RNA [565703]	Has DNA that shipped from the same extraction	Same Extraction
7316-1970	728296	RNA [727787]	Has DNA that shipped from the same extraction	Same Extraction
7316-1972	601588	RNA [591123]	Has DNA that shipped from the same extraction	Same Extraction
7316-1975	601601	RNA [587844]	Has DNA that shipped from the same extraction	Same Extraction
7316-1977	601602	RNA [587845]	Has DNA that shipped from the same extraction	Same Extraction
7316-1978	731883	RNA [729725]	Has DNA that shipped from the same extraction	Same Extraction
7316-198	549592	RNA [470150]	Has DNA that shipped from the same extraction	Same Extraction
7316-1981	731872	RNA [728670]	Has DNA that shipped from the same extraction	Same Extraction
7316-1983	573153	RNA [570806]	Has DNA that shipped from the same extraction	Same Extraction
7316-1985	573160	RNA [571519]	Has DNA that shipped from the same extraction	Same Extraction
7316-1986	717155	RNA [587846]	Has DNA that shipped from the same extraction	Same Extraction
7316-1987	573161	RNA [571520]	Has DNA that shipped from the same extraction	Same Extraction
7316-20	564452	RNA [554631]	Has DNA that shipped from the same extraction	Same Extraction
7316-2005	573147	RNA [570517]	Has DNA that shipped from the same extraction	Same Extraction
7316-2006	601590	RNA [591126]	Has DNA that shipped from the same extraction	Same Extraction
7316-2009	470439	RNA [450683]	Has DNA that shipped from the same extraction	Same Extraction
7316-202	564467	RNA [559567]	Has DNA that shipped from the same extraction	Same Extraction
7316-204	398058	Not found	Different TISS aliquot	Different TISS Aliquot
7316-205	570124	RNA [565704]	Has DNA that shipped from the same extraction	Same Extraction
7316-206	570125	RNA [565705]	Has DNA that shipped from the same extraction	Same Extraction
7316-2069	573154	RNA [571208]	Has DNA that shipped from the same extraction	Same Extraction
7316-207	570126	RNA [565706]	Has DNA that shipped from the same extraction	Same Extraction
7316-2071	717176	RNA [586309]	Has DNA that shipped from the same extraction	Same Extraction
7316-2075	588360	RNA [584282]	Has DNA that shipped from the same extraction	Same Extraction
7316-2079	731910	RNA [731100]	Has DNA that shipped from the same extraction	Same Extraction
7316-2084	731882	RNA [729724]	Has DNA that shipped from the same extraction	Same Extraction
7316-2085	577730	RNA [576850]	Has DNA that shipped from the same extraction	Same Extraction
7316-209	717114	RNA [565702]	Has DNA that shipped from the same extraction	Same Extraction
7316-2091	577718	RNA [574708]	Has DNA that shipped from the same extraction	Same Extraction
7316-2092	739928	RNA [606566]	Has DNA that shipped from the same extraction	Same Extraction
7316-2099	588369	RNA [584368]	Has DNA that shipped from the same extraction	Same Extraction
7316-2100	574551	RNA [573676]	Has DNA that shipped from the same extraction	Same Extraction
7316-2106	717162	RNA [582684]	Has DNA that shipped from the same extraction	Same Extraction
7316-2107	570102	RNA [560769]	Has DNA that shipped from the same extraction	Same Extraction
7316-2109	731893	RNA [730404]	Has DNA that shipped from the same extraction	Same Extraction
7316-2110	731931	RNA [731559]	Has DNA that shipped from the same extraction	Same Extraction
7316-2118	711663	RNA [650582]	Has DNA that shipped from the same extraction	Same Extraction
7316-2125	717167	RNA [584287]	Has DNA that shipped from the same extraction	Same Extraction
7316-2130	746069	RNA [541386]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-2133	717125	RNA [569517]	Has DNA that shipped from the same extraction	Same Extraction
7316-2134	571441	RNA [569518]	Has DNA that shipped from the same extraction	Same Extraction
7316-2135	571442	RNA [569519]	Has DNA that shipped from the same extraction	Same Extraction
7316-2138	728297	RNA [727788]	Has DNA that shipped from the same extraction	Same Extraction
7316-2139	571430	RNA [569339]	Has DNA that shipped from the same extraction	Same Extraction
7316-214	717119	RNA [567503]	Has DNA that shipped from the same extraction	Same Extraction
7316-2140	470436	RNA [455490]	Has DNA that shipped from the same extraction	Same Extraction
7316-2141	571446	RNA [569683]	Has DNA that shipped from the same extraction	Same Extraction
7316-2142	588361	RNA [584283]	Has DNA that shipped from the same extraction	Same Extraction
7316-2144	734532	RNA [677115]	Has DNA that shipped from the same extraction	Same Extraction
7316-2146	564445	RNA [548800]	Has DNA that shipped from the same extraction	Same Extraction
7316-2147	588305	RNA [581285]	Has DNA that shipped from the same extraction	Same Extraction
7316-2148	571431	RNA [569340]	Has DNA that shipped from the same extraction	Same Extraction
7316-2149	717161	RNA [582681]	Has DNA that shipped from the same extraction	Same Extraction
7316-215	571412	RNA [567502]	Has DNA that shipped from the same extraction	Same Extraction
7316-2150	571432	RNA [569341]	Has DNA that shipped from the same extraction	Same Extraction
7316-2151	711713	RNA [606900]	Has DNA that shipped from the same extraction	Same Extraction
7316-2152	574550	RNA [573675]	Has DNA that shipped from the same extraction	Same Extraction
7316-2153	571439	RNA [569515]	Has DNA that shipped from the same extraction	Same Extraction
7316-2154	549612	RNA [535907]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-2155	564491	RNA [561569]	Has DNA that shipped from the same extraction	Same Extraction
7316-2156	588365	RNA [584288]	Has DNA that shipped from the same extraction	Same Extraction
7316-2157	588366	RNA [584289]	Has DNA that shipped from the same extraction	Same Extraction
7316-2158	588367	RNA [584290]	Has DNA that shipped from the same extraction	Same Extraction
7316-2159	571443	RNA [569520]	Has DNA that shipped from the same extraction	Same Extraction
7316-216	717116	RNA [565708]	Has DNA that shipped from the same extraction	Same Extraction
7316-2166	588368	RNA [584292]	Has DNA that shipped from the same extraction	Same Extraction
7316-2167	571444	RNA [569681]	Has DNA that shipped from the same extraction	Same Extraction
7316-2169	570101	RNA [560768]	Has DNA that shipped from the same extraction	Same Extraction
7316-217	734530	RNA [541516]	Different TISS aliquot	Different TISS Aliquot
7316-2170	728298	RNA [727789]	Has DNA that shipped from the same extraction	Same Extraction
7316-2171	571445	RNA [569682]	Has DNA that shipped from the same extraction	Same Extraction
7316-2172	571451	RNA [569988]	Has DNA that shipped from the same extraction	Same Extraction
7316-2174	588373	RNA [584372]	Has DNA that shipped from the same extraction	Same Extraction
7316-2176	588280	RNA [548802]	Has DNA that shipped from the same extraction	Same Extraction
7316-2177	571452	RNA [569989]	Has DNA that shipped from the same extraction	Same Extraction
7316-2178	564482	RNA [560770]	Has DNA that shipped from the same extraction	Same Extraction
7316-2180	588374	RNA [584373]	Has DNA that shipped from the same extraction	Same Extraction
7316-2181	588435	RNA [584374]	Has DNA that shipped from the same extraction	Same Extraction
7316-2182	734542	RNA [734369]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-2183	571455	RNA [569993]	Has DNA that shipped from the same extraction	Same Extraction
7316-2184	571456	RNA [569994]	Has DNA that shipped from the same extraction	Same Extraction
7316-2186	654180	RNA [648541]	Has DNA that shipped from the same extraction	Same Extraction
7316-2187	608922	RNA [548881]	Has DNA that shipped from the same extraction	Same Extraction
7316-2189	734533	RNA [606559]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-219	1030641	DNA and RNA are listed as virtual	"DNA and RNA are listed as virtual, but are under the same tissue aliquot that was shipped without a project ID to ""investigator Jessie"""	#N/A
7316-2191	588450	RNA [585520]	Has DNA that shipped from the same extraction	Same Extraction
7316-2193	588451	RNA [585521]	Has DNA that shipped from the same extraction	Same Extraction
7316-2195	573144	RNA [570513]	Has DNA that shipped from the same extraction	Same Extraction
7316-2197	731873	RNA [728671]	Has DNA that shipped from the same extraction	Same Extraction
7316-22	564485	RNA [560773]	Has DNA that shipped from the same extraction	Same Extraction
7316-220	571413	RNA [567504]	Has DNA that shipped from the same extraction	Same Extraction
7316-2203	731874	RNA [728672]	Has DNA that shipped from the same extraction	Same Extraction
7316-2204	731912	RNA [731102]	Has DNA that shipped from the same extraction	Same Extraction
7316-2208	731894	RNA [730405]	Has DNA that shipped from the same extraction	Same Extraction
7316-2215	731923	RNA [731332]	Has DNA that shipped from the same extraction	Same Extraction
7316-2216	731932	RNA [731560]	Has DNA that shipped from the same extraction	Same Extraction
7316-2217	731933	RNA [731561]	Has DNA that shipped from the same extraction	Same Extraction
7316-222	571414	RNA [567505]	Has DNA that shipped from the same extraction	Same Extraction
7316-2221	711677	RNA [655095]	Has DNA that shipped from the same extraction	Same Extraction
7316-2224	571449	RNA [569986]	Has DNA that shipped from the same extraction	Same Extraction
7316-2227	564492	RNA [561570]	Has DNA that shipped from the same extraction	Same Extraction
7316-223	717172	RNA [681545]	Has DNA that shipped from the same extraction	Same Extraction
7316-2230	564493	RNA [561571]	Has DNA that shipped from the same extraction	Same Extraction
7316-2237	731903	RNA [731068]	Has DNA that shipped from the same extraction	Same Extraction
7316-224	588336	RNA [582981]	Has DNA that shipped from the same extraction	Same Extraction
7316-2240	731904	RNA [731069]	Has DNA that shipped from the same extraction	Same Extraction
7316-2241	549573	RNA [508446]	Has DNA that shipped from the same extraction	Same Extraction
7316-2243	746082	RNA [743301]	Has DNA that shipped from the same extraction	Same Extraction
7316-2244	571453	RNA [569991]	Has DNA that shipped from the same extraction	Same Extraction
7316-2245	571454	RNA [569992]	Has DNA that shipped from the same extraction	Same Extraction
7316-2248	588282	RNA [570512]	Has DNA that shipped from the same extraction	Same Extraction
7316-2249	573155	RNA [571209]	Has DNA that shipped from the same extraction	Same Extraction
7316-2250	564483	RNA [560771]	Has DNA that shipped from the same extraction	Same Extraction
7316-2251	573149	RNA [570801]	Has DNA that shipped from the same extraction	Same Extraction
7316-2252	564484	RNA [560772]	Has DNA that shipped from the same extraction	Same Extraction
7316-2255	717166	RNA [612272]	Has DNA that shipped from the same extraction	Same Extraction
7316-226	601596	RNA [591580]	Has DNA that shipped from the same extraction	Same Extraction
7316-2266	717104	RNA [649220]	Has DNA that shipped from the same extraction	Same Extraction
7316-2267	711708	RNA [666255]	Has DNA that shipped from the same extraction	Same Extraction
7316-2268	717136	RNA [644953]	Has DNA that shipped from the same extraction	Same Extraction
7316-2269	717185	RNA [668172]	Has DNA that shipped from the same extraction	Same Extraction
7316-2271	717138	RNA [644954]	Has DNA that shipped from the same extraction	Same Extraction
7316-2274	728249	RNA [725631]	Has DNA that shipped from the same extraction	Same Extraction
7316-2275	724090	RNA [723505]	Has DNA that shipped from the same extraction	Same Extraction
7316-2276	711756	RNA [677368]	Has DNA that shipped from the same extraction	Same Extraction
7316-2278	654197	RNA [612338]	Has DNA that shipped from the same extraction	Same Extraction
7316-2285	717163	RNA [582685]	Has DNA that shipped from the same extraction	Same Extraction
7316-2287	711707	RNA [666254]	Has DNA that shipped from the same extraction	Same Extraction
7316-2288	577719	RNA [574709]	Has DNA that shipped from the same extraction	Same Extraction
7316-2291	731905	RNA [731070]	Has DNA that shipped from the same extraction	Same Extraction
7316-23	717107	RNA [554630]	Has DNA that shipped from the same extraction	Same Extraction
7316-230	588314	RNA [582038]	Has DNA that shipped from the same extraction	Same Extraction
7316-2300	571450	RNA [569987]	Has DNA that shipped from the same extraction	Same Extraction
7316-2305	588436	RNA [584375]	Has DNA that shipped from the same extraction	Same Extraction
7316-2306	731881	RNA [729723]	Has DNA that shipped from the same extraction	Same Extraction
7316-2307	731934	RNA [731562]	Has DNA that shipped from the same extraction	Same Extraction
7316-2308	731861	RNA [728443]	Has DNA that shipped from the same extraction	Same Extraction
7316-2309	564494	RNA [561572]	Has DNA that shipped from the same extraction	Same Extraction
7316-231	549571	RNA [478004]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-2310	588437	RNA [584376]	Has DNA that shipped from the same extraction	Same Extraction
7316-2311	731913	RNA [731103]	Has DNA that shipped from the same extraction	Same Extraction
7316-2313	717126	RNA [569995]	Has DNA that shipped from the same extraction	Same Extraction
7316-2322	564495	RNA [561573]	Has DNA that shipped from the same extraction	Same Extraction
7316-2324	717147	RNA [685566]	Has DNA that shipped from the same extraction	Same Extraction
7316-2329	746072	RNA [741114]	Has DNA that shipped from the same extraction	Same Extraction
7316-234	717141	RNA [580762]	Has DNA that shipped from the same extraction	Same Extraction
7316-235	564458	RNA [555703]	Has DNA that shipped from the same extraction	Same Extraction
7316-238	1030655	Not found	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-240	746085	RNA [743304]	Has DNA that shipped from the same extraction	Same Extraction
7316-242	750189	RNA [744904]	Has DNA that shipped from the same extraction	Same Extraction
7316-245	711727	RNA [665958]	Has DNA that shipped from the same extraction	Same Extraction
7316-247	588291	RNA [580763]	Has DNA that shipped from the same extraction	Same Extraction
7316-249	577724	RNA [575894]	Has DNA that shipped from the same extraction	Same Extraction
7316-2536	574557	RNA [573682]	Has DNA that shipped from the same extraction	Same Extraction
7316-255	994697	RNA [924320]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-255	401560	Not found	Has DNA that shipped from the same extraction	Same Extraction
7316-2554	564449	RNA [548805]	Has DNA that shipped from the same extraction	Same Extraction
7316-2556	728254	RNA [725581]	Has DNA that shipped from the same extraction	Same Extraction
7316-2557	731862	RNA [728444]	Has DNA that shipped from the same extraction	Same Extraction
7316-2558	654219	RNA [645104]	Has DNA that shipped from the same extraction	Same Extraction
7316-2561	577720	RNA [574710]	Has DNA that shipped from the same extraction	Same Extraction
7316-2562	728255	RNA [725582]	Has DNA that shipped from the same extraction	Same Extraction
7316-2566	717134	RNA [571500]	Has DNA that shipped from the same extraction	Same Extraction
7316-2567	570103	RNA [561563]	Has DNA that shipped from the same extraction	Same Extraction
7316-2569	717168	RNA [612276]	Has DNA that shipped from the same extraction	Same Extraction
7316-257	711729	RNA [667627]	Has DNA that shipped from the same extraction	Same Extraction
7316-2571	588452	RNA [585523]	Has DNA that shipped from the same extraction	Same Extraction
7316-2572	588453	RNA [585524]	Has DNA that shipped from the same extraction	Same Extraction
7316-2575	654215	RNA [645186]	Has DNA that shipped from the same extraction	Same Extraction
7316-2576	654181	RNA [648542]	Has DNA that shipped from the same extraction	Same Extraction
7316-2577	601591	RNA [591127]	Has DNA that shipped from the same extraction	Same Extraction
7316-2578	588462	RNA [586310]	Has DNA that shipped from the same extraction	Same Extraction
7316-258	717112	RNA [562101]	Has DNA that shipped from the same extraction	Same Extraction
7316-2581	573156	RNA [571210]	Has DNA that shipped from the same extraction	Same Extraction
7316-2582	573157	RNA [571211]	Has DNA that shipped from the same extraction	Same Extraction
7316-2583	573158	RNA [571212]	Has DNA that shipped from the same extraction	Same Extraction
7316-2588	588463	RNA [586311]	Has DNA that shipped from the same extraction	Same Extraction
7316-2589	739960	RNA [705319]	Has DNA that shipped from the same extraction	Same TISS Aliquot
7316-259	588315	RNA [582040]	Has DNA that shipped from the same extraction	Same Extraction
7316-2590	717130	RNA [570800]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-2591	717151	RNA [587840]	Has DNA that shipped from the same extraction	Same Extraction
7316-2594	574553	RNA [573678]	Has DNA that shipped from the same extraction	Same Extraction
7316-2599	711766	RNA [607874]	Has DNA that shipped from the same extraction	Same Extraction
7316-2608	717177	RNA [586312]	Has DNA that shipped from the same extraction	Same Extraction
7316-2609	573159	RNA [571213]	Has DNA that shipped from the same extraction	Same Extraction
7316-261	750191	RNA [744907]	Has DNA that shipped from the same extraction	Same Extraction
7316-2610	577721	RNA [574711]	Has DNA that shipped from the same extraction	Same Extraction
7316-2614	717175	RNA [585522]	Has DNA that shipped from the same extraction	Same Extraction
7316-262	750190	RNA [744906]	Has DNA that shipped from the same extraction	Same Extraction
7316-2622	717178	RNA [586313]	Has DNA that shipped from the same extraction	Same Extraction
7316-2626	728290	RNA [727868]	Has DNA that shipped from the same extraction	Same Extraction
7316-263	711706	RNA [666252]	Has DNA that shipped from the same extraction	Same Extraction
7316-2632	711748	RNA [668177]	Has DNA that shipped from the same extraction	Same Extraction
7316-264	549616	RNA [534723]	Has DNA that shipped from the same extraction	Same Extraction
7316-2640	573150	RNA [570802]	Has DNA that shipped from the same extraction	Same Extraction
7316-2641	717129	RNA [570683]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-2647	717152	RNA [587841]	Has DNA that shipped from the same extraction	Same Extraction
7316-2648	573151	RNA [570803]	Has DNA that shipped from the same extraction	Same Extraction
7316-265	549621	RNA [535803]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-2653	717131	RNA [570804]	Has DNA that shipped from the same extraction	Same Extraction
7316-2658	654182	RNA [648543]	Has DNA that shipped from the same extraction	Same Extraction
7316-2659	717140	RNA [580684]	Has DNA that shipped from the same extraction	Same Extraction
7316-2660	577722	RNA [574712]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-2661	731863	RNA [728445]	Has DNA that shipped from the same extraction	Same Extraction
7316-2662	717100	RNA [655140]	Has DNA that shipped from the same extraction	Same Extraction
7316-2663	601603	RNA [587847]	Has DNA that shipped from the same extraction	Same Extraction
7316-2664	711710	RNA [606893]	Has DNA that shipped from the same extraction	Same Extraction
7316-2665	717135	RNA [571521]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-2666	711711	RNA [606895]	Has DNA that shipped from the same extraction	Same Extraction
7316-2667	549620	RNA [533753]	Has DNA that shipped from the same TISS Aliquot	Different TISS Aliquot
7316-2668	573162	RNA [571522]	Has DNA that shipped from the same extraction	Same Extraction
7316-2669	601604	RNA [587848]	Has DNA that shipped from the same extraction	Same Extraction
7316-267	564455	RNA [555698]	Has DNA that shipped from the same extraction	Same Extraction
7316-2671	573164	RNA [571524]	Has DNA that shipped from the same extraction	Same Extraction
7316-2672	601592	RNA [591128]	Has DNA that shipped from the same extraction	Same Extraction
7316-2673	711749	RNA [668178]	Has DNA that shipped from the same extraction	Same Extraction
7316-2680	573163	RNA [571523]	Has DNA that shipped from the same extraction	Same Extraction
7316-2686	717179	RNA [645103]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-2688	731924	RNA [731333]	Has DNA that shipped from the same extraction	Same Extraction
7316-2689	728291	RNA [727869]	Has DNA that shipped from the same extraction	Same Extraction
7316-2699	728275	RNA [727816]	Has DNA that shipped from the same extraction	Same Extraction
7316-2703	739972	RNA [603420]	Has DNA that shipped from the same extraction	Same Extraction
7316-2707	588356	RNA [583307]	Has DNA that shipped from the same extraction	Same Extraction
7316-2708	711753	RNA [677365]	Has DNA that shipped from the same extraction	Same Extraction
7316-2719	717132	RNA [571497]	Has DNA that shipped from the same extraction	Same Extraction
7316-272	588287	RNA [578426]	Has DNA that shipped from the same extraction	Same Extraction
7316-2720	717133	RNA [571498]	Has DNA that shipped from the same extraction	Same Extraction
7316-2723	601605	RNA [587849]	Has DNA that shipped from the same extraction	Same Extraction
