FusionName	file	type
ABR--GAS7	pancanfus.txt	TCGAFusion
ABR--KIAA0664	pancanfus.txt	TCGAFusion
ABR--MAN2B1	pancanfus.txt	TCGAFusion
ABR--PITPNA	pancanfus.txt	TCGAFusion
ABR--PITPNA	pancanfus.txt	TCGAFusion
ABR--RTN4RL1	pancanfus.txt	TCGAFusion
ABR--YWHAE	pancanfus.txt	TCGAFusion
ABTB2--APIP	pancanfus.txt	TCGAFusion
ABTB2--APIP	pancanfus.txt	TCGAFusion
ABTB2--ATXN3	pancanfus.txt	TCGAFusion
AC005522.1--ZP3	pancanfus.txt	TCGAFusion
AC113191.1--ANK1	pancanfus.txt	TCGAFusion
ACAA2--MYO5B	pancanfus.txt	TCGAFusion
ACACA--ACCN1	pancanfus.txt	TCGAFusion
ACACA--ADAM9	pancanfus.txt	TCGAFusion
ACACA--C12orf26	pancanfus.txt	TCGAFusion
ACACA--C20orf72	pancanfus.txt	TCGAFusion
ACACA--GLIPR1L2	pancanfus.txt	TCGAFusion
ACACA--GSDMB	pancanfus.txt	TCGAFusion
ACACA--HTRA4	pancanfus.txt	TCGAFusion
ACACA--LASP1	pancanfus.txt	TCGAFusion
ACACA--MED1	pancanfus.txt	TCGAFusion
ACACA--MMP28	pancanfus.txt	TCGAFusion
ACACA--RARA	pancanfus.txt	TCGAFusion
ACACA--SRCIN1	pancanfus.txt	TCGAFusion
ACACA--SSH2	pancanfus.txt	TCGAFusion
ACACA--TADA2A	pancanfus.txt	TCGAFusion
ACACA--TANC2	pancanfus.txt	TCGAFusion
ACACB--Mar-09	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACAD11--ABCE1	pancanfus.txt	TCGAFusion
ACAD9--KIAA1257	pancanfus.txt	TCGAFusion
ACADVL--CD74	pancanfus.txt	TCGAFusion
ACAP2--APOD	pancanfus.txt	TCGAFusion
ACAP2--DLG1	pancanfus.txt	TCGAFusion
ACAP2--IQCG	pancanfus.txt	TCGAFusion
ACAP2--UBE2J2	pancanfus.txt	TCGAFusion
ACAP3--CPSF3L	pancanfus.txt	TCGAFusion
ACAP3--CPSF3L	pancanfus.txt	TCGAFusion
ACAP3--DVL1	pancanfus.txt	TCGAFusion
ACBD6--CCDC122	pancanfus.txt	TCGAFusion
ACBD6--IVNS1ABP	pancanfus.txt	TCGAFusion
ACBD6--PGBD2	pancanfus.txt	TCGAFusion
ACE2--GPR143	pancanfus.txt	TCGAFusion
ACER2--C8orf37	pancanfus.txt	TCGAFusion
ACER3--C11orf30	pancanfus.txt	TCGAFusion
ACER3--NARS2	pancanfus.txt	TCGAFusion
ACER3--NRL	pancanfus.txt	TCGAFusion
ACER3--PPME1	pancanfus.txt	TCGAFusion
ACER3--THRSP	pancanfus.txt	TCGAFusion
ACER3--UVRAG	pancanfus.txt	TCGAFusion
ACIN1--KIAA1598	pancanfus.txt	TCGAFusion
ACLY--DNAJC7	pancanfus.txt	TCGAFusion
ACLY--DNAJC7	pancanfus.txt	TCGAFusion
ACLY--NEUROD2	pancanfus.txt	TCGAFusion
ACLY--TAF15	pancanfus.txt	TCGAFusion
ACLY--WEE1	pancanfus.txt	TCGAFusion
ACO1--TYRP1	pancanfus.txt	TCGAFusion
ACO2--AHRR	pancanfus.txt	TCGAFusion
ACO2--ARHGAP8	pancanfus.txt	TCGAFusion
ACO2--C22orf25	pancanfus.txt	TCGAFusion
ACO2--PRR5	pancanfus.txt	TCGAFusion
ACO2--RASGEF1C	pancanfus.txt	TCGAFusion
ACO2--ZC3H7B	pancanfus.txt	TCGAFusion
ACO2--ZC3H7B	pancanfus.txt	TCGAFusion
ACOT11--C8B	pancanfus.txt	TCGAFusion
ACOT12--SSBP2	pancanfus.txt	TCGAFusion
ACOT2--ZNF320	pancanfus.txt	TCGAFusion
ACOT7--DNAJC11	pancanfus.txt	TCGAFusion
ACOT7--FUCA1	pancanfus.txt	TCGAFusion
ACOT7--KLHL21	pancanfus.txt	TCGAFusion
ACOT7--MIB2	pancanfus.txt	TCGAFusion
ACOT7--NSMCE2	pancanfus.txt	TCGAFusion
ACOT7--PLEKHG5	pancanfus.txt	TCGAFusion
ACOT9--APOO	pancanfus.txt	TCGAFusion
ACOT9--APOO	pancanfus.txt	TCGAFusion
ACOT9--APOO	pancanfus.txt	TCGAFusion
ACOT9--APOO	pancanfus.txt	TCGAFusion
ACOX1--SRP68	pancanfus.txt	TCGAFusion
ACOX1--SRP68	pancanfus.txt	TCGAFusion
ACOX1--SRP68	pancanfus.txt	TCGAFusion
ACOX1--SRP68	pancanfus.txt	TCGAFusion
ACOX3--STAT1	pancanfus.txt	TCGAFusion
ACOXL--UNC5D	pancanfus.txt	TCGAFusion
ACP2--CD74	pancanfus.txt	TCGAFusion
ACP2--MRPL48	pancanfus.txt	TCGAFusion
ACP5--GTF2F1	pancanfus.txt	TCGAFusion
ACP6--INTS7	pancanfus.txt	TCGAFusion
ACP6--PIAS3	pancanfus.txt	TCGAFusion
ACPP--ATP2C1	pancanfus.txt	TCGAFusion
ACPP--OGT	pancanfus.txt	TCGAFusion
ACPP--SAFB2	pancanfus.txt	TCGAFusion
ACPP--STAT6	pancanfus.txt	TCGAFusion
ACPP--ZNF462	pancanfus.txt	TCGAFusion
ACPP--ZNF462	pancanfus.txt	TCGAFusion
ACSF2--SPAG9	pancanfus.txt	TCGAFusion
ACSF3--MYH7B	pancanfus.txt	TCGAFusion
ACSF3--ZNF483	pancanfus.txt	TCGAFusion
ACSL3--MOGAT1	pancanfus.txt	TCGAFusion
ACSL3--PHGDH	pancanfus.txt	TCGAFusion
ACSL3--SGPP2	pancanfus.txt	TCGAFusion
ACSL3--SGPP2	pancanfus.txt	TCGAFusion
ACSL3--SMARCAL1	pancanfus.txt	TCGAFusion
ACSL6--CDS2	pancanfus.txt	TCGAFusion
ACSM1--DNAH3	pancanfus.txt	TCGAFusion
ACSS1--CDH4	pancanfus.txt	TCGAFusion
ACSS1--DBNDD2	pancanfus.txt	TCGAFusion
ACSS1--ZFAND3	pancanfus.txt	TCGAFusion
ACSS2--GSS	pancanfus.txt	TCGAFusion
ACSS3--AVIL	pancanfus.txt	TCGAFusion
ACSS3--CYP39A1	pancanfus.txt	TCGAFusion
ACSS3--INSR	pancanfus.txt	TCGAFusion
ACSS3--STAU2	pancanfus.txt	TCGAFusion
ACTA2--COL6A1	pancanfus.txt	TCGAFusion
ACTB--AHSG	pancanfus.txt	TCGAFusion
ACTB--CDC5L	pancanfus.txt	TCGAFusion
ACTB--CELA3A	pancanfus.txt	TCGAFusion
ACTB--CELA3A	pancanfus.txt	TCGAFusion
ACTB--COL17A1	pancanfus.txt	TCGAFusion
ACTB--CSE1L	pancanfus.txt	TCGAFusion
ACTB--EML2	pancanfus.txt	TCGAFusion
ACTB--GLTSCR2	pancanfus.txt	TCGAFusion
ACTB--GNB2L1	pancanfus.txt	TCGAFusion
ACTB--GNB2L1	pancanfus.txt	TCGAFusion
ACTB--GNB2L1	pancanfus.txt	TCGAFusion
ACTB--HLA-DQB1	pancanfus.txt	TCGAFusion
ACTB--KIAA0182	pancanfus.txt	TCGAFusion
ACTB--PMP2	pancanfus.txt	TCGAFusion
ACTB--SAFB	pancanfus.txt	TCGAFusion
ACTB--SEPP1	pancanfus.txt	TCGAFusion
ACTB--TM4SF4	pancanfus.txt	TCGAFusion
ACTB--TM4SF4	pancanfus.txt	TCGAFusion
ACTB--YWHAE	pancanfus.txt	TCGAFusion
ACTB--YWHAE	pancanfus.txt	TCGAFusion
ACTG1--ANKS1A	pancanfus.txt	TCGAFusion
ACTG1--ANKS1A	pancanfus.txt	TCGAFusion
ACTG1--ANKS1A	pancanfus.txt	TCGAFusion
ACTG1--CCT5	pancanfus.txt	TCGAFusion
ACTG1--CLCN3	pancanfus.txt	TCGAFusion
ACTG1--CLCN3	pancanfus.txt	TCGAFusion
ACTG1--CXCR5	pancanfus.txt	TCGAFusion
ACTG1--DDX21	pancanfus.txt	TCGAFusion
ACTG1--PLEKHA5	pancanfus.txt	TCGAFusion
ACTG1--STAT6	pancanfus.txt	TCGAFusion
ACTG1--STAT6	pancanfus.txt	TCGAFusion
ACTG1--THSD4	pancanfus.txt	TCGAFusion
ACTG1--USP7	pancanfus.txt	TCGAFusion
ACTG1--ZNF827	pancanfus.txt	TCGAFusion
ACTG2--ALK	pancanfus.txt	TCGAFusion
ACTL6A--ALG3	pancanfus.txt	TCGAFusion
ACTL8--ACOX1	pancanfus.txt	TCGAFusion
ACTN1--DCAF5	pancanfus.txt	TCGAFusion
ACTN1--SCGN	pancanfus.txt	TCGAFusion
ACTN2--CHRM3	pancanfus.txt	TCGAFusion
ACTN4--CATSPERG	pancanfus.txt	TCGAFusion
ACTN4--EIF3K	pancanfus.txt	TCGAFusion
ACTN4--EIF3K	pancanfus.txt	TCGAFusion
ACTN4--EIF3K	pancanfus.txt	TCGAFusion
ACTN4--EIF3K	pancanfus.txt	TCGAFusion
ACTN4--MGST2	pancanfus.txt	TCGAFusion
ACTN4--RYR1	pancanfus.txt	TCGAFusion
ACTN4--TXNDC12	pancanfus.txt	TCGAFusion
ACTN4--YIF1B	pancanfus.txt	TCGAFusion
ACTR10--MKX	pancanfus.txt	TCGAFusion
ACTR1A--ARMC4	pancanfus.txt	TCGAFusion
ACTR1A--C17orf57	pancanfus.txt	TCGAFusion
ACTR1A--OBFC1	pancanfus.txt	TCGAFusion
ACTR2--TSGA10	pancanfus.txt	TCGAFusion
ACTR5--RPRD1B	pancanfus.txt	TCGAFusion
ACVR1--CCDC148	pancanfus.txt	TCGAFusion
ACVR1--CCDC148	pancanfus.txt	TCGAFusion
