filename	kit_name	kit_url
C494.TCGA-DB-A75L-10A-01D-A329-08.1_gdc_realn.bam	Custom V2 Exome Bait, 48 RXN X 16 tubes	https://bitbucket.org/cghub/cghub-capture-kit-info/raw/c38c4b9cb500b724de46546fd52f8d532fd9eba9/BI/vendor/Agilent/whole_exome_agilent_1.1_refseq_plus_3_boosters.targetIntervals.bed
C494.TCGA-HT-7881-10A-01D-2396-08.1_gdc_realn.bam	Custom V2 Exome Bait, 48 RXN X 16 tubes	https://bitbucket.org/cghub/cghub-capture-kit-info/raw/c38c4b9cb500b724de46546fd52f8d532fd9eba9/BI/vendor/Agilent/whole_exome_agilent_1.1_refseq_plus_3_boosters.targetIntervals.bed
C484.TCGA-06-0646-10A-01D-1492-08.5_gdc_realn.bam	Custom V2 Exome Bait, 48 RXN X 16 tubes	https://bitbucket.org/cghub/cghub-capture-kit-info/raw/c38c4b9cb500b724de46546fd52f8d532fd9eba9/BI/vendor/Agilent/whole_exome_agilent_1.1_refseq_plus_3_boosters.targetIntervals.bed
C484.TCGA-14-1450-10B-01D-1845-08.2_gdc_realn.bam	Custom V2 Exome Bait, 48 RXN X 16 tubes	https://bitbucket.org/cghub/cghub-capture-kit-info/raw/c38c4b9cb500b724de46546fd52f8d532fd9eba9/BI/vendor/Agilent/whole_exome_agilent_1.1_refseq_plus_3_boosters.targetIntervals.bed
C1663.TCGA-WB-A821-10A-01D-A35G-08.1_gdc_realn.bam	Custom V2 Exome Bait, 48 RXN X 16 tubes	https://bitbucket.org/cghub/cghub-capture-kit-info/raw/c38c4b9cb500b724de46546fd52f8d532fd9eba9/BI/vendor/Agilent/whole_exome_agilent_1.1_refseq_plus_3_boosters.targetIntervals.bed
C1663.TCGA-QR-A6H1-10A-01D-A35B-08.1_gdc_realn.bam	Custom V2 Exome Bait, 48 RXN X 16 tubes	https://bitbucket.org/cghub/cghub-capture-kit-info/raw/c38c4b9cb500b724de46546fd52f8d532fd9eba9/BI/vendor/Agilent/whole_exome_agilent_1.1_refseq_plus_3_boosters.targetIntervals.bed
C494.TCGA-CS-4938-10A-01D-1893-08.6_gdc_realn.bam	Custom V2 Exome Bait, 48 RXN X 16 tubes	https://bitbucket.org/cghub/cghub-capture-kit-info/raw/c38c4b9cb500b724de46546fd52f8d532fd9eba9/BI/vendor/Agilent/whole_exome_agilent_1.1_refseq_plus_3_boosters.targetIntervals.bed
C494.TCGA-TM-A84J-10A-01D-A367-08.2_gdc_realn.bam	Custom V2 Exome Bait, 48 RXN X 16 tubes	https://bitbucket.org/cghub/cghub-capture-kit-info/raw/c38c4b9cb500b724de46546fd52f8d532fd9eba9/BI/vendor/Agilent/whole_exome_agilent_1.1_refseq_plus_3_boosters.targetIntervals.bed
C494.TCGA-HW-7490-10A-01D-2024-08.1_gdc_realn.bam	Custom V2 Exome Bait, 48 RXN X 16 tubes	https://bitbucket.org/cghub/cghub-capture-kit-info/raw/c38c4b9cb500b724de46546fd52f8d532fd9eba9/BI/vendor/Agilent/whole_exome_agilent_1.1_refseq_plus_3_boosters.targetIntervals.bed
C494.TCGA-CS-6668-10A-01D-1893-08.6_gdc_realn.bam	Custom V2 Exome Bait, 48 RXN X 16 tubes	https://bitbucket.org/cghub/cghub-capture-kit-info/raw/c38c4b9cb500b724de46546fd52f8d532fd9eba9/BI/vendor/Agilent/whole_exome_agilent_1.1_refseq_plus_3_boosters.targetIntervals.bed
