sample_id	frac_unmapped_of_total	frac_multi_mapped_of_mapped	frac_dupe_of_mapped	frac_non_exonic_of_non_dupe	MEND_depth_bin	summary_flag_status
BS_KSKZ9J7J						not flagged
BS_KVAJYZ6F						not flagged
BS_KVNGNETA						not flagged
BS_KVV7001W						not flagged
BS_KX6J8TRK						not flagged
BS_KXCY5BN5						not flagged
BS_KXH37MPN						not flagged
BS_KXMYBQ6N						not flagged
BS_KYF0Q0E7						not flagged
BS_KZPR01BD						not flagged
BS_M026T44Q						not flagged
BS_M0QYNVK8						not flagged
BS_M15PW2N0						not flagged
BS_M1PVEHCM						not flagged
BS_M1T1K5WV						not flagged
BS_M4923M40		above_limit				MM
BS_M4NVX721						not flagged
BS_M4TTKPNR						not flagged
BS_M7HCF7DW						not flagged
BS_M7QJ8VF0						not flagged
BS_M84H3KXA						not flagged
BS_M85CXHDV						not flagged
BS_M86ECPHK						not flagged
BS_M8EA6R2A						not flagged
BS_M8M56Z4Y						not flagged
BS_M8WP5T16						not flagged
BS_M9C4RY4P						not flagged
BS_MA1A3GY0						not flagged
BS_MA2T7ET1	above_limit	above_limit				NM, MM
BS_MB7WN0ZB						not flagged
BS_MBSTWZA6						not flagged
BS_MD3DT41J						not flagged
BS_MDBT7S5Z						not flagged
BS_ME3HKN2C						not flagged
BS_MF47B9ZW						not flagged
BS_MF9X3PKH						not flagged
BS_MGAMKKBD						not flagged
BS_MKM0EEN1						not flagged
BS_MKP2Y41Z						not flagged
BS_MM20BVW9						not flagged
BS_MMNRZ1EQ						not flagged
BS_MN5XVP5A						not flagged
BS_MQCKXD60					10-20 MEND_reads	10-20M
BS_MT15SGJN					10-20 MEND_reads	10-20M
BS_MV6ASWV9						not flagged
BS_MVW01FPB						not flagged
BS_MWWZBQ60						not flagged
BS_MX23ZY0Y						not flagged
BS_MY9D8XZ1						not flagged
BS_N0877CX1				above_limit		NE
BS_N1E0H8YQ						not flagged
BS_N210XMKR						not flagged
BS_N4B1SZZH						not flagged
BS_N5B2CZMH	above_limit		above_limit			NM, D
BS_N5DVEJXT						not flagged
BS_N6N147BY						not flagged
BS_N6NE6B3W						not flagged
BS_N8J1DP02						not flagged
BS_NB42PWZN						not flagged
BS_NB5XWMJT						not flagged
BS_NDC69214			above_limit		10-20 MEND_reads	D, 10-20M
BS_NDFDQBCZ						not flagged
BS_NDN62H0S						not flagged
BS_NDRDM2A9						not flagged
BS_NFRXNAFE						not flagged
BS_NGHK9RZP						not flagged
BS_NGY0TE6S						not flagged
BS_NH7K4CD9				above_limit		NE
BS_NJ4WPQVK	above_limit					NM
BS_NKEAAFMW						not flagged
BS_NKRYMHEP						not flagged
BS_NNPEC7W1						not flagged
BS_NPQJ20KX						not flagged
BS_NQB91P48						not flagged
BS_NQFH3GZH						not flagged
BS_NR3P3GN2						not flagged
BS_NR9FRY5T						not flagged
BS_NRFQEQKP						not flagged
BS_NRPG5K4K						not flagged
BS_NS7GSHB9						not flagged
BS_NT9NZYFD						not flagged
BS_NVKGSMXS						not flagged
BS_NYS8TRCB						not flagged
BS_NZ71XCG3						not flagged
BS_P0QF87WC						not flagged
BS_P0W5VJH4	above_limit	above_limit	above_limit		10-20 MEND_reads	NM, MM, D, 10-20M
BS_P277RYX5						not flagged
BS_P39SQPTS						not flagged
BS_P44PE00R						not flagged
BS_P4D8Y3S8						not flagged
BS_P4NX9MPA						not flagged
BS_P78SMRBS						not flagged
BS_P7EY9DXG						not flagged
BS_P9JP6JFA						not flagged
BS_PEP9NZXN						not flagged
BS_PGHK1JRW						not flagged
BS_PGK832G2						not flagged
BS_PJPGVD62	above_limit	above_limit				NM, MM
BS_PK18H7E7						not flagged
BS_PKK3BZRG				above_limit		NE
BS_PKW05VZV						not flagged
BS_PN2CE34A				above_limit		NE
BS_PNYN0AYD						not flagged
BS_PQ6QEVE8						not flagged
BS_PQ7CQFYR						not flagged
BS_PQVTB6BB						not flagged
BS_PRAEF32W						not flagged
BS_PRR8K9GE						not flagged
BS_PSNBFWQV						not flagged
BS_PSW27ZTE						not flagged
BS_PZVHMSYN						not flagged
BS_Q13FQ8FV			below_limit	above_limit	<10M_MEND_reads	D, NE, <10M
BS_Q2T9ZRM0						not flagged
BS_Q3TBCK4V						not flagged
BS_Q5WZYWCT						not flagged
BS_Q79NP5YY						not flagged
BS_Q9V7A95C						not flagged
BS_QAG1RDXN						not flagged
BS_QB7YGKN1						not flagged
BS_QB84TBA3				above_limit		NE
BS_QBR4WCQ2					10-20 MEND_reads	10-20M
BS_QC3XCE6X						not flagged
BS_QEYPFYHD						not flagged
BS_QF5VVZX5						not flagged
BS_QH82PBMB						not flagged
BS_QHS3V0GP						not flagged
BS_QNAQGAV6						not flagged
BS_QP6MSKRE						not flagged
BS_QPPPGYP4						not flagged
BS_QRDT19KS						not flagged
BS_QRNSKFMS						not flagged
BS_QSTAVWGE						not flagged
BS_QT3NZ2YZ						not flagged
BS_QTSXW7DA						not flagged
BS_QV51J756						not flagged
BS_QW60M0FE						not flagged
BS_QWNBZ9RJ						not flagged
BS_QWTE1CWR						not flagged
BS_QX12J6W1						not flagged
BS_QXKRN6CR						not flagged
BS_QYPHA40N						not flagged
BS_QZFEB94Q						not flagged
BS_R13X6TMW						not flagged
BS_R244Z0WX	above_limit					NM
BS_R439VVPK						not flagged
BS_R4Y180DM		above_limit				MM
BS_R5SNFB5B						not flagged
BS_R634WKN7						not flagged
BS_R6WNEEE4						not flagged
BS_R7HZCZ8B						not flagged
BS_RB2S0KDF						not flagged
BS_RCC8BXVE						not flagged
BS_RCCN63K6						not flagged
BS_RCFQ31XF						not flagged
BS_RD4D5F9F						not flagged
BS_RFMQ7T0T						not flagged
BS_RGPSEMHC						not flagged
BS_RGSMX7QD						not flagged
BS_RHD7XPNP						not flagged
BS_RQSKD7PN						not flagged
BS_RR12T74P						not flagged
BS_RRAEQZ97						not flagged
BS_RSRPX3S8						not flagged
BS_RVSEDNJ4						not flagged
BS_RWJZFTP9						not flagged
BS_RXN5T5YT						not flagged
BS_S0175QKX						not flagged
BS_S1KK7XRH						not flagged
BS_S1M423AB						not flagged
BS_S2TA8R29						not flagged
BS_S458NMKH						not flagged
BS_S4V9E1XJ						not flagged
BS_S50KQEXV	above_limit	above_limit				NM, MM
BS_S5P8VTN5						not flagged
BS_S69QZAJR						not flagged
BS_S6NJRR5W			above_limit			D
BS_S6S7SK3P						not flagged
BS_S71RJ8DH						not flagged
BS_S7CZY2CH						not flagged
BS_S9929Z8B						not flagged
BS_SAA624A4	above_limit	above_limit	above_limit		<10M_MEND_reads	NM, MM, D, <10M
BS_SBFNFZ8B						not flagged
BS_SD8YBRBR						not flagged
BS_SDA4RMMG						not flagged
BS_SDCNP7MW						not flagged
BS_SDZY6RZ3						not flagged
BS_SES41DAX						not flagged
BS_SFKZSJN1						not flagged
BS_SFRQXM76	above_limit	above_limit			10-20 MEND_reads	NM, MM, 10-20M
BS_SHMC4902						not flagged
BS_SKGJ5SY9						not flagged
BS_SM8VQFPD						not flagged
BS_SQX5E15Z						not flagged
BS_SXCZ3CXN						not flagged
BS_SXRS2P6T						not flagged
BS_T0RKFEKR						not flagged
BS_T1DVKKJB						not flagged
BS_T1QMEH1N	above_limit	above_limit	above_limit			NM, MM, D
BS_T1W4JA94						not flagged
BS_T1YHK6B7						not flagged
BS_T2QPMZCM						not flagged
BS_T3H5AY8A		above_limit				MM
BS_T4JFN54G						not flagged
