strata	median	lower	upper
pheno_0.5=tp53_high telomerase_high	2261	1219	NA
pheno_0.5=tp53_high telomerase_low	NA	NA	NA
pheno_0.5=tp53_low telomerase_high	2066	1747	NA
pheno_0.5=tp53_low telomerase_low	NA	7609	NA
