factor.id	factor.name	factor.value	HR	Lower_CI	Upper_CI	Inv_HR	Inv_Lower_CI	Inv_Upper_CI	p
telomerase_score	Telomerase activity	<continuous>	0.9970601731019603	0.6087635148084144	1.6330298459147572	1.0029484949628402	0.6123586794825788	1.6426740034095384	0.9906683910549341
tp53_score	TP53 score	<continuous>	1.437649459207871	0.9537885519226212	2.1669750212396783	0.6955798533468576	0.46147278588745444	1.048450411764984	0.08292420478704755
hgg_group:HGAT	hgg_group	HGAT	2.7397539187211284	1.9838315404564584	3.7837141824152423	0.3649962842162056	0.2642905758176677	0.5040750585959082	9.4275361733132e-10
