strata	median	lower	upper
pheno_extremes=tp53_high telomerase_high	2276	1317	NA
pheno_extremes=tp53_high telomerase_low	3748	NA	NA
pheno_extremes=tp53_low telomerase_high	2066	991	NA
pheno_extremes=tp53_low telomerase_low	NA	5890	NA
