term	estimate	std.error	statistic	p.value	conf.low	conf.high
B_cell	206.64889770582167	107.35057272527092	1.9249911058665023	0.054230470951216914	-3.7543585554571166	417.0521539671005
Macrophage_M1	46.307017165943385	27.192878943239624	1.7029096942107962	0.08858496956978158	-6.990046198763871	99.60408053065063
Macrophage_M2	-132.85190180526286	51.385667225110176	-2.585388280028858	0.009726938986231436	-233.56595888803903	-32.137844722486676
Monocyte	-50.397692945796734	17.85270598580994	-2.822972214176096	0.004758069507761332	-85.38835370456685	-15.407032187026616
Neutrophil	-10347.52003721321	1111457.5905976265	-0.009309864923995334	0.9925719098173399	-Inf	Inf
NK_cell	-183.2456899856075	62.288820471873976	-2.941871247479323	0.003262355363549883	-305.3295347499617	-61.161845221253316
T_cell_CD4_non_regulatory	-88.3374969330973	227.589390533877	-0.38814417810020074	0.6979093403402372	-534.4045056429172	357.7295117767227
T_cell_CD8	-1904520.3249290492	51170937.792352125	-0.037218788771420444	0.9703105577174788	-Inf	Inf
T_cell_regulatory_Tregs	-935.6637267247957	289.60733749064127	-3.230801176627757	0.0012344377568915242	-Inf	-368.0437755846024
Myeloid_dendritic_cell	7.870835222963207	10.301334142949953	0.7640597920367299	0.44483161180386066	-12.31940868993148	28.061079135857895
CD274	0.5555114590148297	0.21012880747196402	2.6436711162935027	0.00820123000040796	0.14366656425542923	0.96735635377423
