term	estimate	std.error	statistic	p.value	conf.low	conf.high
cancer_group_over10Choroid plexus papilloma	-19.839907137905822	6477.229928454308	-0.0030630234462960177	0.9975560647043699	-Inf	Inf
cancer_group_over10Craniopharyngioma	-3.2010786667879696	1.0073166294024436	-3.1778276793533142	0.001483829121065738	-5.17538298144504	-1.2267743521308998
cancer_group_over10Diffuse midline glioma	1.3475963229724346	0.32964839516243677	4.08798083882191	4.3514408455832454e-5	0.7014973408926309	1.9936953050522384
cancer_group_over10Dysembryoplastic neuroepithelial tumor	-20.188509129163627	8876.228411896318	-0.002274446779907791	0.9981852555945887	-Inf	Inf
cancer_group_over10Ependymoma	-2.1748117243474043	0.3731455201311695	-5.828320606885235	5.5987938535643906e-9	-2.906163504796962	-1.4434599438978466
cancer_group_over10Ganglioglioma	-19.764834942088072	3428.2801512914793	-0.0057652333152068665	0.9954000348305929	-Inf	Inf
cancer_group_over10High-grade glioma astrocytoma	0.24603188354913544	0.24069325497518204	1.0221802167846534	0.30669561230097636	-0.2257182275239374	0.7177819946222083
cancer_group_over10Low-grade glioma astrocytoma	-5.165991981518987	1.0063036944040429	-5.133631139631671	2.8420483910926354e-7	-7.138310980060512	-3.1936729829774624
cancer_group_over10Medulloblastoma	-1.320750854184131	0.23803329356013114	-5.548597149711276	2.8797085487176466e-8	-1.787287536683438	-0.854214171684824
cancer_group_over10Meningioma	-19.41313416015355	3350.4452622638128	-0.005794195290639244	0.9953769269035104	-Inf	Inf
cancer_group_over10Schwannoma	-20.02035096973531	2144.1049315863174	-0.00933739327530171	0.9925499463255134	-Inf	Inf
