term	estimate	std.error	statistic	p.value	conf.low	conf.high
B_cell	15.27616291911634	40.2264498724143	0.3797541907766543	0.7041278897656076	-63.56623005672153	94.11855589495421
Macrophage_M1	-10.716642088674316	35.93121277220047	-0.29825439393366787	0.7655090094177506	-81.14052504303281	59.70724086568417
Macrophage_M2	-85.4281095938631	39.496142748001645	-2.1629481678482496	0.03054516642399649	-162.83912690819915	-8.017092279527049
Monocyte	-24.507975368345026	12.25697808215412	-1.9995120497137935	0.045552979427767114	-48.53121096866392	-0.484739768026131
Neutrophil	560.0169885505119	232.56875146659286	2.4079631722620096	0.0160417991540632	104.19061174654308	Inf
NK_cell	81.63665599160252	25.09025205135386	3.2537200433264455	0.0011390447174075278	32.46066560791676	130.8126463752883
T_cell_CD4_non_regulatory	-25.423377063877886	18.305292680645824	-1.38885389637927	0.16487718230520573	-61.30109144440836	10.454337316652584
T_cell_CD8	-3502.8967981399855	2227.3831525282976	-1.5726512046945562	0.11579960421415443	-Inf	Inf
T_cell_regulatory_Tregs	-40.87222057435141	81.85799773742913	-0.49930638061114957	0.6175635607868617	-201.3109479862737	119.56650683757087
Myeloid_dendritic_cell	-14.113422612689458	12.663406270961008	-1.1145044477530144	0.26506283742122894	-38.9332428253717	10.706397599992783
CD274	-0.021843145144153395	0.24946169036732802	-0.08756112055518321	0.9302255047450385	-0.5107790737865987	0.46709278349829186
