term	estimate	std.error	statistic	p.value	conf.low	conf.high
B_cell	35.9896382936587	63.07366579874499	0.5705969018590767	0.5682729191143698	-87.63247504479723	159.61175163211465
Macrophage_M1	720.3640205788186	246.58088842645483	2.9214105974546123	0.003484502663339618	237.07435998707774	Inf
Macrophage_M2	99.45711825405917	150.96564344766207	0.6588063083938679	0.5100201558496088	-196.43010580627364	395.34434231439195
Monocyte	41.545397409824616	14.73380553946176	2.8197329806310383	0.004806362597045803	12.667669197262828	70.42312562238641
Neutrophil	-1.4164376362249027	131.35701255636747	-0.010783113962926692	0.9913964865816306	-258.87145136348073	256.03857609103096
NK_cell	-24.968171385672143	41.62782512208089	-0.5997952406220745	0.5486427056068774	-106.55720937968235	56.62086660833807
T_cell_CD4_non_regulatory	54.3004421947889	32.88931832371019	1.651005401216943	0.09873747201322385	-10.16143719575632	118.76232158533412
T_cell_CD8	56.9389651364278	171.06697685307728	0.3328460360022054	0.7392505059008969	-278.34614843975066	392.22407871260623
T_cell_regulatory_Tregs	-8.042574241578643	186.2668615342389	-0.043177697714632327	0.9655598831510819	-373.11891436199596	357.0337658788387
Myeloid_dendritic_cell	5.95691446348007	22.37827168291986	0.26619189130797194	0.7900914276119388	-37.90369207129539	49.817520998255524
CD274	-5.969953072828735	2.3570260826382263	-2.5328328425396758	0.011314489421996598	-10.589639305421187	-1.3502668402362836
