strata	median	lower	upper
pheno_strict=tp53 tel mid	7024	4343	NA
pheno_strict=tp53_high telomerase_high	2276	1317	NA
pheno_strict=tp53_high telomerase_low	3748	NA	NA
pheno_strict=tp53_low telomerase_high	2066	991	NA
pheno_strict=tp53_low telomerase_low	NA	5890	NA
pheno_strict=tp53_low telomerase_mid	NA	8881	NA
pheno_strict=tp53_mid telomerase_low	NA	NA	NA
