histology_color_key
#f23d3d
#731d1d
#b38686
#cc5c33
#331c0d
#ffb380
#b25f00
#f2d6b6
#736556
#ffaa00
#4c3d00
#e2f200
#919926
#d6f2b6
#304d26
#00f241
#009929
#698c7c
#39e6c3
#005359
#263233
#00c2f2
#40a6ff
#406280
#0044ff
#00144d
#acbbe6
#7373e6
#3d0099
#c200f2
#917399
#f1f1f1
#f279da
#cc0052
#994d6b
#4d2636
#ffbfd9
