color_names	hex_codes
divergent_low_5	#053061
divergent_low_4	#2166ac
divergent_low_3	#4393c3
divergent_low_2	#92c5de
divergent_low_1	#d1e5f0
divergent_neutral	#f7f7f7
divergent_high_1	#fddbc7
divergent_high_2	#f4a582
divergent_high_3	#d6604d
divergent_high_4	#b2182b
divergent_high_5	#67001f
na_color	#f1f1f1
