strata	median	lower	upper
pheno_strict=tp53_high telomerase_high	2681	1773	NA
pheno_strict=tp53_high telomerase_low	NA	NA	NA
pheno_strict=tp53_high telomerase_mid	547	389	1339
pheno_strict=tp53_low telomerase_high	2077	1125	NA
pheno_strict=tp53_low telomerase_low	NA	5890	NA
pheno_strict=tp53_low telomerase_mid	NA	NA	NA
pheno_strict=tp53_mid telomerase_high	2261	814	NA
pheno_strict=tp53_mid telomerase_low	NA	NA	NA
pheno_strict=tp53_mid telomerase_mid	7609	NA	NA
