Kids_First_Biospecimen_ID	sample_id	KIAA_BRAF_fus	MAPK_fus	RTK_fus	FGFR_fus	MYB_fus
BS_HX0S30NE	7316-1652	No	Yes	No	No	No
BS_ZRM0W01M	7316-470	No	No	No	No	No
BS_R244Z0WX	7316-1953	Yes	No	No	No	No
BS_RRAEQZ97	7316-207	No	No	Yes	No	No
BS_K2VYFVKZ	7316-462	Yes	No	No	No	No
BS_5K3R0F5D	7316-452	No	No	No	No	No
BS_2KJ2YAZR	7316-267	No	No	No	No	No
BS_DV86M0Y7	7316-3515	Yes	No	No	No	No
BS_5CMGN56B	7316-264	No	No	No	No	No
BS_JMHG7GCN	7316-1926	Yes	No	No	No	No
BS_HV8PFRBR	7316-175	No	No	No	No	No
BS_ZZWMD6FA	7316-2901	No	No	Yes	No	No
BS_YY5B2XDD	7316-460	Yes	No	No	No	No
BS_SXRS2P6T	7316-1978	Yes	No	No	No	No
BS_E3EJHXQV	7316-2581	No	No	No	No	No
BS_T55Y4Z0Y	7316-1095	No	No	No	No	No
BS_3P20Q2C3	7316-1088	No	No	No	No	No
BS_T3H5AY8A	7316-350	No	No	No	No	No
BS_T1W4JA94	7316-297	Yes	No	No	No	No
BS_AD4JPN9Q	7316-2306	No	No	No	No	No
BS_MY9D8XZ1	7316-554	No	Yes	No	No	No
BS_9SJWWYQ4	7316-1963	Yes	No	No	No	No
BS_X91K8KMG	7316-1659	No	No	No	No	No
BS_92VDQ0NE	7316-2760	No	No	No	No	No
BS_YCREDZTJ	7316-2075	No	No	No	No	No
BS_F4E8R9VY	7316-914	No	No	No	No	No
BS_0T17SY47	7316-183	No	No	No	No	No
BS_C51RB0YR	7316-1635	No	No	No	No	No
BS_EN2VK7NY	7316-2147	Yes	No	No	No	No
BS_GR46VD0Q	7316-2899	No	No	No	No	No
BS_VR7FR1NE	7316-1928	Yes	No	No	No	No
BS_Z7Y2466H	7316-1226	Yes	No	No	No	No
BS_2WPQ8YCW	7316-1803	Yes	No	No	No	No
BS_EYYMKWB7	7316-1087	No	No	No	No	No
BS_2R9TCR03	7316-2988	No	No	No	No	No
BS_JH29M4KG	7316-726	No	No	No	No	No
BS_SHMC4902	7316-400	Yes	No	No	No	No
BS_W97QQYKQ	7316-1071	Yes	No	No	No	No
BS_D8N31T39	7316-502	No	No	Yes	No	No
BS_B3M5SGPA	7316-1760	No	No	No	No	No
BS_42Y3YANN	7316-1710	Yes	No	No	No	No
BS_CVGFNCBJ	7316-97	No	No	No	No	No
BS_G9XE3N9T	7316-3575	No	No	No	No	No
BS_NQB91P48	7316-127	Yes	No	No	No	No
BS_8RCR7Y4B	7316-2632	No	No	No	No	No
BS_42DY6WS7	7316-3504	Yes	No	No	No	No
BS_02NZT8CE	7316-1745	No	No	No	No	No
BS_0WVJYM9R	7316-370	Yes	No	No	No	No
BS_66HQ3E4Z	7316-2291	Yes	No	No	No	No
BS_S4V9E1XJ	7316-2193	Yes	No	No	No	No
BS_N1E0H8YQ	7316-891	Yes	No	No	No	No
BS_66ABA973	7316-121	Yes	No	No	No	No
BS_9RT63JD9	7316-851	No	No	No	No	No
BS_VP5Y45Z7	7316-658	No	No	No	No	No
BS_0J9SHHSC	7316-1090	Yes	No	No	No	No
BS_WRQHPSXQ	7316-389	No	No	No	No	No
BS_V89HGTET	7316-2197	Yes	No	No	No	No
BS_3XY76V8T	7316-2575	No	No	No	No	No
BS_0X9EGHY2	7316-1744	No	No	No	No	No
BS_XGSA3GQE	7316-3062	Yes	No	No	No	No
BS_W3R88RFP	7316-173	No	No	No	No	No
BS_52426AMF	7316-925	Yes	No	No	No	No
BS_CGB2WS2A	7316-2099	Yes	No	No	No	No
BS_ZVZDDW2G	7316-2664	No	No	No	No	No
BS_CB6VK7PB	7316-1648	Yes	No	No	No	No
BS_PK18H7E7	7316-399	Yes	No	No	No	No
BS_NYS8TRCB	7316-397	No	No	No	No	No
BS_2ADZNNV4	7316-3076	Yes	No	No	No	No
BS_EYSS0ZDS	7316-2215	No	No	No	No	No
BS_YB2RXRHT	7316-3074	No	Yes	No	No	No
BS_9P9MB8X8	7316-499	No	No	No	No	No
BS_9F09XV62	7316-875	No	No	No	No	No
BS_Q79NP5YY	7316-733	Yes	No	No	No	No
BS_1NPD7PVG	7316-1940	No	No	No	No	No
BS_P277RYX5	7316-2680	No	No	No	No	No
BS_1TPWFSK6	7316-1957	No	No	No	No	No
BS_8SKZ7BRN	7316-93	No	No	No	No	No
BS_0SCXXM6N	7316-119	Yes	No	No	No	No
BS_478TN841	7316-230	No	No	No	No	No
BS_DMZP9G1H	7316-1636	No	No	No	No	No
BS_HC5M8JTC	7316-1084	No	No	No	No	No
BS_53GQKVEX	7316-487	Yes	No	No	No	No
BS_SFKZSJN1	7316-84	No	No	No	No	No
BS_4BWB0FA0	7316-3140	Yes	No	No	No	No
BS_EFEZB0ZH	7316-924	Yes	No	No	No	No
BS_0Y66ZBWE	7316-642	No	No	No	No	No
BS_9DZ253JY	7316-3061	No	No	No	No	No
BS_M8M56Z4Y	7316-393	Yes	No	No	No	No
BS_CTR5X93B	7316-2006	No	Yes	No	No	No
BS_BKQZ550R	7316-3065	No	No	Yes	No	No
BS_AG3D3435	7316-1658	No	No	No	No	No
BS_VP3C8WZT	7316-391	Yes	No	No	No	No
BS_7N0B2CY1	7316-1985	No	No	No	No	No
BS_X59HSFGG	7316-1767	No	No	No	No	No
BS_R13X6TMW	7316-2589	No	No	No	No	No
BS_GWCRMKE6	7316-882	No	No	No	No	No
BS_PN2CE34A	7316-2591	No	No	No	No	No
BS_E1CGF3KV	7316-176	No	No	No	No	Yes
BS_MF9X3PKH	7316-2572	Yes	No	No	No	No
BS_Z6BWR941	7316-1683	Yes	No	No	No	No
BS_CS170P7T	7316-265	No	No	No	No	No
BS_X16PENSA	7316-1942	Yes	No	No	No	No
BS_1RXZ3BP7	7316-898	No	No	No	No	No
BS_S1KK7XRH	7316-938	Yes	No	No	No	No
BS_MF47B9ZW	7316-1114	No	No	No	No	No
BS_N5B2CZMH	7316-2984	No	No	No	No	No
BS_S458NMKH	7316-442	No	No	Yes	No	No
BS_680K119G	7316-3067	No	No	No	No	No
BS_QV51J756	7316-101	No	No	No	No	No
BS_AVYNZHSB	7316-677	No	No	No	No	No
BS_YMAJC22S	7316-2753	No	No	No	No	No
BS_V7BJM89K	7316-217	No	No	No	No	No
BS_21RE8W46	7316-1949	Yes	No	No	No	No
BS_063ERW0R	7316-1646	Yes	No	No	No	No
BS_X0F9AYEC	7316-196	No	No	No	No	No
BS_V3REENH9	7316-2566	Yes	No	No	No	No
BS_BC936YNZ	7316-186	No	Yes	No	No	No
BS_06AMMCXR	7316-154	Yes	No	No	No	No
BS_5YJEPPTP	7316-954	Yes	No	No	No	No
BS_4GTESTSE	7316-319	No	No	No	No	No
BS_593HEWBF	7316-261	No	Yes	No	No	No
BS_3TQSE8HF	7316-290	No	No	No	No	No
BS_GTZCFGRZ	7316-3060	No	No	No	No	No
BS_B0SVFK4P	7316-136	No	No	No	No	No
BS_E0N3PTPN	7316-2990	No	No	No	No	No
BS_SDA4RMMG	7316-1134	Yes	No	No	No	No
BS_VMMJYN8Z	7316-1783	No	No	No	No	No
BS_9755PSCS	7316-2249	No	No	No	No	No
BS_TMTV769C	7316-449	No	No	No	No	No
BS_GHNJ4CYC	7316-2184	Yes	No	No	No	No
BS_5NWDARXG	7316-32	No	No	No	No	No
BS_6VF6VPCG	7316-2583	No	No	No	No	No
BS_4Y6BCYK5	7316-1958	Yes	No	No	No	No
