sample_id	Kids_First_Biospecimen_ID	1p	19q	7p	7q	10p	10q
7316-2857	BS_QWS88QXE	0	0	1	1	0	0
7316-3220	BS_8SYN7GXG	0	0	0	0	0	0
7316-2640	BS_VW4XN9Y7	0	0	0	0	0	0
7316-1708	BS_KYPMZZSY	0	0	0	0	0	0
7316-3224	BS_7GKF6M85	0	0	0	0	0	0
7316-3022	BS_79SYEHY3	0	0	0	0	0	0
7316-3303	BS_96S0VQBN	0	0	0	0	0	0
7316-325	BS_1YTHM07J	0	0	0	0	0	0
7316-409	BS_B9QP40ER	0	0	0	0	0	0
7316-2092	BS_M28HG0NT	0	0	0	0	0	0
7316-2100	BS_RG6JK7ZN	0	0	0	0	0	0
7316-2217	BS_EJV0N3BX	0	0	1	1	0	0
7316-2554	BS_8Q8N6AHW	0	0	0	0	0	0
7316-3625	BS_F064HMTP	0	0	0	0	0	0
7316-85	BS_CZRA594T	0	0	0	0	0	0
7316-85	BS_E42SSQGJ	0	0	0	0	0	0
7316-85	BS_ERAWW3H7	0	0	0	0	0	0
7316-2085	BS_8AY2GM4G	0	0	0	0	0	0
7316-515	BS_20TBZG09	0	0	0	0	0	0
7316-114	BS_3NX3RBCX	0	0	0	0	0	0
7316-466	BS_T7WMJ08W	0	0	0	0	0	0
7316-913	BS_742CDKAS	0	0	0	0	0	0
7316-913	BS_FJEZ3ASV	0	0	0	0	0	0
7316-913	BS_PKZ1HWNB	0	0	0	0	0	0
7316-388	BS_823V5X6Z	0	0	0	0	0	0
7316-1936	BS_QG6V29H7	0	0	0	0	0	0
7316-1937	BS_3E5C1PN1	0	0	0	0	0	0
7316-3769	BS_WJB33V17	0	0	0	0	0	0
7316-1102	BS_BFDEZK1C	0	0	1	1	0	0
7316-3521	BS_KAD49R68	0	0	0	0	0	0
7316-2980	BS_S0T3CQ97	0	0	0	0	0	0
7316-2610	BS_XGVSX8BX	0	0	0	0	0	0
7316-535	BS_MW63FCZC	1	0	0	0	0	0
7316-506	BS_G16NM5WJ	0	0	0	0	0	0
7316-2152	BS_KHSYAB3J	0	0	0	0	0	0
7316-2308	BS_JB3J82ZK	0	0	0	0	0	0
7316-903	BS_872Q3FK2	0	0	0	0	0	0
7316-1789	BS_X1DSETVE	0	0	0	0	0	0
7316-445	BS_G9MQM1KK	0	0	0	0	0	0
7316-2069	BS_QQP17PDQ	1	0	1	1	-1	-1
7316-2091	BS_RXSBJ929	1	0	1	1	-1	-1
7316-2737	BS_S791VC80	1	0	1	1	0	0
7316-158	BS_STNH7YSX	0	0	1	1	0	0
7316-3213	BS_3Z40EZHD	0	0	0	0	0	0
7316-3213	BS_JRFVST47	0	0	0	0	0	0
7316-2557	BS_YB99Q6TN	0	0	0	0	0	0
7316-3208	BS_DH86PF5A	2	0	0	0	0	0
7316-1746	BS_68TZMZH1	0	0	0	0	0	0
7316-1746	BS_AFBPM6CN	0	0	0	0	0	0
7316-3935	BS_WJF6ZXWN	0	0	0	0	0	0
7316-1085	BS_ZCY4ECNV	0	0	0	0	0	0
7316-3221	BS_FK3B5SDH	0	0	0	0	0	0
7316-644	BS_GKPVZXYP	0	0	1	1	0	0
7316-2151	BS_SKRY0BJ4	0	0	0	0	0	0
7316-2151	BS_TX8C5VAJ	0	0	0	0	0	0
7316-3817	BS_F8K4VQMF	0	0	1	1	0	0
7316-2594	BS_85Q5P8GF	0	0	0	0	0	0
7316-3058	BS_HM5GFJN8	0	0	0	0	-1	-1
7316-3058	BS_P0QJ1QAH	0	0	0	0	0	0
7316-3058	BS_QWM9BPDY	0	0	0	0	0	0
7316-1769	BS_KY1CTGJ3	0	0	0	0	0	0
7316-1769	BS_RXP2ZRQT	0	0	1	1	0	0
7316-392	BS_H0638GZT	0	0	0	0	0	0
7316-3214	BS_M0B42FPR	0	0	0	0	0	0
7316-3214	BS_M5FM63EB	0	0	0	0	0	0
7316-3237	BS_J8EK6RNF	0	0	0	0	0	0
7316-4447	BS_QZRP3NSG	0	0	0	0	0	0
7316-440	BS_R1G6SG0K	0	0	1	1	0	0
7316-3075	BS_NJFK43N3	0	0	0	0	0	0
7316-3223	BS_3VKW5988	0	0	0	0	0	0
7316-3223	BS_BQ81D2BP	0	0	0	0	0	0
7316-3230	BS_AF5D41PD	0	0	0	0	0	0
7316-3230	BS_EE73VE7V	0	0	0	0	0	0
7316-3230	BS_HYKV2TH9	0	0	0	0	0	0
7316-3030	BS_8FSJDG2T	0	0	0	0	0	0
7316-1774	BS_79NQJZ09	0	0	0	0	0	0
7316-3217	BS_0ATJ22QA	0	0	0	0	0	0
7316-3217	BS_H8NWA41N	0	0	0	0	0	0
7316-3231	BS_1Q524P3B	0	0	0	0	0	0
7316-3231	BS_22VCR7DF	0	0	0	0	0	0
7316-3231	BS_AK9BV52G	0	0	0	0	0	0
7316-3231	BS_D6STCMQS	0	0	0	0	0	0
7316-3231	BS_X5VN0FW0	0	0	0	0	0	0
7316-3231	BS_YHXMYDBN	0	0	0	0	0	0
7316-3234	BS_DVDT4VXQ	0	0	0	0	0	0
7316-3212	BS_CGXTFM67	0	0	0	0	0	0
7316-3222	BS_682Z7WH6	0	0	0	0	0	0
7316-3222	BS_R6CKWZW6	0	0	0	0	0	0
7316-2146	BS_D368BNRD	0	0	0	0	0	0
7316-2660	BS_00TRPEQX	0	0	0	0	0	0
7316-2751	BS_1M63B97V	0	0	0	0	0	0
7316-895	BS_BQWMQM2Y	0	0	0	0	0	0
7316-3227	BS_CBMAWSAR	1	0	1	1	0	0
7316-3227	BS_ZSH09N84	0	0	1	1	0	0
7316-3229	BS_Y74XAFJX	0	0	0	0	0	0
7316-2274	BS_HJ95JNFN	0	0	0	0	0	0
7316-1099	BS_EPM623G4	0	0	1	1	0	0
7316-89	BS_D6XHKZDZ	0	0	0	0	0	0
7316-3216	BS_1MME7FBS	0	0	0	0	0	0
7316-3228	BS_AHAXPFG3	0	0	0	0	0	0
7316-3228	BS_HEJ72V3F	0	0	0	0	0	0
7316-4448	BS_6JBE0947	0	0	0	0	0	0
7316-1956	BS_230S192D	0	0	0	0	0	0
7316-870	BS_KXGJ1HMG	0	0	0	0	-1	-1
7316-3765	BS_80078QDG	1	0	1	1	2	1
7316-116	BS_PPY0EWPG	0	0	0	0	0	0
7316-126	BS_C2NH5FDT	0	0	0	0	0	0
7316-3218	BS_7PF3C1P7	0	0	0	0	0	0
7316-2140	BS_EP25TTAG	0	0	0	0	0	0
7316-1946	BS_58X7SKJS	0	0	0	0	0	0
7316-3771	BS_1S5V7WWC	-1	0	0	0	0	0
7316-3206	BS_23ZE42Q3	0	0	0	0	0	0
7316-461	BS_P4K6WK9Y	0	0	0	0	0	0
7316-2561	BS_928HWFFM	0	0	0	0	0	0
7316-204	BS_SK4H5MJQ	0	0	0	0	0	0
7316-2307	BS_P3PF53V8	0	0	0	0	0	0
7316-3000	BS_ABZ3BK38	0	0	0	0	0	0
7316-1106	BS_J4E9SW51	0	0	0	0	0	0
7316-3215	BS_NNFDFAFM	0	0	0	0	1	1
7316-3240	BS_YZD4SSMA	0	0	0	0	1	1
7316-2176	BS_KSHETTQC	0	0	0	0	0	0
7316-2176	BS_M659G06J	0	0	0	0	0	0
7316-2756	BS_TRGECFNP	0	0	0	0	0	0
7316-3225	BS_Q6GVRAWK	1	0	0	0	0	0
7316-3235	BS_VXDGXQKZ	0	0	0	0	0	0
7316-2189	BS_02YBZSBY	0	0	0	0	0	0
7316-2189	BS_ERFMPQN3	0	0	0	0	0	0
7316-71	BS_MSB1RDAJ	0	0	0	0	0	0
7316-3219	BS_TQ0J7WJQ	0	0	0	0	0	0
7316-343	BS_C19DFVR5	0	0	0	0	0	0
7316-1105	BS_P8WN8XEQ	0	0	0	0	0	0
7316-195	BS_AYPBAHJ6	0	0	0	0	0	0
7316-195	BS_JGKRN7NA	0	0	0	0	0	0
7316-195	BS_XMP9XNR9	-1.293	0	0	0	0	0
7316-3122	BS_FKQ7F6D1	0	0	0	0	0	0
7316-2288	BS_M4E4H6NG	0	0	2	2	0	0
7316-1656	BS_3BMGF6GN	0	0	0	0	0	0
7316-161	BS_W2QCHQ7E	0	0	0	0	-1	-1
7316-1763	BS_853PNV7P	0	0	0	0	0	0
7316-1763	BS_TF5TTEXH	0	0	0	0	0	0
7316-1763	BS_WPCBK1EG	0	0	0	0	0	0
