cell_type	sample	score	type
B cell	BS_014EVM2D	0.01367052096754599	stranded
Macrophage M1	BS_014EVM2D	0.005914629168066425	stranded
Macrophage M2	BS_014EVM2D	0.02225827229619365	stranded
Monocyte	BS_014EVM2D	0.02653270537553633	stranded
Neutrophil	BS_014EVM2D	0	stranded
NK cell	BS_014EVM2D	0.01660831779378236	stranded
T cell CD4+ (non-regulatory)	BS_014EVM2D	0	stranded
T cell CD8+	BS_014EVM2D	0	stranded
T cell regulatory (Tregs)	BS_014EVM2D	0.0021159758593171877	stranded
Myeloid dendritic cell	BS_014EVM2D	0.045141997744990475	stranded
uncharacterized cell	BS_014EVM2D	0.8677575807945677	stranded
B cell	BS_02NZT8CE	0.010496690138154923	stranded
Macrophage M1	BS_02NZT8CE	0.018792566630170225	stranded
Macrophage M2	BS_02NZT8CE	0.020181169531162814	stranded
Monocyte	BS_02NZT8CE	0	stranded
Neutrophil	BS_02NZT8CE	0	stranded
NK cell	BS_02NZT8CE	0.008469572146013375	stranded
T cell CD4+ (non-regulatory)	BS_02NZT8CE	0	stranded
T cell CD8+	BS_02NZT8CE	0	stranded
T cell regulatory (Tregs)	BS_02NZT8CE	0	stranded
Myeloid dendritic cell	BS_02NZT8CE	0.04785982588153617	stranded
uncharacterized cell	BS_02NZT8CE	0.8942001756729625	stranded
B cell	BS_03FT4S8B	0.007144147548280339	stranded
Macrophage M1	BS_03FT4S8B	0.005903700403567064	stranded
Macrophage M2	BS_03FT4S8B	0.008527369710906483	stranded
Monocyte	BS_03FT4S8B	0	stranded
Neutrophil	BS_03FT4S8B	0.01706142544811592	stranded
NK cell	BS_03FT4S8B	0.00473441326821391	stranded
T cell CD4+ (non-regulatory)	BS_03FT4S8B	2.183060845752331e-4	stranded
T cell CD8+	BS_03FT4S8B	3.312050183096173e-4	stranded
T cell regulatory (Tregs)	BS_03FT4S8B	0.004147775603154819	stranded
Myeloid dendritic cell	BS_03FT4S8B	0.004402641526085279	stranded
uncharacterized cell	BS_03FT4S8B	0.9475290153887914	stranded
B cell	BS_0448A413	0.003227821656366993	stranded
Macrophage M1	BS_0448A413	0	stranded
Macrophage M2	BS_0448A413	0.0015584633285058932	stranded
Monocyte	BS_0448A413	0.01537606422410113	stranded
Neutrophil	BS_0448A413	0	stranded
NK cell	BS_0448A413	0.010149268952907723	stranded
T cell CD4+ (non-regulatory)	BS_0448A413	0	stranded
T cell CD8+	BS_0448A413	3.382089109801349e-4	stranded
T cell regulatory (Tregs)	BS_0448A413	0	stranded
Myeloid dendritic cell	BS_0448A413	0.03728537850756982	stranded
uncharacterized cell	BS_0448A413	0.9320647944195684	stranded
B cell	BS_044XZ8ST	0.009561421774423566	stranded
Macrophage M1	BS_044XZ8ST	0.0015322219002268944	stranded
Macrophage M2	BS_044XZ8ST	0.006319467118186047	stranded
Monocyte	BS_044XZ8ST	0.025008427067244873	stranded
Neutrophil	BS_044XZ8ST	0	stranded
NK cell	BS_044XZ8ST	0.02045147736166173	stranded
T cell CD4+ (non-regulatory)	BS_044XZ8ST	0	stranded
T cell CD8+	BS_044XZ8ST	0	stranded
T cell regulatory (Tregs)	BS_044XZ8ST	0	stranded
Myeloid dendritic cell	BS_044XZ8ST	0.05026790346247739	stranded
uncharacterized cell	BS_044XZ8ST	0.8868590813157795	stranded
B cell	BS_052PZFMK	0.008668082235809059	stranded
Macrophage M1	BS_052PZFMK	0	stranded
Macrophage M2	BS_052PZFMK	0	stranded
Monocyte	BS_052PZFMK	0.015190607889896507	stranded
Neutrophil	BS_052PZFMK	0	stranded
NK cell	BS_052PZFMK	0.011297568895199658	stranded
T cell CD4+ (non-regulatory)	BS_052PZFMK	0.01552804261866478	stranded
T cell CD8+	BS_052PZFMK	0	stranded
T cell regulatory (Tregs)	BS_052PZFMK	0.005283950790971854	stranded
Myeloid dendritic cell	BS_052PZFMK	0.014462202608118313	stranded
uncharacterized cell	BS_052PZFMK	0.9295695449613398	stranded
B cell	BS_063ERW0R	0.010055792430643746	stranded
Macrophage M1	BS_063ERW0R	0	stranded
Macrophage M2	BS_063ERW0R	0	stranded
Monocyte	BS_063ERW0R	0.03510003160617053	stranded
Neutrophil	BS_063ERW0R	0	stranded
