Kids_First_Biospecimen_ID	1	11	18	19	3	8	MMR2	N6
BS_02YBZSBY	0.25182592862526676	0.08152532922178933	0.3237386758719126	0.07908068833206225	0	0	0.26382937794896905	0
BS_20TBZG09	0.0697604790628198	0.16507592675343263	0.6456854668255024	0	0	0	0.06414602453226809	0
BS_85Q5P8GF	0.7750357021153647	0	0.19104203346431298	0	0	0	0	0
BS_8AY2GM4G	0.06102104898272557	0.1764990182365334	0.5895967444858623	0.06735745413893146	0	0	0.10552573415594715	0
BS_ERFMPQN3	0	0	0	0	0	0	1	0
BS_HM5GFJN8	0	0.7863561240603604	0	0.14246632264702958	0	0	0	0
BS_P0QJ1QAH	0.6669709836800191	0	0.2044790460676329	0.08426814565075903	0	0	0	0
BS_P3PF53V8	0.7470599181296111	0	0.18910506146437334	0	0	0	0	0
BS_QWM9BPDY	0.5125588334328075	0.0911488272147121	0.1790740554948963	0.11924705503064108	0	0	0.09797122882694298	0
BS_VW4XN9Y7	0.08372040102065482	0.08217051213997804	0.5109923891738223	0	0	0	0.28619721100252515	0
