Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	Splice_Site	Silent	3'UTR	Splice_Region	5'UTR	RNA	total	Amp	Del	CNV_total	MutatedSamples	AlteredSamples
KDM6B	1	1	0	0	0	0	0	5	0	0	0	2	4	0	0	0	13	0	0	0	4	4
TOP3A	5	2	0	0	0	0	0	3	0	1	0	1	1	0	0	0	13	1	0	1	4	5
NFIB	5	3	0	0	0	0	0	1	0	0	0	1	2	0	0	0	12	0	0	0	4	4
GOLPH3	1	4	0	0	0	0	0	4	0	0	0	0	1	0	0	0	10	0	0	0	4	4
MDM2	0	1	0	0	0	0	0	1	0	0	0	1	6	1	0	0	10	0	0	0	4	4
SMARCE1	0	2	0	0	0	0	0	0	0	0	0	0	5	1	1	0	9	0	0	0	4	4
TDRD9	1	3	0	0	0	0	0	4	0	0	0	1	0	0	0	0	9	0	0	0	4	4
CCND1	3	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	8	0	0	0	4	4
FGFR1	0	2	0	0	0	0	0	4	0	0	0	1	1	0	0	0	8	0	0	0	4	4
MYC	4	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	1	0	1	4	5
PLAGL2	6	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	8	0	0	0	4	4
VEGFA	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	4	4
FOSB	2	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	7	0	0	0	4	4
CDKN1B	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	6	0	0	0	4	4
AURKB	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	5	0	0	0	4	4
GAB2	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	5	0	0	0	4	4
KRAS	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	4	4
MET	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	5	0	0	0	4	4
PPM1D	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	5	1	0	1	4	5
H3F3A	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	4	4
POLE	3	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	14	0	0	0	3	3
CIC	0	1	0	0	0	0	0	6	0	0	1	1	0	0	0	0	9	0	0	0	3	3
KDR	0	0	0	0	0	0	0	5	0	0	0	2	2	0	0	0	9	0	0	0	3	3
PIK3C2B	0	1	0	0	0	0	0	4	0	0	0	0	4	0	0	0	9	0	0	0	3	3
ASXL1	0	1	0	0	0	0	0	5	0	0	0	0	2	0	0	0	8	0	0	0	3	3
MTOR	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	8	0	0	0	3	3
PDGFA	2	3	0	0	0	0	0	2	0	0	0	0	0	1	0	0	8	0	0	0	3	3
AKT2	1	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	7	0	0	0	3	3
FYN	1	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	7	0	0	0	3	3
MAFK	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	7	0	0	0	3	3
NRAS	1	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	7	0	0	0	3	3
SLCO1B3	0	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	3	3
FANCA	0	1	0	0	0	0	0	2	0	0	0	1	1	1	0	0	6	0	0	0	3	3
DDR2	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	5	0	0	0	3	3
NTRK2	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	5	0	0	0	3	3
PDGFC	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	3	3
CDKN2C	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	0	0	0	3	3
HIST1H3C	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	3
DIS3L2P1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	3	3
CDKN2B	1	6	0	0	0	0	0	1	0	0	0	0	4	0	0	0	12	0	2	2	2	4
FGFR2	0	0	0	0	0	0	0	3	0	0	1	1	0	0	2	0	7	0	0	0	2	2
YES1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	5	0	0	0	2	2
ID3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3	0	0	0	2	2
RB1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	2	2
TOP2A	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	2	2
APOBEC3H	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
HIST1H2BE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	2
ID2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
CDK4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	3
CDKN1C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
DDX11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
HIST2H3C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
