Hugo_Symbol	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Splice_Site	3'UTR	Silent	total	MutatedSamples	AlteredSamples
BRAF	0	1	1	83	2	6	2	0	2	1	98	91	91
KIAA1549	0	0	0	82	0	0	0	0	0	0	82	82	82
FGFR1	0	0	0	0	0	5	0	0	0	0	5	3	3
KRAS	0	0	0	0	0	2	0	0	0	2	4	2	2
RAF1	0	0	0	1	0	0	1	0	0	0	2	2	2
ALK	0	0	0	1	0	0	0	0	0	0	1	1	1
H3F3A	1	0	0	0	0	0	0	0	0	0	1	1	1
NTRK2	0	0	0	1	0	0	0	0	0	0	1	1	1
PIK3CA	0	0	0	0	0	1	0	0	0	0	1	1	1
PRKCA	0	0	0	1	0	0	0	0	0	0	1	1	1
QKI	0	0	0	0	0	0	0	0	1	0	1	1	1
TP53	0	0	0	0	0	0	0	1	0	0	1	1	1
TSC1	0	0	0	1	0	0	0	0	0	0	1	1	1
