Hugo_Symbol	3'Flank	5'Flank	Missense_Mutation	3'UTR	5'UTR	Silent	total	Amp	Del	CNV_total	MutatedSamples	AlteredSamples
BEND2	0	2	0	0	0	0	2	0	0	0	2	2
GSE1	0	0	1	1	0	0	2	0	0	0	1	1
APC	0	0	0	1	0	0	1	0	0	0	1	1
BCOR	0	0	1	0	0	0	1	0	0	0	1	1
CENPE	0	0	1	0	0	0	1	0	0	0	1	1
CREBBP	0	0	0	1	0	0	1	0	0	0	1	1
EPHA7	0	0	0	0	1	0	1	0	0	0	1	1
KBTBD4	0	0	0	1	0	0	1	0	0	0	1	1
KMT2C	0	0	1	0	0	0	1	0	0	0	1	1
KSR2	0	0	0	1	0	0	1	0	0	0	1	1
RASSF5	0	0	1	0	0	0	1	0	0	0	1	1
SNCAIP	0	1	0	0	0	0	1	0	0	0	1	1
SYNCRIP	0	0	0	0	0	1	1	0	0	0	1	1
TCF4	0	1	0	0	0	0	1	0	0	0	1	1
TP53	1	0	0	0	0	0	1	0	0	0	1	1
MAP4K4	0	0	0	0	0	0	0	0	1	1	0	1
MYCN	0	0	0	0	0	0	0	1	0	1	0	1
OTX2	0	0	0	0	0	0	0	0	1	1	0	1
