Hugo_Symbol	5'Flank	Fusion	Missense_Mutation	5'UTR	total	MutatedSamples	AlteredSamples
EWSR1	0	6	0	0	6	6	6
FGFR3	1	0	0	0	1	1	1
MAML2	1	0	0	0	1	1	1
TACC1	0	0	0	1	1	1	1
TP53	0	0	1	0	1	1	1
