Hugo_Symbol	3'Flank	Fusion	Nonsense_Mutation	total	MutatedSamples	AlteredSamples
ARL4D	1	0	0	1	1	1
TERT	0	1	0	1	1	1
TP53	0	0	1	1	1	1
