Hugo_Symbol	3'Flank	5'Flank	Fusion	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	3'UTR	Silent	total	MutatedSamples	AlteredSamples
BRAF	1	0	5	0	1	13	0	0	0	0	20	20	20
KIAA1549	0	0	6	0	0	0	0	0	0	0	6	6	6
KRAS	0	0	0	0	0	2	0	0	0	1	3	2	2
CDKN2A	0	1	0	0	0	0	0	1	0	0	2	2	2
FGFR2	0	0	2	0	0	0	0	0	0	0	2	2	2
ALK	0	0	0	0	0	0	1	0	0	0	1	1	1
ATRX	0	0	0	0	0	0	0	1	0	0	1	1	1
MAP2K1	0	0	0	1	0	0	0	0	0	0	1	1	1
MYB	0	0	1	0	0	0	0	0	0	0	1	1	1
NTRK2	0	0	1	0	0	0	0	0	0	0	1	1	1
QKI	0	0	0	0	0	0	0	0	1	0	1	1	1
RAF1	0	0	1	0	0	0	0	0	0	0	1	1	1
