Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
BS_S791VC80	6	0	4	0	97	3	1	3	1	115
BS_8TFBNHT0	1	1	2	0	102	2	0	0	6	114
BS_A70G7S2W	1	1	4	0	99	4	0	4	1	114
BS_01DQH017	1	0	0	1	101	1	0	0	9	113
BS_1135HC0V	0	0	2	1	97	2	1	1	9	113
BS_79SYEHY3	17	4	6	1	72	9	1	3	0	113
BS_BAVWP5JG	1	0	0	0	105	1	0	3	3	113
BS_MWKJF6XH	1	1	1	0	100	0	0	1	9	113
BS_NXZSD2KK	2	0	1	0	95	3	0	1	11	113
BS_YZ2YNEJJ	0	0	2	0	97	3	0	5	6	113
BS_AJAH8KG5	39	1	0	1	58	2	0	10	1	112
BS_MZB884N9	1	1	2	1	96	5	0	0	5	111
BS_71HPXFE7	2	0	2	0	90	3	0	6	7	110
BS_95RRF4NE	0	0	3	0	91	1	0	5	10	110
BS_9X9E86DY	0	1	1	0	98	2	0	2	5	109
BS_ME97J1GA	0	1	4	0	92	3	0	2	7	109
BS_CN7PB0DN	1	0	2	0	101	2	0	0	2	108
BS_JM979K1M	0	1	3	0	96	2	0	2	4	108
BS_EFBBP9H3	3	2	3	0	89	2	0	5	3	107
BS_SQSH5G7A	13	4	2	0	82	4	0	2	0	107
BS_H174820R	1	0	0	0	97	4	0	0	3	105
BS_V3ZNXRHK	0	0	2	0	96	0	0	1	5	104
BS_ZJZFT0AJ	2	0	0	1	92	6	0	1	2	104
BS_5JC116NM	6	0	4	0	85	4	0	3	1	103
BS_8H2XX24V	3	0	1	0	98	1	0	0	0	103
BS_J6VRW67C	1	0	3	1	91	1	0	2	4	103
BS_N8D9FH6M	0	0	3	0	85	4	0	1	10	103
BS_XVYRXN8J	1	0	2	0	94	3	0	1	2	103
BS_1RF75MK2	1	0	2	0	87	0	0	1	9	100
BS_4NPEMNAD	0	2	1	0	89	0	0	0	8	100
BS_AJ0T7DJ7	0	0	0	0	92	0	0	2	6	100
BS_KV3XF9WV	0	0	0	0	88	2	0	2	8	100
BS_FHFVCQ41	1	0	0	0	90	0	0	3	5	99
BS_AQECMDPP	0	0	0	0	86	1	0	3	8	98
BS_06GPPDHZ	0	0	0	0	87	1	0	1	8	97
BS_MBYEK6HV	1	0	1	0	87	2	0	3	3	97
BS_X1DSETVE	2	2	3	0	86	3	0	1	0	97
BS_872Q3FK2	6	2	4	0	74	7	1	2	0	96
BS_JNS7Q60A	4	2	3	0	82	0	0	3	2	96
BS_VXNT1TDB	0	0	0	0	81	2	0	1	12	96
BS_F4D169Q7	1	0	1	0	86	4	0	2	1	95
BS_QK61ST4T	0	1	2	0	85	2	0	2	3	95
BS_HYGK88B0	10	0	3	0	80	0	0	1	0	94
BS_JSNJZERZ	4	2	2	0	78	4	0	2	2	94
BS_10AD3EFX	0	1	1	0	79	3	0	4	5	93
BS_7HC4W4SA	2	1	2	0	82	0	0	1	5	93
BS_0W8AWY10	0	0	0	0	75	2	0	4	11	92
BS_5J5VH3X0	1	1	1	0	84	1	0	0	4	92
BS_742CDKAS	4	3	3	0	74	8	0	0	0	92
BS_7RQCH5Y7	0	0	1	0	73	0	0	6	12	92
BS_B94G701Q	1	0	2	0	79	0	0	3	7	92
BS_4GKH983E	2	1	1	0	78	3	0	2	4	91
BS_ZAH4FHV2	0	0	0	0	85	2	0	1	3	91
BS_5FBN4PPQ	4	1	3	1	78	2	0	1	0	90
BS_B4DY7ET3	0	0	2	0	78	4	0	2	4	90
BS_GRECE8Q9	0	0	1	0	83	4	0	0	2	90
BS_QMHND3QK	23	2	4	1	53	5	0	2	0	90
BS_VK46N40F	0	0	3	0	81	2	0	1	3	90
BS_25VZM81R	6	2	3	2	67	5	1	3	0	89
BS_9GSWPZ44	1	0	0	0	84	0	0	0	4	89
BS_96S0VQBN	4	1	5	0	66	7	0	4	1	88
BS_S34SCYW4	1	1	2	0	76	6	0	0	2	88
BS_86QSEFS7	7	1	4	0	67	4	0	2	2	87
BS_BR1X3R68	0	0	4	2	73	4	0	2	2	87
BS_C1RRDNF5	0	2	1	0	73	3	0	3	5	87
BS_CPYV7AHD	2	0	0	0	75	0	0	2	7	86
BS_RXSBJ929	5	1	4	0	68	4	0	3	1	86
BS_36HCZ3KW	1	2	3	0	68	0	1	10	0	85
BS_AXW0XBH8	1	1	2	0	73	0	0	0	8	85
BS_JCWD4DMA	1	0	4	0	73	6	0	1	0	85
BS_SKRY0BJ4	0	0	2	1	75	2	0	0	5	85
BS_SWHQ8FDW	0	0	2	0	77	3	0	3	0	85
BS_TYFD8ZMG	2	1	1	1	75	1	1	3	0	85
BS_Y4ZX0YX7	0	0	0	0	71	1	0	2	11	85
BS_1RFBH1SP	0	0	1	0	74	2	0	1	6	84
BS_NG0CR0EP	2	0	1	1	72	2	0	0	6	84
BS_Q9NHTR7G	0	1	2	0	77	2	0	1	1	84
BS_164KRQJ0	0	1	2	0	73	5	0	1	1	83
BS_4ZKN0WGS	0	0	1	2	74	2	0	3	1	83
BS_6GN1FGTB	1	1	2	0	74	3	0	0	2	83
BS_4M0ZMCDC	0	1	2	0	70	0	0	3	6	82
BS_4T8J7JEP	0	0	3	0	76	1	0	1	1	82
BS_7PKPNFFK	3	3	0	0	66	6	0	4	0	82
BS_GMQZNQH8	1	1	2	0	71	5	0	1	1	82
BS_JJWC13GG	0	0	4	0	69	1	0	3	5	82
BS_KY1CTGJ3	5	1	4	0	65	3	0	4	0	82
BS_RA0VCMWC	1	0	0	0	77	3	0	0	1	82
BS_ACTR13BQ	0	1	1	0	66	1	0	0	12	81
BS_J33YVP27	4	0	1	0	67	4	0	4	1	81
