Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
BS_20TBZG09	22	34	2	1	13205	754	6	394	10	14428
BS_8AY2GM4G	21	22	1	1	10847	641	5	287	6	11831
BS_02YBZSBY	10	196	0	0	9319	515	4	143	8	10195
BS_VW4XN9Y7	6	138	0	3	7215	339	11	224	8	7944
BS_HM5GFJN8	51	14	5	3	1309	46	1	59	0	1488
BS_F0GNWEJJ	51	14	12	0	860	31	0	49	3	1020
BS_1JGQPJH3	8	15	1	9	105	8	0	642	3	791
BS_9ZFXXJPK	3	11	2	13	105	2	0	605	6	747
BS_ST3Z2B9B	4	12	3	12	130	5	0	458	7	631
BS_P3PF53V8	65	31	20	2	474	26	0	9	0	627
BS_QXZTRMWM	2	7	3	8	104	3	0	439	15	581
BS_E0S2Y0TS	1	7	2	5	83	2	0	338	1	439
BS_02ZSVZCB	2	5	2	5	34	0	0	340	3	391
BS_S0T3CQ97	38	16	6	1	218	19	0	6	0	304
BS_QWM9BPDY	43	13	6	2	217	6	0	10	1	298
BS_P0QJ1QAH	40	10	3	2	205	9	0	2	0	271
BS_0S617SMM	0	11	0	4	39	0	0	205	3	262
BS_ERFMPQN3	2	11	0	0	230	1	0	12	1	257
BS_1S2BHJ8K	7	61	5	1	123	4	0	4	1	206
BS_85Q5P8GF	31	7	5	0	147	6	0	0	0	196
BS_AJAH8KG5	168	0	1	2	23	2	0	0	0	196
BS_P8WN8XEQ	24	1	5	0	142	10	0	9	1	192
BS_YETTZ1NC	6	3	1	2	136	4	0	6	1	159
BS_4QFSH7C4	2	0	0	0	129	3	1	8	0	143
BS_1CZPVCXR	10	2	1	0	111	5	0	7	1	137
BS_AFBPM6CN	3	0	0	0	126	4	0	4	0	137
BS_S791VC80	5	0	3	0	106	4	1	4	8	131
BS_5Z4XQC9X	110	0	0	0	10	1	0	1	0	122
BS_928HWFFM	10	1	12	0	55	2	0	39	1	120
BS_A94A7EJ4	6	0	3	1	93	7	0	5	2	117
BS_KP0YNTAK	2	0	3	0	102	4	1	2	0	114
BS_05S9WJW6	0	3	0	1	101	1	0	4	3	113
BS_5JC116NM	6	0	3	0	91	5	0	5	3	113
BS_Z5VJCFNP	2	1	2	1	83	3	0	1	11	104
BS_872Q3FK2	10	2	2	0	78	7	1	3	0	103
BS_FJEZ3ASV	2	1	2	0	85	10	1	2	0	103
BS_PKZ1HWNB	3	1	2	1	81	11	0	3	1	103
BS_79SYEHY3	14	1	5	0	72	8	1	1	0	102
BS_PMFR8NPN	7	1	7	0	76	4	0	5	1	101
BS_SQSH5G7A	9	3	1	1	81	4	0	2	0	101
BS_742CDKAS	4	2	4	1	77	9	0	3	0	100
BS_6F49F7WH	4	1	2	0	79	4	1	3	5	99
BS_JB3J82ZK	5	1	6	1	80	1	0	3	1	98
BS_R913E3VB	1	1	1	0	89	0	0	2	4	98
BS_96S0VQBN	8	0	4	0	73	8	0	4	0	97
BS_SYGKQD8M	2	1	2	0	77	4	2	5	3	96
BS_235QEYMQ	1	0	2	0	80	0	1	5	5	94
BS_X1DSETVE	4	1	3	0	79	3	0	1	1	92
BS_WH8KWW5J	2	1	1	0	82	0	1	3	1	91
BS_68TZMZH1	1	1	1	0	80	4	0	3	0	90
BS_0FQKT8EY	5	3	7	2	62	4	1	5	0	89
BS_YZ2YNEJJ	1	0	0	0	75	1	0	2	9	88
BS_A70G7S2W	2	2	0	0	73	4	1	3	2	87
BS_P4K6WK9Y	16	2	5	1	54	4	1	3	1	87
BS_RXSBJ929	4	1	2	0	73	4	0	2	1	87
BS_JA3XXP1Y	1	0	1	0	73	3	0	4	2	84
BS_3BMGF6GN	1	0	5	0	74	1	0	0	2	83
BS_R726FKHP	3	5	1	3	23	0	0	48	0	83
BS_9HEMB7RK	2	0	1	1	70	1	0	1	6	82
BS_9GSWPZ44	1	0	2	0	74	1	0	1	2	81
BS_AG6M7TJE	7	1	5	0	60	2	1	5	0	81
BS_10AD3EFX	1	0	2	0	70	2	0	1	4	80
BS_6T87HSPX	4	0	2	1	66	3	0	1	3	80
BS_89RCN9PF	0	0	0	0	64	0	0	3	11	78
BS_KY1CTGJ3	6	1	3	1	61	3	0	3	0	78
BS_Y4ZX0YX7	0	1	1	0	69	1	0	2	4	78
BS_9GJHMA3J	4	1	3	0	66	3	0	0	0	77
BS_1RFBH1SP	0	0	1	0	67	1	0	0	7	76
BS_N9BF56FP	9	1	4	0	58	1	0	3	0	76
BS_7PKPNFFK	0	4	0	0	61	6	0	4	0	75
BS_80078QDG	2	0	0	0	64	6	0	3	0	75
BS_BAVWP5JG	1	0	4	0	69	0	0	1	0	75
BS_JSNJZERZ	5	2	3	1	59	3	0	2	0	75
BS_71HPXFE7	1	0	2	0	66	0	0	2	3	74
BS_DE26D072	2	0	2	1	64	2	0	2	1	74
BS_00TRPEQX	3	0	2	1	64	1	0	2	0	73
BS_C3X4AEK5	1	0	1	1	66	0	1	0	3	73
BS_J5J0EA7Y	1	3	2	0	59	2	0	1	5	73
BS_J6VRW67C	0	0	1	2	66	0	1	0	3	73
BS_M16CDR44	1	1	1	0	60	3	0	4	3	73
BS_VXNT1TDB	0	0	0	1	64	0	0	2	6	73
BS_2CD1XWVP	1	1	1	0	63	2	0	1	3	72
BS_2J4FG4HV	2	1	1	1	58	2	0	2	5	72
BS_2RX2NF1Q	5	0	3	0	59	4	0	0	1	72
BS_4NPEMNAD	2	0	2	0	67	0	0	0	1	72
BS_MZB884N9	1	1	1	1	64	0	1	1	2	72
BS_32JF8TPP	1	0	1	0	64	0	0	2	3	71
BS_9NF39QAW	1	0	1	0	62	1	0	0	5	70
BS_9P4NDTKJ	15	1	6	0	43	1	0	4	0	70
BS_H174820R	3	1	0	0	64	1	0	1	0	70
BS_1135HC0V	0	0	0	0	65	0	1	1	2	69
