Ensembl;Gene.name;Refseq;CCDS.ID
ENST00000000233;ARF5;NM_001662;CCDS34745
ENST00000000412;M6PR;NM_002355;CCDS8598
ENST00000005257;RALA;NM_005402;CCDS5460
ENST00000005340;DVL2;NM_004422;CCDS11091
ENST00000006777;RHBDD2;"NM_001346188; NM_001346189; NM_001040456";CCDS43602
ENST00000007390;TSR3;NM_001001410;CCDS10435
ENST00000007516;NDUFAB1;NM_005003;CCDS10614
ENST00000009589;RPS20;NM_001023;CCDS6163
ENST00000011619;RANBP9;NM_005493;CCDS4529
ENST00000011691;SS18L2;NA;CCDS2701
ENST00000012443;PPP5C;"NM_006247; NM_001204284";CCDS12684
ENST00000016171;COX15;"NM_001320976; NM_078470";CCDS7482
ENST00000022615;VDAC3;NM_005662;CCDS6131
ENST00000023939;RTF2;NM_001283035;CCDS63316
ENST00000029410;B4GALT7;NM_007255;CCDS4429
ENST00000037243;GABARAPL2;NM_007285;CCDS10921
ENST00000053468;MRPS10;NM_018141;CCDS4866
ENST00000053867;GRN;NM_002087;CCDS11483
ENST00000054666;VAMP3;NM_004781;CCDS88
ENST00000054950;RCN1;NM_002901;CCDS7876
ENST00000064778;FAM168A;NM_001286050;CCDS73346
ENST00000066544;CDC27;"NM_001353049; NM_001293091; NM_001353035; NM_001256";CCDS11509
ENST00000084795;RPL18;NA;
ENST00000085068;ISOC2;NM_024710;CCDS12925
ENST00000085079;EPN1;NM_013333;CCDS46200
ENST00000156109;GPKOW;NM_015698;CCDS35251
ENST00000159111;KDM4B;NM_015015;CCDS12138
ENST00000162391;FOXJ2;NM_018416;CCDS8587
ENST00000163416;GOLGA5;NM_005113;CCDS9905
ENST00000164133;PPP2R5B;NM_006244;CCDS8085
ENST00000170168;REXO1;NM_020695;CCDS32866
ENST00000170447;MKRN2;NM_014160;CCDS33702
ENST00000175091;LAPTM4A;NM_014713;CCDS1696
ENST00000184266;NDUFB4;NM_004547;CCDS2999
ENST00000185150;ERLEC1;NM_015701;CCDS1848
ENST00000186436;TMEM131;NM_015348;CCDS46368
ENST00000194118;DELE1;NA;CCDS4268
ENST00000196061;PLOD1;"NM_001316320; NM_000302";CCDS142
ENST00000196551;RPS5;NM_001009;CCDS12978
ENST00000198767;RRN3;NM_018427;CCDS10559
ENST00000199320;DIMT1;"NM_014473; NM_001348077";CCDS3981
ENST00000199389;EIF2AK1;"NM_001134335; NM_014413";CCDS5345
ENST00000199706;MRPL28;NM_006428;CCDS32349
ENST00000200639;LAMP2;NM_002294;CCDS14599
ENST00000202834;TMEM230;NM_001009925;CCDS13086
ENST00000203630;MLF2;NA;CCDS8559
ENST00000204549;PDCD7;NM_005707;CCDS10201
ENST00000204679;GNPTG;NM_032520;CCDS10436
ENST00000205402;DLD;NM_000108;CCDS5749
ENST00000206020;SPAG7;NM_004890;CCDS42240
ENST00000206380;TMEM101;NM_032376;CCDS11474
ENST00000206451;PSME1;"NM_001281529; NM_006263";CCDS9612
ENST00000210060;DHPS;NM_001930;CCDS12276
ENST00000210313;PSMD5;NM_005047;CCDS6824
ENST00000214869;TMED1;NM_006858;CCDS12249
ENST00000215115;BCL7C;NM_004765;CCDS10693
ENST00000215565;NDUFB7;NM_004146;CCDS12314
ENST00000215570;TIMM13;NM_012458;CCDS12089
ENST00000215574;CDC34;NM_004359;CCDS12030
ENST00000215730;SNAP29;NM_004782;CCDS13784
ENST00000215754;MIF;NM_002415;CCDS13819
ENST00000215829;SNRPD3;"NM_001278656; NM_004175";CCDS13828
ENST00000215832;MAPK1;NM_002745;CCDS13795
ENST00000216029;CBY1;NM_015373;CCDS13974
ENST00000216034;TOMM22;NM_020243;CCDS13975
ENST00000216038;RTCB;NM_014306;CCDS13905
ENST00000216039;JOSD1;"NM_001360235; NM_014876; NM_001360236";CCDS13976
ENST00000216044;GTPBP1;NM_004286;CCDS13977
ENST00000216160;TAB1;NM_006116;CCDS13993
ENST00000216181;MYH9;NM_002473;CCDS13927
ENST00000216185;TXN2;NM_012473;CCDS13928
ENST00000216190;EIF3D;NM_003753;CCDS13930
ENST00000216218;ST13;"NM_001278589; NM_003932";CCDS14006
ENST00000216225;RBX1;NM_014248;CCDS14009
ENST00000216252;PHF5A;NM_032758;CCDS14016
ENST00000216259;PMM1;NM_002676;CCDS14020
ENST00000216264;CERK;NM_022766;CCDS14077
ENST00000216277;PAPOLA;"NM_032632; NM_001293627";CCDS9946
