"","gene","stranded_over_polya_logFC","average_logCPM","exact_test_pval","lrt_pval","qlft_pval","deseq2_nbwaldtest_pval","normalized_count_cv","s1_stranded_BS_HE0WJRW6","s2_stranded_BS_SHJA4MR0","s3_stranded_BS_FN07P04C","s4_stranded_BS_8QB4S4VA","s5_stranded_BS_KABQQA0T","s6_stranded_BS_D7XRFE0R","s1_polya_BS_HWGWYCY7","s2_polya_BS_X0XXN9BK","s3_polya_BS_W4H1D4Y6","s4_polya_BS_QKT3TJVK","s5_polya_BS_7WM3MNZ0","s6_polya_BS_68KX6A42"
"1","GORASP1",0.0290339018939176,5.60991251331036,0.912489317988312,0.91219936504589,0.857845023786541,0.87499107346506,0.0739647590859906,53.2192837917725,51.1403300825605,52.7473729757854,44.8574005200962,46.8613380566951,46.9724822752123,47.7589267453242,54.7113966860757,46.6604947642057,42.5436797628229,49.4142553294263,48.802087759039
"2","RPUSD1",-0.112148056620256,4.32142719962056,0.713154137602361,0.712028506716998,0.566644902493806,0.638643732578,0.0938086897578832,19.9813246590438,17.3064664370798,18.4658093528271,17.783146905452,20.8235355514903,20.7592577967858,20.142663339054,20.4725434710686,23.8991027197723,21.4876109418816,20.6198745669953,17.8155963525891
"3","NUP58",-0.070534829741459,6.06663627827581,0.788882378746919,0.788350318164876,0.673898734357545,0.640936431218465,0.0987100580062634,67.2254856428064,69.7266959667555,60.5847699224814,76.1463382911867,63.9627923743441,54.4930517165628,69.9830532609933,69.1893039572824,62.4707862359047,77.8800998108379,69.9521835627705,62.3285008646903
"4","SENP2",0.0524082789500499,5.7692102690409,0.845852648355994,0.845074674590454,0.762372791320472,0.760373884497114,0.109636350198039,51.8700625125445,63.4384943352764,44.2333662207415,63.6119616177403,54.2049037342738,55.6118141127968,62.0505479264919,49.9739347508063,52.7009715723299,50.6592924582162,55.6577855123629,50.0884842944572
"5","STRIP1",0.139822553277187,5.75591295718321,0.601560728832448,0.600558257319375,0.418354809801407,0.380259298545606,0.116893670024412,65.1266969862295,52.336757826603,47.6164152624808,66.4321963692658,54.1043069441699,54.1201309178182,49.6601057097915,57.911629084827,46.4328825946242,52.4759984193868,52.3717169950278,49.5109997816533
"6","ATXN7L3",0.00137086904974664,5.85730013099921,0.996288936578017,0.995963355237478,0.994177611292922,0.958877676187282,0.118912892679562,57.9736825852427,65.4696391100462,48.067488468046,59.7889767323392,50.9355080558997,65.5719071126019,44.4154740836749,65.178532348367,62.3657344653286,58.3281741795511,59.4367643072983,57.7750022924669
"7","PPIP5K2",0.0975364372564801,5.6691747677518,0.718913651499094,0.718292036049544,0.578454260752232,0.583537000684975,0.120380458009385,47.3512420376696,56.1486322669245,65.2928465055686,54.33652287939,48.3535237765684,43.9735775186406,55.7406005013204,45.5998179787139,45.3823648888635,47.4726115099333,48.8391933388926,51.7748718269048
"8","COPS7B",0.00866256128947551,5.32665738561627,0.97526764185354,0.975251284110483,0.961459756968783,0.973266432212801,0.120841745645715,39.9412331073061,34.6407567751838,48.8568665777852,35.4252820733278,39.1321513503851,43.3520428540662,32.7838645053782,45.8144711212677,36.6856540617233,38.4496882062276,42.710264795498,43.4259060774258
"9","TMEM222",-0.105995014702545,5.67940252073484,0.696977557202629,0.696017878466258,0.550501441759959,0.511572527218087,0.12212951522228,44.7598805331206,44.351298232645,54.8617786268725,53.0830852120454,43.1560229545378,55.8138128787835,46.5952741032796,49.275194052389,63.0660796025024,57.1368915820622,46.8880901567249,55.6177325607284
"10","ZDHHC3",-0.0423546441477212,5.72414662666554,0.877160070869217,0.876858352099562,0.813830682722257,0.784152698455478,0.123040083948674,43.8175672587391,59.7518274495641,43.1056832068284,48.9154049681245,57.3401703591761,59.3876372000864,58.1662426283993,54.6135729882973,51.0376518715421,43.422250678471,57.8142679768641,56.600120007797
"11","LSG1",-0.0285862937553625,5.46521714723506,0.918064442267356,0.91778376905473,0.875013980766762,0.875346671283317,0.12463326757582,50.0711008069071,49.4987199221301,35.6629753150019,50.4822020523053,39.5010062474324,37.0279276420214,47.2180741088809,43.7970669767972,44.3493558115321,51.0017862049942,41.7536080983889,39.395064178055
"12","CWC22",-0.00677699321614459,4.7167691927616,0.982201000616387,0.98200361393503,0.97245608758176,0.999999600992487,0.13028665265225,26.51326894737,27.2395991027349,19.2833795379141,31.4612854503504,24.9312378140628,27.7825995064768,26.3706633950675,21.6609616509367,24.0568554619207,30.3181421060929,27.1306031962478,28.4361339408236
"13","SMARCAL1",0.213907288873063,4.75691580460115,0.466905805575917,0.465320590209166,0.27097763054616,0.320591694923687,0.138650639482418,27.0058417953421,35.9067442717869,24.0760323470447,29.4871211242826,26.507254192356,31.0456564954926,25.8101433900263,28.6483686351099,23.7887983606674,24.1516166505162,23.146245118979,24.5180010877448
"14","MCUR1",-0.161208997258141,5.56080542864927,0.563908887354783,0.563076486998722,0.393704693666885,0.365285567721901,0.14081602103485,37.5854499213524,53.6583931252546,32.7591915541756,48.1633423677177,47.5152171923699,47.5318634733292,43.5304424967677,45.0687750479168,54.6269206995579,52.7291459713532,52.3717169950278,50.5265759938256
"15","ACAP2",-0.0760547844217384,6.06287835329226,0.78118440844353,0.780639675971514,0.679281758029655,0.641694383098653,0.141157533842109,65.1052807754481,65.7200542192644,59.2033582304379,63.8783171220511,75.7493829481747,60.6928599956927,86.0939060374702,51.5391139152611,79.4191385555111,62.1551695239842,67.5903218159359,64.704816446113
"16","EML4",0.186077541002758,6.08488789544754,0.493199255132454,0.49224219428703,0.311182077248197,0.244968786706755,0.141280154983446,73.0506949753465,73.9559289224406,78.3739694669606,64.12900465552,65.2370183823258,78.5775199688218,63.4631566760388,50.3494380021358,69.5777136016603,54.7486677947462,62.0040053364663,80.7178645883916
"17","CNOT10",0.100824892802242,4.71275679723211,0.738754003651453,0.737395955120448,0.61789019932749,0.633622991502167,0.141315118513151,25.7208691484583,34.432077517502,24.1042244223926,29.3147734450227,26.3898912705682,22.6704768903522,28.4849055193457,26.7617687493831,22.1133977062633,27.2208073526217,26.6171549904142,20.4841058219845
"18","EIF1AD",0.151554182775671,4.44940187103988,0.625167459906501,0.623730272917932,0.468463139802259,0.564785463118617,0.143352731834839,18.3322764288762,23.3581649098529,24.1324164977404,23.7526437961809,23.724076332817,24.472927417618,18.2578738484184,21.6050623950633,27.5060552625017,19.8050731832532,17.6420803524427,19.2229327480451
"19","MTMR1",0.166815504019446,5.2277530241844,0.558749146708436,0.557370213904833,0.382631588168992,0.388263274593072,0.144221209633721,35.4224126324313,40.1220652769599,30.898514581219,44.4030293656838,47.7499430359455,39.0168385686596,29.6977265828852,32.9945357792656,33.1613422451803,38.1657162170512,40.7061737584883,36.9656465724665
"20","DDX19A",-0.155739088210402,5.74742212245521,0.572808516924437,0.57167302335979,0.402809349296732,0.382736414949744,0.146594464081764,60.8742941734752,43.7544755556749,51.1999099599431,53.547640547505,45.8402806371413,49.5652141284845,70.4845711602407,43.2875452595113,59.6364894657622,55.1465561823075,53.0176348379665,57.940547852804
"21","GGNBP2",-0.0835819923000421,5.853490855356,0.765321983232706,0.764403391675929,0.662438083517006,0.611352257413795,0.148554321132187,71.3588143236161,58.3188965468155,65.3492306562643,53.5844602789832,42.8709987159103,45.2321852144039,62.4602847722823,64.1583709286778,61.9455273830243,62.7359197902601,49.9071656070265,55.5579927835418
"22","MAP3K3",0.201509443545364,5.19751303980055,0.483899309247272,0.48263922561687,0.303144795339454,0.27555994147207,0.149385077478739,44.3958049498368,36.8110210550748,36.5933138014802,43.6979706778024,34.5214651372934,39.3120675343324,37.2511433876613,41.2291949101136,33.1433083578981,37.9098882792404,25.5407621717046,29.5751059816513
"23","SH3BP5L",-0.0768337098506975,5.68043719763482,0.785622843143416,0.784954600785582,0.690384321752494,0.674953448607776,0.150417643424059,50.1995980715955,48.5805311883301,42.5982258505675,57.7521405229042,41.4794097861408,58.7194874356689,53.2330110050834,55.9831047571952,55.1871968092969,63.7187279331884,37.9335534469868,49.6570303481095
