"","stranded_over_polya_logFC","average_logCPM","LR","PValue","BH FDR"
"SCARNA2",10.4852993302561,8.57897804399361,211.390811802924,6.83022088266697e-48,1.46494577491441e-43
"AC005062.1",-9.38095829725365,4.23252745402049,207.195753711255,5.61942695825998e-47,6.026273470038e-43
"AC008894.2",-9.20964123983476,3.41211605718386,184.143510229823,6.03641936556581e-42,4.31563741842185e-38
"SFT2D3",12.74487886192,2.69545399725565,170.846236226383,4.83440106142089e-39,2.59220584913388e-35
"ZNF460",5.59564088501524,6.00898003274365,151.52020657467,8.06658196170504e-35,3.46024099829299e-31
"ZACN",-9.26029662841729,4.49748802500972,146.350086547506,1.08844783660142e-33,3.89083819990454e-30
"SCARNA13",7.77647767122656,4.04937393257472,145.301800910527,1.8449314637759e-33,5.65287000500934e-30
"AC005523.2",-8.33299270270277,4.50025037031187,144.021344443341,3.51499082193726e-33,9.4236903936138e-30
"MT-RNR2",-14.6932344019093,12.0212517476363,133.688517617113,6.3916108378305e-31,1.52319188055321e-27
"HIST1H4E",7.19043202336719,5.39591343713347,132.189296023224,1.36011470633793e-30,2.91717402215359e-27
"AC114546.3",-12.9172070941253,2.86808888526348,122.758538385308,1.57495376304391e-28,3.07087348270598e-25
"FP236383.2",-16.7259374704216,9.3042168886705,117.642773510073,2.07604831772451e-27,3.71059035987961e-24
"LRRC37A16P",-9.79403868486219,1.0965222061947,117.024114522479,2.83598390457766e-27,4.67893713733705e-24
"SCARNA12",7.16829495386285,3.12831447967522,116.406641158292,3.87183026342498e-27,5.93164396356707e-24
"SPDYE3",-11.5290528108026,1.49001095299619,115.848436718456,5.13044936830775e-27,7.3358585367643e-24
"AC125494.1",-8.75859861283269,3.1393119389653,114.407369845551,1.06108921088403e-26,1.42239008719004e-23
"MT-RNR1",-11.9544957118188,9.23283510180713,111.87487423655,3.805876503753e-26,4.80167289720555e-23
"Telomerase-vert",9.54198168607024,4.6082208202423,111.677720753489,4.20380411115774e-26,5.00906614311729e-23
"AC021224.1",-9.41514683906813,2.24221377343619,111.231673929667,5.26446696041378e-26,5.94275196668183e-23
"AC018635.1",-10.0540993518282,0.0437620549885656,109.545232892529,1.23259489296651e-25,1.32183476321728e-22
"AC069282.1",-9.59376826169203,-0.400170335993814,108.140097759017,2.50435360017462e-25,2.49039683006134e-22
"AC011472.3",-8.88364294970337,0.217806048553615,108.100809776386,2.554491340048e-25,2.49039683006134e-22
"SCARNA10",9.00561397100778,6.00273943954044,104.263140904678,1.77154161539506e-24,1.65200106813014e-21
"HIST1H1B",8.89815341350119,5.63836752791962,103.223902833566,2.99332763841148e-24,2.67503713286039e-21
"FP236383.3",-18.0090571632475,10.5804251877913,102.459018233157,4.40384369935754e-24,3.77814558655282e-21
"HIST1H2AB",8.2910362435122,3.69845710779682,100.794364198335,1.02046263792755e-23,8.4180317916423e-21
"RN7SK",8.18146306811981,12.0064305581565,99.5920517762382,1.87254439495587e-23,1.48749378455605e-20
"AL138478.1",-10.6482724190791,2.01308059614101,99.0725653528778,2.43417057997617e-23,1.86457466426175e-20
"AC025259.1",-8.73374150011378,0.749678475729858,98.6804711544043,2.96713756916356e-23,2.19445402011793e-20
"RN7SKP203",7.81182503142638,1.26450928735511,98.4854908320235,3.27414795255425e-23,2.34079750954612e-20
"HIST1H3I",8.56042001873874,3.29486439403451,96.600940483026,8.48079832710144e-23,5.86761814579586e-20
"AC018638.1",-9.18729010085069,-0.787369446667572,96.4051427058586,9.36236500065604e-23,6.27512514168971e-20
"HIST1H3F",8.29198819329783,4.68471623605876,95.8864394933521,1.21665894554463e-22,7.90754577698219e-20
"RPL7AP30",-7.98058363533299,1.53243189725394,95.1041058465818,1.80631698017327e-22,1.1394672526693e-19
"AC009630.3",-10.1849487934596,0.170970785364156,94.956826535529,1.94583074618342e-22,1.17243073324087e-19
"AC015674.1",-8.84950316643861,0.875665812036339,94.9345016060923,1.96789940305256e-22,1.17243073324087e-19
"AC010468.1",-7.76859235895632,1.88167868587428,94.767143541628,2.14150796935709e-22,1.24138007910192e-19
"AC136632.1",-4.55248856795878,3.26363157837242,94.499881452082,2.45107081506514e-22,1.38343596951361e-19
"HIST1H1E",7.95627474069161,5.50430917527138,93.993981983555,3.16484629993036e-22,1.74050316515145e-19
"PRPS1P2",-8.97326586677815,-0.988944002505029,93.5962279994812,3.86924286845342e-22,2.07468802606473e-19
"CXCR5",-7.14235713391772,2.43579418195681,92.8316420954752,5.69375207291011e-22,2.97852669414088e-19
"FP671120.3",-17.1611948454305,9.73113863015537,92.3417177699772,7.2930590827162e-22,3.72432217157374e-19
"AL513523.10",-8.81182919330034,2.96202793511603,92.1793254803935,7.91675330463985e-22,3.94880290413757e-19
"TMSB4XP6",-11.2956757415583,1.26026420413453,92.1010637009566,8.2361088815974e-22,4.0147287111932e-19
"RPSAP54",-7.44545187652058,0.274130345720761,91.8927545512906,9.15034299826458e-22,4.36125681392841e-19
"AC005912.1",-5.18613192252555,3.25367616363486,91.5974604568716,1.06229252039832e-21,4.95305434293545e-19
"HIST1H2BI",8.57541307659786,2.68960192377007,90.4188776190799,1.9271860305248e-21,8.79452893248851e-19
"HIST1H2AH",7.47286206729454,3.04440723000385,90.0943991160286,2.27063589161824e-21,1.01459580423808e-18
"AC124068.1",-9.39266730848645,2.8951338725779,89.6949598576059,2.77861992741769e-21,1.21624163680111e-18
"AC006449.7",-8.83151003340409,0.814871154744058,89.5448550169156,2.99764363271108e-21,1.28586921268775e-18
"HIST1H2BL",7.53422719444641,3.5826074064775,89.4058393242037,3.21585975591311e-21,1.35242666754558e-18
"AC092171.2",-7.61252745277474,2.95159607261953,89.2105763888322,3.54946253566975e-21,1.46401677817394e-18
"CICP27",-7.25708672973822,-0.688722367213932,87.1392834377798,1.01141566243308e-20,4.09298926940842e-18
"AC005944.1",-11.6230985531991,1.58272332887033,86.6842612651996,1.27305913579792e-20,5.02273097414544e-18
"AC006547.1",-9.63515090673598,-0.360720437274222,86.6611862337554,1.28799983018463e-20,5.02273097414544e-18
"PFN1P1",-9.54251652066591,-0.449566646670828,86.2713087033824,1.56867985127504e-20,6.0080438303834e-18
"EEF1A1P11",-8.34367200310596,0.352510427090893,85.8213440951617,1.96948850159814e-20,7.41080515478544e-18
"RAB11FIP1P1",-7.92300337335922,-0.000820613077488248,85.4034658457922,2.43293798720842e-20,8.99683688787005e-18
"HIST1H4C",7.59381645395105,4.28252983093303,85.3622540640602,2.48417708932039e-20,9.03061529012607e-18
"AC010300.1",-9.03337668384266,-0.932526215009047,85.2987049790963,2.56531200373866e-20,9.17013530936445e-18
"AL512770.1",-8.92704299444218,-1.03222144241341,84.7078804801448,3.45869150605248e-20,1.21609861347235e-17
"PCF11-AS1",10.1537701919879,0.132223907919272,84.6350869182425,3.58840343762447e-20,1.23930196675092e-17
"AL020996.3",-9.19308614030402,-0.781989933819818,84.6067261038829,3.64024729137019e-20,1.23930196675092e-17
"AL136370.1",-5.43640146489734,3.31428218853982,84.4310675044173,3.97846805367718e-20,1.33328410648856e-17
"AC024267.6",-5.54580741360505,1.40179446736458,83.4675032703565,6.47720279076062e-20,2.1372776224036e-17
"SEPT2P1",-9.12456499380847,-0.846501192006989,83.0037508354473,8.18978393908052e-20,2.66143160493029e-17
"MED4-AS1",-8.58739088293618,-1.34778086212724,82.9430267819148,8.44527519712601e-20,2.70349645414864e-17
"CERS6-AS1",-7.87620375475494,3.18217839876471,82.6856156281868,9.61987635792294e-20,3.03422217830487e-17
"RN7SL4P",7.18788206660241,2.02660350026357,81.7269200044677,1.56250655427964e-19,4.85690443133183e-17
"AC019205.3",-9.46750558990025,1.85780386420307,81.61009973907,1.65764863011372e-19,5.07903540266844e-17
"AC114491.1",-7.22372980546793,1.88437449465912,80.8917922353024,2.3842188250877e-19,7.20235568457478e-17
"HIST1H3B",9.08081422108708,5.63122784603314,80.7664025984394,2.54040596442608e-19,7.56758710069593e-17
"AC245060.6",-8.53726063614175,1.30952153041929,79.900101914495,3.93826248643247e-19,1.15709388779457e-16
"HIST1H2AL",7.3552037901817,3.16389210157408,78.4198694095942,8.33099766672018e-19,2.41463835075425e-16
"NPM1P24",-5.8999392904688,0.274885195486414,78.0441858664341,1.00761201826339e-18,2.88150167569509e-16
"AC092828.1",6.03921412223049,1.43224914135653,77.9868903073373,1.03726694567795e-18,2.92727650669747e-16
"AC010978.1",-8.97212415008378,-0.989734528563477,77.7895300116591,1.14626151503731e-18,3.19285934734028e-16
"AL583722.2",-6.19692517712552,2.51978009986209,77.7197197342326,1.18749847841138e-18,3.26531632884195e-16
"Z74021.1",-5.19411251645638,1.49502511273865,77.4744435509718,1.34450939208251e-18,3.65025790397288e-16
"AC018665.1",-9.55841249218735,0.873303450326379,77.432376808743,1.37345232696471e-18,3.68222568859239e-16
"ASS1P12",-8.37423598470433,-1.54269652551022,76.7600605227982,1.93042372037196e-18,5.11157135241207e-16
"AC012615.3",-9.32977176045278,0.715910422553055,76.1919420794492,2.57389877785133e-18,6.73231475455552e-16
"AC025257.1",-9.71302168690682,-0.286190564550917,76.1566039266665,2.62037409235263e-18,6.77129922081676e-16
"AC024075.3",-7.83913884258622,-0.122792046472844,76.0806830780672,2.72308083408853e-18,6.95293306303938e-16
"AP4B1-AS1",-6.15538452403074,-0.951467145221353,75.9949056665892,2.84397495142667e-18,7.1761852656705e-16
"AC005253.1",-6.39886967581413,0.48292120219575,75.7710167715513,3.1854253749971e-18,7.94430272592299e-16
"AC099518.5",-8.13773894735679,1.21546414651752,74.9715217906404,4.77552955378686e-18,1.1773052628692e-15
"AC104117.2",-7.49750798873384,0.303818866172258,74.8533444308049,5.07011014782557e-18,1.2357241187564e-15
"HIST1H3C",7.54737699102234,4.93374226817256,74.2449357258813,6.90016086698725e-18,1.66286123904654e-15
"RPS28P7",-5.69890173271803,1.788102883409,73.9254279378608,8.11245345098313e-18,1.93328779574096e-15
"AC064799.1",-5.24874097689581,1.30091497236751,73.8665855047584,8.35792000300611e-18,1.96989745301621e-15
"AL031846.2",-9.43143294408743,-0.554655718971649,73.8265691963078,8.52908258177741e-18,1.98838873058654e-15
"AL031714.1",-8.34449174755748,0.853294660498071,73.5276964670703,9.92339177805461e-18,2.28856889092167e-15
"EIF4A1P7",-6.13143749872452,-1.00032395674525,73.4809045999972,1.01614472599853e-17,2.3185395833209e-15
"AC069234.3",-9.18984016739478,-0.78565142582969,73.4053172051274,1.05581284220469e-17,2.36320969145379e-15
"AC115618.2",-9.14670516435307,-0.826461430471394,73.4016824678523,1.05775890702892e-17,2.36320969145379e-15
"SNRPGP15",-6.85424441935564,-1.68752965954608,73.1175191961097,1.22155402529304e-17,2.70101966334898e-15
"AC099336.1",4.98285238763946,-0.320725239612923,72.294240930662,1.85387627931465e-17,4.05734065701436e-15
"RBM5-AS1",-7.09964047773383,-0.787177812275928,72.1183568654418,2.0266964097054e-17,4.39076612074357e-15
"HIST1H2BO",6.87185469841746,3.6360390248924,71.9764522419923,2.17780738185876e-17,4.67096127261067e-15
"AC083873.1",-5.79801593299109,0.531467036341119,71.5824565720558,2.65910415511971e-17,5.64677880386214e-15
"HNRNPKP2",-4.86063925733868,0.811147150017516,71.4543187918245,2.8375203362877e-17,5.96658197771555e-15
"HIST1H3J",7.19407300329578,2.60032595600195,71.3578912946702,2.97963793384812e-17,6.20458974807519e-15
"AC027309.2",-6.04324697326634,-1.05880175977601,71.2298605929247,3.17939672317922e-17,6.55689431911037e-15
"AL122010.1",-8.32055728709146,-1.59150615830565,71.0312167497762,3.51617225134264e-17,7.18236785207589e-15
"HIST1H4D",8.3996944461657,3.19720119342413,70.5651864986066,4.45306377283851e-17,9.0103124339472e-15
"AC008635.1",-7.85803662256924,-2.00343998660626,70.5161664024333,4.56510099545297e-17,9.15068094864254e-15
"AL133415.1",-12.2673784951733,2.22215562813976,70.2715529471484,5.16775649033946e-17,1.02627815930371e-14
"AC005726.3",-7.86598308141455,-1.99569862642582,70.0778493449744,5.70095558984752e-17,1.12178069257844e-14
"AC099850.3",-8.41495465884605,-1.50576055515042,69.5272299218026,7.53668168250162e-17,1.45652990125434e-14
