Kids_First_Biospecimen_ID,count_regions_any_conf,count_regions_high_conf,count_regions_low_conf,any_regions,any_regions_logical,experimental_strategy.x,genome_size.x,cnv_breaks_count,breaks_density.x,experimental_strategy.y,genome_size.y,sv_breaks_count,breaks_density.y,count_regions_any_conf_truncated
BS_007JTNB8,0,0,0,No Calls,FALSE,WGS,2719487222,40,0.014708655248095883,WGS,2719487222,194,0.07133697795326503,0
BS_00TRPEQX,2,2,0,High Confidence,TRUE,WGS,2719487222,100,0.03677163812023971,WGS,2719487222,888,0.3265321465077286,2
BS_01DQH017,0,0,0,No Calls,FALSE,WGS,2719487222,0,0,WGS,2719487222,104,0.038242503645049296,0
BS_01Y5F4PN,0,0,0,No Calls,FALSE,WGS,2719487222,4,0.0014708655248095884,WGS,2719487222,120,0.044125965744287655,0
BS_02W5H7K5,0,0,0,No Calls,FALSE,WGS,2719487222,6,0.0022062982872143827,WGS,2719487222,128,0.04706769679390683,0
BS_02YBZSBY,0,0,0,No Calls,FALSE,WGS,2719487222,16,0.0058834620992383535,WGS,2719487222,130,0.04780312955631162,0
BS_03SSN1N2,0,0,0,No Calls,FALSE,WGS,2719487222,6,0.0022062982872143827,WGS,2719487222,38,0.01397322248569109,0
BS_04B8X54S,0,0,0,No Calls,FALSE,WGS,2719487222,10,0.003677163812023971,WGS,2719487222,106,0.038977936407454096,0
BS_05S9WJW6,0,0,0,No Calls,FALSE,WGS,2719487222,46,0.016914953535310268,WGS,2719487222,52,0.019121251822524648,0
BS_06GEF6DB,0,0,0,No Calls,FALSE,WGS,2719487222,28,0.010296058673667119,WGS,2719487222,68,0.025004713921763004,0
BS_06GPPDHZ,0,0,0,No Calls,FALSE,WGS,2719487222,0,0,WGS,2719487222,144,0.05295115889314518,0
BS_090GV72Q,0,0,0,No Calls,FALSE,WGS,2719487222,4,0.0014708655248095884,WGS,2719487222,68,0.025004713921763004,0
BS_0DKPGQWD,0,0,0,No Calls,FALSE,WGS,2719487222,20,0.007354327624047942,WGS,2719487222,144,0.05295115889314518,0
BS_0EN5R1AP,0,0,0,No Calls,FALSE,WGS,2719487222,0,0,WGS,2719487222,738,0.2713746893273691,0
BS_0FQKT8EY,1,0,1,Low Confidence,TRUE,WGS,2719487222,40,0.014708655248095883,WGS,2719487222,312,0.1147275109351479,1
BS_0J5GC803,0,0,0,No Calls,FALSE,WGS,2719487222,0,0,WGS,2719487222,400,0.14708655248095884,0
BS_0J5MCBZV,1,1,0,High Confidence,TRUE,WGS,2719487222,68,0.025004713921763004,WGS,2719487222,576,0.21180463557258072,1
BS_0Q8G4N8H,0,0,0,No Calls,FALSE,WGS,2719487222,0,0,WGS,2719487222,122,0.04486139850669245,0
BS_0QEBZX3M,0,0,0,No Calls,FALSE,WGS,2719487222,0,0,WGS,2719487222,36,0.013237789723286295,0
BS_0RF0G9SQ,0,0,0,No Calls,FALSE,WGS,2719487222,68,0.025004713921763004,WGS,2719487222,150,0.05515745718035957,0
BS_0S617SMM,0,0,0,No Calls,FALSE,WGS,2719487222,30,0.011031491436071914,WGS,2719487222,698,0.2566660340792732,0
BS_0SFXXBQ5,0,0,0,No Calls,FALSE,WGS,2719487222,4,0.0014708655248095884,WGS,2719487222,132,0.048538562318716415,0
BS_0W8AWY10,0,0,0,No Calls,FALSE,WGS,2719487222,4,0.0014708655248095884,WGS,2719487222,102,0.0375070708826445,0
BS_0XD58YD9,0,0,0,No Calls,FALSE,WGS,2719487222,0,0,WGS,2719487222,42,0.015444088010500678,0
