PC1	PC2	Kids_First_Biospecimen_ID
-260719.93593947004	19297.893137898966	BS_014EVM2D
181610.50907431223	102499.95612616738	BS_02EBZYZ3
-5088.732888125791	-52245.21536080262	BS_02NZT8CE
-307719.5640057841	-57620.307449734166	BS_03FT4S8B
-358349.2478317492	-12688.600707494197	BS_0448A413
89378.44383163967	-68913.38573097975	BS_044XZ8ST
-225080.2458105108	1192.1669445133084	BS_052PZFMK
-57227.02433800792	10490.260139409256	BS_063ERW0R
-19427.67791079445	-65137.68492647444	BS_06AMMCXR
-182292.95903206352	45893.955488917236	BS_06XH7EVF
-76591.8630596186	72649.80972933007	BS_07ANYSYQ
-206764.91259579262	16879.96332045488	BS_08HWDBX5
-391022.6851497806	54687.638122105025	BS_09R7GDA7
-17446.402932699973	-32171.5432675115	BS_09Z7TC35
665271.2140582182	80617.75659031654	BS_0BXY0F9N
102063.01344949783	-9763.889153118189	BS_0C7VZC0A
158403.61827748234	242785.96173052426	BS_0DEVPYPE
32140.88076873455	-99252.1742040672	BS_0FRZD0VR
-279237.66315179603	23115.48280942808	BS_0GDJQANN
-127692.4755415595	-11003.965888322691	BS_0HW7W7SD
-100795.8006711072	-8811.436452554672	BS_0J9SHHSC
75691.41587825367	-20364.331722451832	BS_0MK8N9KZ
363525.2519182103	161998.08140195478	BS_0QYS36NR
614428.5498166883	-301421.4473514408	BS_0RF0EZTV
-166846.49967901365	173815.11698721853	BS_0RQ4P069
-226389.95274754261	77691.38256132134	BS_0SCXXM6N
406193.44079847104	326577.7512612253	BS_0SPCTBZY
521833.64752776385	-235460.88942999727	BS_0T17SY47
123184.80176660989	28763.358229881545	BS_0VRSD9V3
-691285.0028583286	154209.29953908955	BS_0VXZCRJS
-13626.325606084583	-86981.07490455869	BS_0WQJP6ZG
426090.2032395033	72439.6669375116	BS_0WVJYM9R
20912.147245718526	141091.52464597303	BS_0X9EGHY2
-400558.9910960344	24072.992196364536	BS_0XEG6SNV
-30984.587601671235	-119463.71514943188	BS_0Y66ZBWE
-118170.63215738197	64265.43017921483	BS_1021ZGQT
-387686.2912872202	-54353.960349828034	BS_10APZRVT
-162942.6847807292	71136.05600929822	BS_11WY983P
-117427.47158644792	46959.186241138865	BS_13CGKADW
231724.12072674604	190599.4388773717	BS_15ETQ0E4
-238385.54772287852	25292.768407292257	BS_1607397Q
-38745.998210470185	-132399.97277309734	BS_17WYVEEC
6078.764310908375	-16286.379494512534	BS_196BBNEJ
-203954.29119528938	34555.13327734665	BS_1A6MQ9ZA
-63946.757379666924	-24869.46025442826	BS_1AYRM596
-483613.11650256807	-44176.65515052767	BS_1BWP5MCT
-41933.091930313625	-29067.805063242464	BS_1D6PZNKN
-143752.58860531938	-77061.77895778275	BS_1EBQ3T20
-143410.60742779507	-7582.865334236133	BS_1EN5V3XW
-83234.9069585863	68080.56452211023	BS_1G3WYEN3
-417321.1380974388	-17249.839103674985	BS_1HFK0SXV
-322133.20229806093	-56054.81329911499	BS_1HQ76V6D
229558.50499662606	125270.50325295657	BS_1J2WQ08M
101171.43587203551	-7347.402531509029	BS_1JDG6JV5
276958.07164591126	107415.90348080656	BS_1KYGSMA7
-165156.05096305543	-136408.38644886	BS_1N9XZXGE
129756.51104568818	31398.378485157584	BS_1NPD7PVG
105984.17542396023	-76422.70385949385	BS_1QNTEZPS
-174235.007321701	-302331.93238742306	BS_1QXEC43H
-73679.77800310728	48981.65642719797	BS_1RT76ANT
