Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	Splice_Site	3'UTR	Splice_Region	total	Amp	Del	CNV_total	MutatedSamples	AlteredSamples
H3F3A	0	0	0	0	0	0	0	33	0	0	0	0	0	33	0	0	0	33	33
TP53	0	0	0	0	0	0	0	24	0	2	1	0	1	28	0	0	0	24	24
ATRX	0	0	4	0	1	0	0	4	0	1	1	0	0	11	0	1	1	11	11
PIK3CA	0	0	0	0	0	3	0	5	0	0	0	1	0	9	0	0	0	9	9
MET	2	0	0	0	1	0	0	0	3	1	0	1	0	8	2	0	2	7	8
NF1	0	0	2	0	1	0	0	1	0	4	1	0	0	9	0	0	0	6	6
PPM1D	0	0	1	1	0	0	0	0	0	4	0	0	0	6	0	0	0	6	6
PTPN11	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	4	4
PTEN	0	0	0	1	0	0	0	2	0	0	1	0	0	4	0	0	0	3	3
ACVR1	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	3	3
NTRK3	1	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	3	3
PDGFRA	0	0	0	0	1	0	0	2	0	0	0	0	0	3	2	0	2	3	5
BRAF	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	2	2
BCOR	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
DDR2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	2
EGFR	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	1	2	3
FYN	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	2
HIST1H3B	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	2
IGF1R	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	2
PIK3R1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	2	2
ROS1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
TERT	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
PDGFC	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	1
ALK	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
ASXL1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
ATM	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
CCND1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
CDK6	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1
CIC	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1
FOSB	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
HIST1H3C	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1
KIT	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	2	1	3
KMT2C	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1
KRAS	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
MAFK	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
NTRK2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1
PIK3C2B	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1
YES1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
KDR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
MYC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
