Hugo_Symbol	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Splice_Site	3'UTR	Silent	total	MutatedSamples	AlteredSamples
BRAF	0	1	1	76	1	6	1	0	1	1	88	82	82
KIAA1549	0	0	0	75	0	0	0	0	0	0	75	75	75
KRAS	0	0	0	0	0	2	0	0	0	2	4	2	2
FGFR1	0	0	0	0	0	3	0	0	0	0	3	2	2
RAF1	0	0	0	1	0	0	1	0	0	0	2	2	2
ALK	0	0	0	1	0	0	0	0	0	0	1	1	1
H3F3A	1	0	0	0	0	0	0	0	0	0	1	1	1
NTRK2	0	0	0	1	0	0	0	0	0	0	1	1	1
PIK3CA	0	0	0	0	0	1	0	0	0	0	1	1	1
PRKCA	0	0	0	1	0	0	0	0	0	0	1	1	1
QKI	0	0	0	0	0	0	0	0	1	0	1	1	1
TP53	0	0	0	0	0	0	0	1	0	0	1	1	1
TSC1	0	0	0	1	0	0	0	0	0	0	1	1	1
