Hugo_Symbol	3'Flank	5'Flank	Missense_Mutation	3'UTR	Silent	5'UTR	total	Del	CNV_total	MutatedSamples	AlteredSamples
IGFN1	0	0	1	0	1	0	2	0	0	2	2
PTCH1	0	1	0	1	0	0	2	0	0	2	2
BCOR	0	1	0	0	0	0	1	0	0	1	1
CDK6	0	1	0	0	0	0	1	0	0	1	1
DDX3X	0	0	0	0	0	1	1	0	0	1	1
KMT2C	0	0	1	0	0	0	1	0	0	1	1
KSR2	0	0	0	1	0	0	1	0	0	1	1
TCF4	1	0	0	0	0	0	1	0	0	1	1
SMARCB1	0	0	0	0	0	0	0	2	2	0	2
