gene
H3F3A
BRAF
TP53
CTNNB1
ATRX
EGFR
NF1
DDX3X
FGFR1
KMT2D
NF2
PPM1D
KIAA1109
MAGEL2
KDM6A
KMT2C
PTEN
RYR2
FSIP2
LRP1
KIAA1549
PCLO
SETD2
SMARCA4
ATM
DNHD1
FBN2
BCOR
PIK3CA
PDGFRA
PIK3R1
ADGRV1
PRKDC
CCDC168
MYH14
MYO10
CENPF
DNAH14
LRP1B
PTPRZ1
COL4A3
IGSF10
PTPN11
MUC5AC
RP1L1
CELSR1
PHLPP1
IDH1
KRAS
STAG2
BANCR
C22orf39
CDC45
CLDN5
FAM122A
FXN
GNB1L
HIRA
LINC01506
MIR130B
MIR301B
PGM5
PIEZO2
PIP5K1B
PPIL2
PRKACG
TJP2
TMEM252
TMEM252-DT
UBE2L3
UFD1
YPEL1
