hallmark_name	comparison	pathway_score_difference	tukey_p_value	bonferroni_pvalue	significant_tukey	significant_tukey_bonf
HALLMARK_FATTY_ACID_METABOLISM	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.18807877899865386	0.043174441245319106	1	FALSE	FALSE
HALLMARK_G2M_CHECKPOINT	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.45662937148849797	0.015219371277258809	0.7609685638629404	FALSE	FALSE
HALLMARK_GLYCOLYSIS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.012783322174727857	0.9086037192974928	1	FALSE	FALSE
HALLMARK_HEDGEHOG_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.06922937291701989	0.5044836885565915	1	FALSE	FALSE
HALLMARK_HEME_METABOLISM	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.25989718715950944	0.0010792935046944896	0.05396467523472448	TRUE	FALSE
HALLMARK_HYPOXIA	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.22444555166437938	0.07591674796634784	1	FALSE	FALSE
HALLMARK_IL2_STAT5_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.3286463376307484	0.00921160942097543	0.46058047104877153	TRUE	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.4772348542974239	0.0014284199721233959	0.0714209986061698	TRUE	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.4612907968073288	0.0014491314685189938	0.07245657342594969	TRUE	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.4854912810424816	0.011424285123362687	0.5712142561681344	FALSE	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.4691915242235084	0.005444899446508611	0.27224497232543055	TRUE	FALSE
HALLMARK_KRAS_SIGNALING_DN	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.05933682027585013	0.34477891927297166	1	FALSE	FALSE
HALLMARK_KRAS_SIGNALING_UP	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.31995554458988607	0.002044058785210856	0.1022029392605428	TRUE	FALSE
HALLMARK_MITOTIC_SPINDLE	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.20137562345250357	0.08782765405418902	1	FALSE	FALSE
HALLMARK_MTORC1_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.0178046469844695	0.895329645441727	1	FALSE	FALSE
HALLMARK_MYC_TARGETS_V1	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.516474613721307	0.002600778143687532	0.1300389071843766	TRUE	FALSE
HALLMARK_MYC_TARGETS_V2	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.5037334958376518	0.00440806248784209	0.22040312439210452	TRUE	FALSE
HALLMARK_MYOGENESIS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.2684025826084005	0.0027823888102271876	0.13911944051135938	TRUE	FALSE
HALLMARK_NOTCH_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.1803879111329961	0.10015366461684128	1	FALSE	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.04813725477475128	0.7484577528406056	1	FALSE	FALSE
HALLMARK_P53_PATHWAY	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.16630593852258785	0.10259614108278992	1	FALSE	FALSE
HALLMARK_PANCREAS_BETA_CELLS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.15101084313493507	0.05182435484867021	1	FALSE	FALSE
HALLMARK_PEROXISOME	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.17744255940211484	0.04286720606616612	1	FALSE	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.10281168706527083	0.3737022659468441	1	FALSE	FALSE
HALLMARK_PROTEIN_SECRETION	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.24760372557780336	0.0816683708635727	1	FALSE	FALSE
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.12163228997016487	0.3653335572820894	1	FALSE	FALSE
HALLMARK_SPERMATOGENESIS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.09718044248249111	0.147473909727032	1	FALSE	FALSE
HALLMARK_TGF_BETA_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.1928118737772544	0.08736801919533976	1	FALSE	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.5085922025082763	0.0011446419674995267	0.05723209837497634	TRUE	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.18221834949423465	0.18079046148601696	1	FALSE	FALSE
HALLMARK_UV_RESPONSE_DN	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.16596759833566968	0.13459762196422775	1	FALSE	FALSE
HALLMARK_UV_RESPONSE_UP	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.14607110796246975	0.1296436972433046	1	FALSE	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.12065046697263238	0.25680963398827594	1	FALSE	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.24453424769034954	0.0057853698243931495	0.2892684912196575	TRUE	FALSE
