sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_0VXZCRJS	0.7193414470702983	0.23901597638819852	0.7694147776801357	0.7145130845110855	0.5351872429322704	0.41300529552370535
BS_0ZA67BBC	0.4714906890318009	0.5808189600522408	0.4312058468334133	0.48408856106658527	0.5706489545324178	0.5283448364716147
BS_1N7MQZGR	0.39695767419086914	0.39151610480712457	0.509708069843575	0.3446404311266861	0.7243990515360303	0.5509787158171383
BS_21ET39G7	0.47146599304945225	0.16293983243955656	0.5125904272147344	0.5449008735689143	0.6469914844961546	0.43340208428659227
BS_2JP7RBMB	0.47526818076417393	0.6855910279776567	0.4402670583155919	0.6400456006688368	0.44943799386531114	0.3494895668273443
BS_3AC3SRWH	0.24468857111483686	0.5262466548027442	0.4832540957412748	0.6457538514743495	0.4244339646409459	0.43522993798091
BS_49CJNZ06	0.7668270049142443	0.9253191413436341	0.4996638515107221	0.5107596087577401	0.5159020354913952	0.6293828653792304
BS_4PPHAQXF	0.4999182651749934	0.13775449543748602	0.7330282607179053	0.5271649253976703	0.475715599634073	0.44775283570657837
BS_4PWDGEB0	0.2142862742121957	0.009817514172319809	0.5397820486622079	0.3224540637645024	0.5378469629630227	0.5793680620465627
BS_58YXHGAJ	0.2939660303909371	0.575641145607676	0.43832005052534784	0.5661464299884045	0.35841665581807625	0.48609684329140695
BS_5VPM0F36	0.6456788262731873	0.16286647258192113	0.5511935837133425	0.4954404120866457	0.6712226853989645	0.5498746108677357
BS_685DACMS	0.5617482089552872	0.13539325100829375	0.44250575153927013	0.45420394160598804	0.5617410006722464	0.4673262838968026
BS_68KX6A42	0.4662678490718909	0.8527412067193452	0.4882221575829224	0.30485703810482206	0.5157468736580203	0.38076088616240483
BS_6M2053M0	0.40408074704382135	0.7100143631729238	0.4587393237407052	0.48888676193468433	0.30467621011821927	0.41970846157778496
BS_7WM3MNZ0	0.47602894599807316	0.8320359391214801	0.4355328715303415	0.5721395476907202	0.5095276087316101	0.6121803787347385
