fpr	tpr	threshold	gene	shuffled	auroc
0.0	0.0	1.7556264302361366	TP53	True	0.5020408163265306
0.02040816326530612	0.0	0.7556264302361366	TP53	True	0.5020408163265306
0.04081632653061224	0.0	0.7273763964617292	TP53	True	0.5020408163265306
0.061224489795918366	0.0	0.7243990515360305	TP53	True	0.5020408163265306
0.061224489795918366	0.1	0.6712226853989645	TP53	True	0.5020408163265306
0.08163265306122448	0.1	0.6644606338895603	TP53	True	0.5020408163265306
0.10204081632653061	0.1	0.6469914844961546	TP53	True	0.5020408163265306
0.10204081632653061	0.2	0.6383671337308381	TP53	True	0.5020408163265306
0.10204081632653061	0.3	0.6208039826577343	TP53	True	0.5020408163265306
0.12244897959183673	0.3	0.6202724893879643	TP53	True	0.5020408163265306
0.14285714285714285	0.3	0.6181471568957211	TP53	True	0.5020408163265306
0.16326530612244897	0.3	0.6114268986373199	TP53	True	0.5020408163265306
0.1836734693877551	0.3	0.5968314308566627	TP53	True	0.5020408163265306
0.20408163265306123	0.3	0.5862257585883871	TP53	True	0.5020408163265306
0.22448979591836735	0.3	0.5762292252435299	TP53	True	0.5020408163265306
0.24489795918367346	0.3	0.5746244534637777	TP53	True	0.5020408163265306
0.2653061224489796	0.3	0.5706489545324178	TP53	True	0.5020408163265306
0.2857142857142857	0.3	0.5680727352245842	TP53	True	0.5020408163265306
0.30612244897959184	0.3	0.5657294825933734	TP53	True	0.5020408163265306
0.32653061224489793	0.3	0.5637304879801225	TP53	True	0.5020408163265306
0.3469387755102041	0.3	0.5624807970450645	TP53	True	0.5020408163265306
0.3673469387755102	0.3	0.5617410006722464	TP53	True	0.5020408163265306
0.3877551020408163	0.3	0.5583345627659251	TP53	True	0.5020408163265306
0.3877551020408163	0.4	0.5471659740280018	TP53	True	0.5020408163265306
0.40816326530612246	0.4	0.5417083837683143	TP53	True	0.5020408163265306
0.42857142857142855	0.4	0.5378469629630228	TP53	True	0.5020408163265306
0.4489795918367347	0.4	0.5351872429322704	TP53	True	0.5020408163265306
0.4489795918367347	0.5	0.5277811666038691	TP53	True	0.5020408163265306
0.46938775510204084	0.5	0.521009015727224	TP53	True	0.5020408163265306
0.4897959183673469	0.5	0.5176452537728125	TP53	True	0.5020408163265306
0.5102040816326531	0.5	0.5159020354913953	TP53	True	0.5020408163265306
0.5306122448979592	0.5	0.5157468736580203	TP53	True	0.5020408163265306
0.5306122448979592	0.6	0.5095276087316101	TP53	True	0.5020408163265306
0.5510204081632653	0.6	0.5087762399087702	TP53	True	0.5020408163265306
0.5714285714285714	0.6	0.4966782987984791	TP53	True	0.5020408163265306
0.5918367346938775	0.6	0.4955059070575363	TP53	True	0.5020408163265306
0.6326530612244898	0.6	0.4921409162621094	TP53	True	0.5020408163265306
0.6530612244897959	0.6	0.4768895110047513	TP53	True	0.5020408163265306
0.673469387755102	0.6	0.475715599634073	TP53	True	0.5020408163265306
0.673469387755102	0.7	0.4494379938653111	TP53	True	0.5020408163265306
0.6938775510204082	0.7	0.4424819539468288	TP53	True	0.5020408163265306
0.7142857142857143	0.7	0.42443396464094585	TP53	True	0.5020408163265306
0.7346938775510204	0.7	0.4128313233804292	TP53	True	0.5020408163265306
0.7551020408163265	0.7	0.4111314290241507	TP53	True	0.5020408163265306
0.7755102040816326	0.7	0.4046536362658428	TP53	True	0.5020408163265306
0.7959183673469388	0.7	0.40101876047477897	TP53	True	0.5020408163265306
0.8163265306122449	0.7	0.3975086273300377	TP53	True	0.5020408163265306
0.8367346938775511	0.7	0.3921805048577517	TP53	True	0.5020408163265306
0.8571428571428571	0.7	0.3857633517585011	TP53	True	0.5020408163265306
0.8571428571428571	0.8	0.3786930220047498	TP53	True	0.5020408163265306
0.8775510204081632	0.8	0.3584166558180761	TP53	True	0.5020408163265306
0.8775510204081632	0.9	0.348828469103152	TP53	True	0.5020408163265306
0.8979591836734694	0.9	0.34437610703793703	TP53	True	0.5020408163265306
0.9183673469387755	0.9	0.34164707432728	TP53	True	0.5020408163265306
0.9387755102040817	0.9	0.3202274274115479	TP53	True	0.5020408163265306
0.9387755102040817	1.0	0.31147786409444195	TP53	True	0.5020408163265306
0.9591836734693877	1.0	0.3046762101182193	TP53	True	0.5020408163265306
0.9795918367346939	1.0	0.2274191416555759	TP53	True	0.5020408163265306
1.0	1.0	0.19176105488037887	TP53	True	0.5020408163265306
