variable	group1	group2	p.format	p.adj	p.signif	method
tp53_score	all	EPN, ST RELA (N=29)	0.468	1		Wilcoxon
tp53_score	all	EPN, PF A (N=3)	0.065	0.2		Wilcoxon
tp53_score	all	EPN, ST YAP1 (N=4)	0.379	1		Wilcoxon
