"","gene","stranded_over_polya_logFC","average_logCPM","exact_test_pval","lrt_pval","qlft_pval","normalized_count_cv","s1_stranded_BS_HE0WJRW6","s2_stranded_BS_SHJA4MR0","s3_stranded_BS_FN07P04C","s4_stranded_BS_8QB4S4VA","s5_stranded_BS_KABQQA0T","s6_stranded_BS_D7XRFE0R","s1_polya_BS_HWGWYCY7","s2_polya_BS_X0XXN9BK","s3_polya_BS_W4H1D4Y6","s4_polya_BS_QKT3TJVK","s5_polya_BS_7WM3MNZ0","s6_polya_BS_68KX6A42"
"1097","KYAT3",0.14064643502009,1.00388029642255,0.726167460899286,0.727648157339226,0.77673025214907,0.366723336058401,124.045637346902,88.3519271827096,165.744865432353,71.3483022864157,69.3464110854187,96.8926535693634,157.444945380304,100.3379141407,203.9916531462,78.021398504868,99.6620858592999,146.751652989178
"1098","DXO",0.0622083642234277,0.938752400040232,0.880345776067556,0.877630705579347,0.895790824210018,0.366735885295989,152.938289050987,85.9804178377868,102.920287988912,63.7466813249601,97.0797120110882,93.3922640668875,150.960076795044,198.284758975379,61.7223546033199,80.6539035718696,141.334404416758,123.296637363026
"1099","PRCC",-0.0346977221763332,0.938745787684359,0.935928503708331,0.931505725955671,0.93672562083405,0.366769854106263,145.93895198085,155.974358332549,74.3919297514835,84.47466356191,71.6983460022086,82.804162339855,167.966918884529,205.128193356378,101.194407311491,118.650584015182,90.8529943623409,98.8055926885091
"1100","SLC35B2",-0.000601519060680577,0.862771761125804,1,0.998805252012916,0.998886202381002,0.366879474261165,77.3906976907717,141.82645336296,121.062984395889,83.5264333107319,57.384788940797,91.8759418185687,114.8361613324,165.465631253127,191.513028617206,96.5146741423951,68.0182106921871,103.485325857605
"1101","AC008840.1",-0.0929495359789,0.818762809173949,0.823113357899239,0.818395719837145,0.837959153286755,0.367177624313775,62.1543902794254,37.5412252426615,98.2362522325705,118.616916129069,101.76374776743,107.111617032328,85.7176951730324,97.6666290886179,82.8999460827571,123.162057689606,181.390228500749,153.911708076977
"1102","NDUFB4",-0.335117009976479,0.814094572340149,0.413083921451869,0.408210573723896,0.429226462239571,0.367266834906206,94.2376511949403,127.765312528612,82.3425524870642,83.8126464279026,62.1821770438146,47.0699684758941,189.337726291728,150.843245452097,115.602295215518,105.76234880506,121.305466960804,89.4765292727811
"1103","MRPS17",-0.195347464087725,0.858624730916054,0.632273880794818,0.628841962236756,0.627362205300948,0.367267066424797,80.6458990621015,135.74060385344,52.2327416393243,143.155149265191,77.0844179140183,84.7482580601799,148.679826054761,149.216377522698,82.4050321881972,193.911964096501,94.3413961408016,105.658603859198
"1104","NUDT4",0.411316818787265,0.964220584614814,0.312350133444725,0.309437721354708,0.430634300211144,0.367356834306295,75.4885407761921,61.2242991117864,164.072845927892,148.709124881265,134.520095688117,82.4682567191018,85.0573740045971,61.7731734349766,175.301979382261,130.43375696286,114.942625995403,81.2241793664598
"1105","FAM192A",0.263886497569607,0.861809218554809,0.521155782740744,0.514470967937196,0.590028809284398,0.367360070782713,70.4516181877216,58.449430087007,111.764976848408,127.473135288141,159.723707107138,85.3835987011156,73.5200611175518,53.5974735492421,100.285428848443,135.15503863919,169.068677889618,99.7145711515573
"1106","YY1AP1",0.165187938044824,0.957763624086625,0.684253774252717,0.682408649407394,0.711572124819417,0.367576538650954,156.890550767694,125.822812190475,83.6265971451526,86.802549524662,97.755994252849,102.244005747151,141.777071958069,229.424687034658,76.6310270747256,95.1758632342163,96.512793019302,105.792688087156
"1107","USO1",0.0137770432255576,0.810758036014648,0.973731419924995,0.972830825193797,0.972868003283206,0.367613364810663,119.421600429694,102.007319761954,79.8655161022449,54.2132317853019,74.1142795103713,127.069142809468,190.626341667524,97.9926802380464,129.92033302931,63.8392139903732,94.3209854647991,155.346594113601
"1108","NNT-AS1",0.086381715218142,0.944378548106623,0.837544687655367,0.830639933638159,0.857058835215861,0.367711743911623,57.8031368068284,107.195184341462,92.0718876952097,156.257535520522,153.472374613273,77.7122886812177,71.7667470587903,86.1890347941586,104.18182590401,173.49990115285,177.854790757323,95.81817409599
"1109","NDUFAF8",-0.241922077575565,0.920503793963579,0.554426125146014,0.549318273204091,0.562257676933757,0.367840575448038,100.969148500784,161.095956936156,56.4130000064872,78.3138408672008,87.7723837998289,99.0308514992156,174.962771620399,166.814339647542,71.1341949289265,96.3101693902402,167.658866188865,149.775379560079
"1110","CHRAC1",0.0489158500354924,0.830479649997206,0.905318623595614,0.903809675073363,0.915224118343343,0.367899095950926,74.7664789609742,106.451380018343,132.91350728588,58.5452418842455,107.6873131591,68.0992016329756,97.7670105231716,135.478661673231,196.366410479939,71.518407133204,102.232989476828,88.7552155490217
"1111","APEH",0.0714940136897358,0.971932879536894,0.859907576206016,0.859493495266066,0.882437473030666,0.368085713258511,112.751180060479,121.890490735211,141.130037683904,79.3109351781845,78.6600737746779,77.2352882244887,171.662254290089,135.673871664056,205.851112235014,87.2488199395211,78.5969621402938,85.8430914905667
"1112","CTDSPL2",0.225848531894561,0.979643326476321,0.580881457135304,0.576013713916883,0.642640365775619,0.368093012897927,80.6739225894312,121.34171745849,128.27462999694,182.491237109863,93.2586727646181,67.5251759590933,106.741327235382,83.2495301116169,161.892633705981,190.283741971866,90.0307244686014,76.0207576470162
"1113","PICK1",0.460718342264145,0.965137594636556,0.256466842918098,0.255198745120941,0.366746556809886,0.368139161435441,82.8422869293491,98.5567322609733,208.460577489117,74.6066318802251,102.797110185254,87.1762226440222,73.2289440917634,172.591159323127,109.67690897434,97.5854696008884,105.951733633805,101.443267739027
"1114","NYAP1",0.250125897484475,0.885756154846394,0.5485278426625,0.536144585062941,0.590166642169753,0.3681983480077,98.0804136047549,91.6447693230668,62.2133547875939,133.987298813282,163.616258544412,107.014604345951,64.9699830531849,101.919586395245,55.5445530346128,172.610159998443,157.659646578183,96.108150007525
"1115","ZNF610",0.417187684260152,0.867724721735813,0.308997247170104,0.302837284983624,0.365317771227703,0.368424482711827,107.864853873635,96.3213234372679,68.4588768399521,163.714305879667,147.703361482349,97.115521820333,70.9684517805015,67.100409549178,53.0793109076061,160.562506911816,150.642323779687,102.884478179667
