"","stranded_over_polya_logFC","average_logCPM","LR","PValue","BH FDR"
"AL355075.4",12.8990840511929,9.16396819893905,391.423666372019,4.05456996331516e-87,8.69624165731835e-83
"AC124312.3",11.8237542550665,7.45342206579805,346.636333146097,2.28894676423196e-77,2.45466650996235e-73
"FP236383.3",-14.944165042021,5.11645156055786,337.031821661635,2.82680112980099e-75,2.02097435439905e-71
"FP671120.3",-14.1455062025565,4.31891320804649,307.721853093826,6.84714424124858e-69,3.63984998559515e-65
"TGFB2-OT1",-12.452001082831,4.76404125568972,307.294229988612,8.48528997014908e-69,3.63984998559515e-65
"FP236383.2",-13.6565782220909,3.83116748312749,289.805665270971,5.48150912504012e-65,1.95945679523101e-61
"AL133415.1",-11.5962439954466,4.42335295252847,288.481632625463,1.06511810583723e-64,3.26352187628528e-61
"HEPN1",-9.88812345648804,8.22150336814349,287.387615210858,1.84408126609548e-64,4.94398187440198e-61
"RPL17P19",10.4961567536891,4.15048375343856,274.428810516142,1.22941297712541e-61,2.92982772593175e-58
"PCF11-AS1",10.8777103894711,3.42867446605022,264.559638072342,1.74042955120375e-59,3.7328733014218e-56
"AC091564.5",-9.96226091474127,4.32419453309921,260.398307710306,1.40505984840863e-58,2.73961123896984e-55
"MT-RNR2",-12.4776165581449,2.83356866480147,252.183076849461,8.67995247179533e-57,1.10927732690122e-53
"RNA5-8S5",-10.8430854054583,3.30020783486404,251.935879200286,9.82668277281012e-57,1.10927732690122e-53
"RNA5-8SN2",-10.8430854054583,3.30020783486404,251.935879200286,9.82668277281012e-57,1.10927732690122e-53
"RNA5-8S4",-10.8430854054583,3.30020783486404,251.935879200286,9.82668277281012e-57,1.10927732690122e-53
"RNA5-8SN3",-10.8430854054583,3.30020783486404,251.935879200286,9.82668277281012e-57,1.10927732690122e-53
"RNA5-8SN4",-10.8430854054583,3.30020783486404,251.935879200286,9.82668277281012e-57,1.10927732690122e-53
"RNA5-8SN5",-10.8430854054583,3.30020783486404,251.935879200286,9.82668277281012e-57,1.10927732690122e-53
"RNA5-8SN1",-10.8430854054583,3.30020783486404,251.935879200286,9.82668277281012e-57,1.10927732690122e-53
