"","stranded_over_polya_logFC","average_logCPM","LR","PValue","BH FDR"
"RPL7AP30",-7.87004345285487,5.86994968237028,60.6949667618112,6.66403115286214e-15,1.80924228058971e-12
"AC026464.3",8.57117187275453,6.29779162676356,60.3273316317699,8.03242852644464e-15,2.15349408793981e-12
"AC025262.3",-8.50899235566519,6.3746210859225,60.3012709058687,8.13948316517734e-15,2.15525475218177e-12
"Z74021.1",-5.08198407268576,5.24666836033728,60.2256696532193,8.45819076755044e-15,2.21233262905392e-12
"MT-RNR1",-11.302183548964,6.56064732189924,59.9102878566007,9.92811365808993e-15,2.56494288681955e-12
"AC124068.1",-9.15560105570588,5.92950411839108,59.8713659524052,1.01264047744083e-14,2.56494288681955e-12
"SCARNA12",7.07585352049507,6.01474766802475,59.8638678824507,1.0165057132584e-14,2.56494288681955e-12
"AC083873.1",-5.81933362385254,5.18957626186015,59.7671093014549,1.06772909179577e-14,2.66286669312043e-12
"AL390318.1",8.07176282965847,5.69961530472987,59.7024777370686,1.10337543586538e-14,2.72013751131502e-12
"ZACN",-9.13292342758566,6.69536431275693,59.4784203926616,1.23642523272233e-14,3.01350549902598e-12
"AC108688.1",9.24310129437037,6.70997912050868,59.4276839545574,1.26871677324892e-14,3.05746487108347e-12
"AC011477.3",-8.85317451395596,6.57284836585498,59.3450033946939,1.32315719673356e-14,3.15323061728239e-12
"AC025257.1",-9.65435187071344,7.11723557233081,59.2058215358142,1.42013085870901e-14,3.34713919314184e-12
"AC005944.1",-11.2447134678267,6.90951995101438,59.0735967484053,1.51883616782476e-14,3.54086936168537e-12
"AC135050.7",-3.6136592877309,4.7942339514131,58.8225658172776,1.72550939214547e-14,3.97943284330494e-12
"AC008735.2",-9.52412093193841,6.69122719326594,58.5612853671147,1.97056106701809e-14,4.4962333792983e-12
"HIST1H4B",7.94939583214661,5.40534318091475,58.4766627358014,2.05716707318295e-14,4.64443361953977e-12
"Telomerase-vert",9.42094312293227,6.27227949258187,58.3883631292509,2.15159905340317e-14,4.80703088514490e-12
"AC005253.1",-6.32523477605196,5.3200890467948,58.1230577672736,2.46223351562452e-14,5.40661295464527e-12
"AC136632.1",-4.50630916844472,5.15117553706803,58.1162535768764,2.470764562922e-14,5.40661295464527e-12
"POMK",3.76469326227078,4.85654851646337,58.096584244676,2.49559251449964e-14,5.40661295464527e-12
"AC010468.1",-7.80644791251356,5.76718596378079,57.8761171391932,2.79155901381783e-14,5.98733577283647e-12
"AL138478.1",-10.136036617012,6.49546565986867,57.5302566078144,3.32819969649605e-14,7.06764624657893e-12
"RBM15",2.38608805552547,4.77682815889037,57.4863502753499,3.40332937971579e-14,7.15633417021022e-12
"HIST1H3C",7.63118611871364,5.71583361441436,57.2282698185369,3.88053024804369e-14,8.08054492815932e-12
"TMX2P1",-4.6469455322152,5.20907072085332,57.0403339882989,4.26964767291892e-14,8.80532723930432e-12
"AC019205.3",-9.47988521012895,5.98162668759537,56.8765907001109,4.6403686458335e-14,9.47872635388923e-12
"ZNF460",5.62099770097395,5.52029996684607,56.8154613619115,4.78687940157704e-14,9.68575371745513e-12
"AC099336.1",5.06743916816429,5.32899419951497,56.7383561165277,4.97829922133251e-14,9.97893099991959e-12
"AL031729.1",-4.97055638437666,5.11336981517618,56.6960775861852,5.08649086470792e-14,1.01013940802088e-11
"MT-RNR2",-12.5209696348423,6.85082747691707,56.5876676046364,5.3747872998897e-14,1.05760034869756e-11
"AC012615.3",-8.87541432413737,6.01033155521984,56.5617997920695,5.44596014368501e-14,1.06186321056142e-11
"AC011558.1",-9.3073732491631,7.12892118956088,56.1226551350201,6.80880137370354e-14,1.31563217894769e-11
"CICP27",-7.14938586936822,5.30095924505232,56.0363674272976,7.11427987751635e-14,1.36238459654438e-11
"AC114491.1",-7.1107892837857,5.98800120861852,55.9679220529727,7.36631588517244e-14,1.39816586818742e-11
"AC019163.1",6.18784499062563,5.11919509128623,55.850510682746,7.81964237173315e-14,1.47119025955204e-11
"AC135457.1",-9.19833570205542,6.6490178611481,55.7665666678377,8.1607664170366e-14,1.52201841837044e-11
"AP000842.4",-10.1049433337759,7.26117004311873,55.479378014882,9.4444621483147e-14,1.74624848411253e-11
"COX7CP1",-9.85544903060719,6.74019466336237,55.2693211668298,1.05096160323689e-13,1.92658328771152e-11
"AL133415.1",-11.9918186760979,8.61819895632448,55.031374528056,1.1862109840319e-13,2.15545218162522e-11
"HIST1H3F",8.35126192569598,6.14730184760588,55.0153689920678,1.19591015299049e-13,2.15545218162522e-11
"AC006449.7",-8.78381285577802,6.38351096016509,53.8287749396522,2.18745466047355e-13,3.90971062981972e-11
"AC005912.1",-5.14019706684972,5.28196421224633,53.7035884653549,2.33137045794251e-13,4.12808937307913e-11
"AC064799.1",-5.2254906530853,5.42496902141229,53.6895156755583,2.34812991195288e-13,4.12808937307913e-11
"FP236383.2",-13.8064773310257,7.97480805490584,53.6615306265314,2.3818167240945e-13,4.15326870718528e-11
"HIST1H1E",7.99496835890178,6.05559479103607,53.5595954022409,2.50866136656028e-13,4.33917491854717e-11
"HIST1H2AB",8.38369461129047,6.21254305659258,53.2325857726083,2.96302588130207e-13,4.92117158809762e-11
"MTRNR2L12",-9.50425203217422,7.0433004804425,53.2030678154108,3.00788674522436e-13,4.92117158809762e-11
"RNA5-8S5",-11.4202614559611,7.69127223895966,53.1746997483817,3.0516403450997e-13,4.92117158809762e-11
"RNA5-8SN2",-11.4202614559611,7.69127223895966,53.1746997483817,3.0516403450997e-13,4.92117158809762e-11
"RNA5-8S4",-11.4202614559611,7.69127223895966,53.1746997483817,3.0516403450997e-13,4.92117158809762e-11
"RNA5-8SN3",-11.4202614559611,7.69127223895966,53.1746997483817,3.0516403450997e-13,4.92117158809762e-11
"RNA5-8SN4",-11.4202614559611,7.69127223895966,53.1746997483817,3.0516403450997e-13,4.92117158809762e-11
"RNA5-8SN5",-11.4202614559611,7.69127223895966,53.1746997483817,3.0516403450997e-13,4.92117158809762e-11
"RNA5-8SN1",-11.4202614559611,7.69127223895966,53.1746997483817,3.0516403450997e-13,4.92117158809762e-11
"HIST1H2AH",7.54168232013518,6.09836770252779,53.0323597383906,3.28098340221446e-13,5.25153223960415e-11
"RMRP",6.69189941522091,5.48958675244725,52.7034162183643,3.87915782562512e-13,6.16297607733389e-11
"SPDYE5",-6.74960769165088,5.37400499243491,52.6187799699461,4.04997952172837e-13,6.38705593985515e-11
"HIST1H2BL",7.57914245520239,6.06400787349203,52.5266195966981,4.24455915030728e-13,6.64505873399931e-11
"SNX5P1",-4.13450775210478,4.87146248055782,52.3828148344642,4.56703051755826e-13,7.0927053620878e-11
"HIST1H2BI",8.5717081800991,6.29675685693232,52.3701264840374,4.59663393011098e-13,7.0927053620878e-11
"AL035413.2",-7.0548665673136,5.71044472137581,52.1702484510153,5.08913700285673e-13,7.79015909976931e-11
"AC005332.2",-7.38950360031362,5.59917968582335,52.1578843309856,5.12128139251899e-13,7.79015909976931e-11
"HIST1H2BF",6.04880444595942,5.41304784742212,52.0871812484199,5.30903789192368e-13,8.01889047225205e-11
"HIST1H2AL",7.46278375546872,5.88930873417589,51.9588344087603,5.66764786776066e-13,8.50067912361753e-11
"AP004242.1",-6.2751692729463,5.32325960556675,51.5390601210976,7.01867031349932e-13,1.04539195058287e-10
"CICP16",-6.32950876568536,5.27831535580447,51.1908604526103,8.38079183701798e-13,1.23966360910594e-10
"MTRNR2L8",-9.16913320517924,6.9340462316868,51.1759120060318,8.44485547117874e-13,1.24058397360165e-10
"AC233723.2",-8.09835640321258,5.78150329040154,51.0802503530977,8.86659033172341e-13,1.29367775125717e-10
"AL049840.1",-5.03800214669991,5.5035271857961,51.0137058340988,9.17232713871887e-13,1.3292437329138e-10
"FP236383.3",-15.0661338943525,9.23321290745919,50.9010387327514,9.71421649598966e-13,1.39832560675159e-10
"AC112497.1",-6.51834951878024,5.3995243288945,50.7015604761161,1.07534029235178e-12,1.5375932393574e-10
"RN7SL4P",7.21857269849354,6.00245848079895,50.6156720018302,1.12344352620661e-12,1.59573620861453e-10
"AL807761.2",-4.9093009864249,4.93105531915303,50.4144336666225,1.24475354846157e-12,1.75641277022393e-10
"NPM1P24",-5.834171671756,5.59764621920902,50.3544244552961,1.28340421727618e-12,1.7991146177869e-10
"MRPL3P1",-5.466732116664,5.08084920152538,50.1001957080266,1.46092422019343e-12,2.03466900485121e-10
"AC018665.1",-9.58200885216154,7.1236210872754,50.0369830876862,1.50875351255153e-12,2.08772550562614e-10
"AC073349.2",-9.72055321704248,7.43473189385356,49.9047820686562,1.61390838474824e-12,2.21891711769745e-10
"HIST1H3B",9.07981503536416,6.51179156519411,49.7110228054928,1.78142260186979e-12,2.43362751368811e-10
"AC010336.3",-10.1823671700289,7.20970560695914,49.4240379961974,2.06203436740133e-12,2.79914639949517e-10
"AC099560.2",-4.75313305105803,5.1109972444618,49.3904039041497,2.09769246585001e-12,2.82964201305352e-10
"FP671120.3",-14.1804636583327,8.34845200283397,49.3487957416611,2.14265953369133e-12,2.87223510491322e-10
"HIST1H1B",8.92040002393034,6.66735530603623,49.1841181389321,2.33029785873874e-12,3.10436201703283e-10
"HIST1H3I",8.68517813748142,6.7694800730009,49.1135588981746,2.41564640377148e-12,3.198196547413e-10
"RPPH1",8.01062828356048,6.29307847745752,49.0024527344228,2.55642636916333e-12,3.36381796109295e-10
"AL031670.1",-6.17512889520478,5.29066695411476,48.8005243836753,2.83364041190791e-12,3.70584875332932e-10
"RPL5P12",-5.28341503352889,5.06252728127242,48.7460246227217,2.91348504335026e-12,3.78717740665312e-10
"AC080112.4",-7.3649700928023,5.9080691338969,48.6427842796276,3.07096114597362e-12,3.96782979872543e-10
"AL136370.1",-5.48140973839309,5.64986404038893,48.595278498106,3.14625776923117e-12,4.04077464877067e-10
"HIST1H4C",7.64674903763123,6.24694558971874,48.5515634829664,3.2171773261452e-12,4.10726305304538e-10
"CXCR5",-7.05651103777185,6.381495969486,48.5051240962006,3.29426998354507e-12,4.18079897083281e-10
"HNRNPA3P12",-4.99758153073148,4.82083986326707,48.3695130530052,3.53013944897231e-12,4.45379005303283e-10
"AC079921.1",-5.83474159427022,5.25138115946587,47.8704497434801,4.55332921503692e-12,5.71109970784279e-10
"EIF4A1P7",-6.03709573302138,5.09094016530853,47.8383749646081,4.62843337410486e-12,5.77154877952332e-10
"HNRNPUP1",-3.90191160313447,5.03102885012546,47.4982089932801,5.50542216855725e-12,6.82545055902982e-10
"AC104117.2",-7.36491319124299,5.90456132246475,47.4493038375811,5.64449874134638e-12,6.95765568990788e-10
"RPL17P19",9.30970648082198,7.32434856058796,47.3734358286577,5.8672430027124e-12,7.1885096941806e-10
"ZNF808",2.28891801698265,4.84746042295444,47.3629163338183,5.89881437045779e-12,7.1885096941806e-10
"TGFB2-OT1",-13.2677293261564,9.40086825880729,47.2477408096191,6.25580455656552e-12,7.58048000730042e-10
"HIST1H2AM",6.43073588099801,5.49604377090426,46.7913364040153,7.89617110157176e-12,9.51444257227591e-10
"AC005921.3",5.58773286634858,5.77636153103928,46.7229026935602,8.17677835684489e-12,9.79221521096893e-10
"HNRNPRP1",-4.01701590075946,4.93059655969177,46.7130458234691,8.21800978167851e-12,9.79221521096893e-10
"HIST1H3A",7.74224964204919,5.9032555932663,46.5054240494993,9.13651966955214e-12,1.08265234183732e-09
"AC009690.2",-7.53373661870237,5.70098065472919,46.106225664705,1.12011948340727e-11,1.3140348851348e-09
"AC245060.6",-8.40867394819397,6.23384616537072,46.1043903742388,1.12116926510476e-11,1.3140348851348e-09
"AC011595.2",-4.25841350831155,5.14508159189181,46.0107327459926,1.17606919554111e-11,1.36790409504364e-09
"SEC63P1",-2.42510573275644,4.8012806766656,46.0043826251925,1.1798874374444e-11,1.36790409504364e-09
"TPRKB",-2.04137883309649,4.66575329886837,45.8495085409114,1.27695159757688e-11,1.47247622929187e-09
"JSRP1",-5.90309120498717,5.51738871371878,45.6319016756107,1.42698473381567e-11,1.63668281127692e-09
"AC024896.1",-8.73711196714098,6.56218856177037,45.0407488192004,1.92976762300399e-11,2.20157744564838e-09
"GRM6",-5.90218568427008,5.43096629572578,44.9797378029428,1.99083793062271e-11,2.25923237756592e-09
"AL117209.1",-7.11749641967325,5.8072505582306,44.9583872500853,2.01266304735866e-11,2.27197879156571e-09
"AC073052.2",-6.51443445254724,5.69453044223359,44.908256614443,2.06485385541425e-11,2.31869033983899e-09
"AP4B1-AS1",-6.08492603133841,5.47323327061088,44.8624952283849,2.11367760977477e-11,2.36115402991924e-09
"HNRNPA3P5",-5.20002984764754,5.2260030803013,44.8397551147252,2.1383675698792e-11,2.37635790874451e-09
"HIST1H2BM",8.03642380381095,6.33985370960488,44.744699703694,2.24473771298529e-11,2.48170796227363e-09
"AC022968.1",-4.13456596934043,5.19792634174306,44.5196821182819,2.51812917669766e-11,2.76968382470828e-09
"AC007620.2",-4.90232129982497,5.52033348280782,44.4924408923733,2.55341190685957e-11,2.79416217236347e-09
"AC091564.5",-9.99782402450361,8.34493175149808,44.1811048684758,2.99356965673916e-11,3.25919197958078e-09
"AL031714.1",-8.26803095504654,6.60106307023731,44.1121432864666,3.10091258503522e-11,3.35900874362805e-09
"HIST1H2BB",7.53574479473479,6.07512859268571,44.094321925546,3.12927361160982e-11,3.37269650360842e-09
"ACTBP2",-3.19259260166948,4.84901321587177,44.0647963587084,3.17683331828027e-11,3.40324964242997e-09
"AC067930.6",-8.17845571137589,6.44935871317079,44.0570954241539,3.18935648138952e-11,3.40324964242997e-09
"AP000962.2",5.10934806782257,5.43083528697685,44.0270818942093,3.23863747067347e-11,3.42287492255683e-09
"ST13P19",-6.05491453333835,5.54355201914462,44.0264602431805,3.23966621260275e-11,3.42287492255683e-09
"AC027309.2",-5.97842059733304,5.16205405814255,43.9448292641104,3.37763465230064e-11,3.55115235404628e-09
"AC024075.3",-7.76408599285227,5.92277776951904,43.8551113200309,3.5360648514532e-11,3.69958628946186e-09
"FP671120.4",-9.4193020418342,7.30901417087408,43.8122770334273,3.61430695323473e-11,3.76309007441643e-09
"NAV2-AS1",-8.57918454234148,7.24664600398192,43.6594254365955,3.90790456322266e-11,4.04911773294684e-09
"AP002373.1",5.90535404506112,5.1700814581112,43.5385661557132,4.15685872851487e-11,4.28636086582629e-09
"AC010507.1",-8.79528732142127,6.54908831213742,43.3693228036134,4.53238356918105e-11,4.65122310008589e-09
"AL031600.3",-7.29892743703063,6.0697733019561,43.2258132303326,4.87729641604123e-11,4.97925983918736e-09
"OLA1P1",-3.86925612606731,5.05667906953014,43.2173374784458,4.89846990893572e-11,4.97925983918736e-09
"HIST1H2BO",6.99401808738531,6.43356557186506,43.1980335396162,4.94703761229013e-11,5.00490861832069e-09
"AC005670.2",-7.53368824909706,5.72626864785114,43.1134701714688,5.1655391255965e-11,5.2014311345443e-09
"AC011290.2",-6.44095917511577,5.6341465907464,43.0437864903887,5.35283488880728e-11,5.36484124743638e-09
"TMPPE",3.20997426880269,4.66022081141048,43.0114832255711,5.44195085087782e-11,5.42878892323849e-09
"CBX3P9",-4.09823541449973,5.34966132903934,42.8165943255561,6.01200020203454e-11,5.96969353394615e-09
"AC010319.4",-6.14228587066925,5.22076847944226,42.8018283384986,6.05755171871184e-11,5.98720595681712e-09
"ARAP1-AS2",-6.92536718997707,6.03002997441237,42.6975997419351,6.38906384433782e-11,6.28590097859438e-09
"AC008581.1",-5.96566863406811,5.77276267791978,42.6485833798349,6.55118563379771e-11,6.41597394857047e-09
"HIST1H2AD",7.28149050643929,5.66310026692378,42.4654548323251,7.1941698585967e-11,7.01366159669009e-09
"AL513327.1",-4.39190053724823,5.21073128286655,42.126361403043,8.55619781896745e-11,8.3037706253943e-09
"RN7SL1",7.74426154638809,6.6002264703683,41.8391313269173,9.91001053141435e-11,9.51482688907375e-09
"FLJ42393",6.32375980143353,6.26084766469979,41.8351793839577,9.93006064692402e-11,9.51482688907375e-09
"RN7SL800P",5.15524669838615,5.10347025063669,41.833782776065,9.93715601992036e-11,9.51482688907375e-09
"HIST1H3D",5.9001523886125,5.67578427017872,41.7934171420504,1.01444386617436e-10,9.67012979631455e-09
"AC092828.1",5.97137319361177,6.22060582855572,41.7533165380252,1.03546458296858e-10,9.82683379447354e-09
"TMEM262",-6.18518449981371,5.83679807989242,41.652080011429,1.09049312680352e-10,1.03034786712255e-08
"ENSAP2",-6.47998904029911,6.11421294816852,41.5455731118091,1.1515494611081e-10,1.0832645983266e-08
"TRMT112P6",-4.56270280629015,5.25932480352343,41.5045279335945,1.1759823588359e-10,1.09783111215019e-08
"CALM2P2",-4.98735561305629,5.42340141470039,41.4975469793952,1.18018923597708e-10,1.09783111215019e-08
"AC005702.1",-4.3852883858901,5.16465465679434,41.4939050730039,1.18238990538369e-10,1.09783111215019e-08
"AL109618.1",-2.95223008081176,4.90118367748123,41.2448288675371,1.34306688163699e-10,1.24164217574785e-08
"CERS6-AS1",-7.92091978697902,7.2461325554199,41.0687244963445,1.46969389877184e-10,1.35287531076646e-08
"PIGCP1",-6.55406566025126,5.68479164639292,40.6879644510035,1.78583720101482e-10,1.63686479860538e-08
"RNGTTP1",4.74360612477311,5.57640773578214,40.6634900695132,1.80834510363019e-10,1.65044194819831e-08
"AC009302.1",-6.93999519383056,5.63987710065214,40.6468705788001,1.8237909213964e-10,1.65748591873348e-08
"MIR181A1HG",5.3217693740434,6.14229245146249,40.5510596388404,1.9154463251486e-10,1.73343851399945e-08
"HIST1H3G",6.15773012499107,5.76676890469161,40.5093132332383,1.95681103487832e-10,1.76343206201976e-08
"RPL35P5",-3.5427354531397,4.92099270284301,40.4769479000978,1.98949485954541e-10,1.78538434090084e-08
"AL357568.2",5.6488083518921,5.63412366525944,40.4521496665034,2.01490641571172e-10,1.80065470017437e-08
"HIST1H4D",8.51138157006091,7.4822310505496,40.4217964181533,2.04645306045213e-10,1.82125830873764e-08
"AL079342.3",4.0200782791224,5.13876803777369,40.3501302172211,2.12291285838069e-10,1.88149731349376e-08
"RPL4P5",-6.12646474946631,5.93812237404687,40.243980922426,2.2414486987775e-10,1.97837825890452e-08
"RBM5-AS1",-7.04112417439361,5.75113112761562,40.1747080562815,2.32235537100456e-10,2.04138844251253e-08
"HIST1H2AJ",7.32446541212973,6.03335078082404,40.1594244902716,2.3405957223466e-10,2.04902436950571e-08
"RPS13P2",-4.89521213690858,5.42224321332067,40.1155428594786,2.39376773221288e-10,2.08705407806918e-08
"AC093724.1",-6.24367546588633,5.40989731618136,39.9878412915598,2.55548597921247e-10,2.2190309021113e-08
"AC022400.8",-3.06355380904143,5.03747708241609,39.9565864727819,2.59670490212189e-10,2.24573091696412e-08
"HIST1H3J",7.39028178379382,6.81159924427645,39.9341332228999,2.62672650154966e-10,2.2625714861541e-08
"AL050331.1",-3.62697270578238,5.04760940817806,39.7543503532124,2.87998396030529e-10,2.47079583922512e-08
"AL355032.1",-5.71985740562797,5.48024990785952,39.6291102521966,3.07071808520965e-10,2.62393472077995e-08
"AC125611.3",-8.43751803498113,7.49948827242946,39.531621694261,3.22789971645343e-10,2.74730131422592e-08
